Gene	SUN.A.6.7.1.D2	SUN.A.6.8.1.D3	SUN.A.6.9.1.D4	SUN.A.7.13.1.F3	SUN.A.7.14.1.F4	Min	Max	Median	Mean	Std
ABCC10	9	6	2	5	4	2	9	5	5.2	2.58843582110896
ABCC11	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC13	1	0	1	3	1	0	3	1	1.2	1.09544511501033
ABCC2	0	0	1	0	1	0	1	0	0.4	0.547722557505166
ABCC3	4	1	8	7	1	1	8	4	4.2	3.27108544675923
ABCC4	8	7	6	6	5	5	8	6	6.4	1.14017542509914
ABCC5	17	14	14	16	13	13	17	14	14.8	1.6431676725155
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0
ABCC6	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ABCC9	2	0	1	3	1	0	3	1	1.4	1.14017542509914
ABCD1	1	1	0	1	0	0	1	1	0.6	0.547722557505166
ABCD2	0	0	0	0	0	0	0	0	0	0
ABCD3	51	30	32	29	31	29	51	31	34.6	9.23579991121506
ABCD4	13	12	15	16	17	12	17	15	14.6	2.07364413533277
ABCE1	133	83	81	78	97	78	133	83	94.4	22.7771815640127
ABCF1	155	92	118	95	104	92	155	104	112.8	25.6651514704278
ABCF2	75	65	49	61	61	49	75	61	62.2	9.338094023943
ABCF3	27	16	20	10	17	10	27	17	18	6.20483682299543
ABCG1	8	0	5	4	2	0	8	4	3.8	3.03315017762062
ABCG2	3	1	1	0	1	0	3	1	1.2	1.09544511501033
ABCG4	0	0	0	0	0	0	0	0	0	0
ABCG5	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ABHD1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ABHD10	27	27	27	22	12	12	27	27	23	6.51920240520265
ABHD11	10	4	11	6	6	4	11	6	7.4	2.96647939483827
ABHD12	5	2	13	4	1	1	13	4	5	4.74341649025257
ABHD12B	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ABHD13	31	21	23	15	20	15	31	21	22	5.8309518948453
ABHD14A	4	7	3	6	3	3	7	4	4.6	1.81659021245849
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0
ABHD14B	18	17	14	10	17	10	18	17	15.2	3.27108544675922
ABHD15	16	5	9	9	9	5	16	9	9.6	3.97492138287036
ABHD16A	14	13	11	11	14	11	14	13	12.6	1.51657508881031
ABHD16B	1	0	0	1	0	0	1	0	0.4	0.547722557505166
ABHD17A	18	10	8	4	14	4	18	10	10.8	5.40370243444252
ABHD17B	5	8	4	6	7	4	8	6	6	1.58113883008419
ABHD17C	16	5	7	4	2	2	16	5	6.8	5.44977063737548
ABHD2	22	19	22	20	23	19	23	22	21.2	1.6431676725155
ABHD3	0	0	1	1	2	0	2	1	0.8	0.836660026534076
ABHD4	111	72	86	73	75	72	111	75	83.4	16.4103625797848
ABHD5	21	23	19	24	19	19	24	21	21.2	2.28035085019828
ABHD6	7	5	5	8	4	4	8	5	5.8	1.6431676725155
ABHD8	3	1	1	1	2	1	3	1	1.6	0.894427190999916
ABI1	113	78	62	63	72	62	113	72	77.6	20.8638443245726
ABI2	46	36	39	39	27	27	46	39	37.4	6.87749954561976
ABI3BP	144	99	93	90	82	82	144	93	101.6	24.4806045676981
ABL1	28	14	15	15	11	11	28	15	16.6	6.58027355054484
ABL2	38	30	24	26	33	24	38	30	30.2	5.58569601750758
ABLIM1	163	107	115	83	96	83	163	107	112.8	30.5319504781467
ABLIM2	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ABLIM3	27	23	15	17	17	15	27	17	19.8	5.01996015920445
ABR	6	5	4	8	8	4	8	6	6.2	1.78885438199983
ABRA	0	0	0	0	0	0	0	0	0	0
ABRACL	97	42	62	51	53	42	97	53	61	21.342445970413
ABT1	26	13	24	19	18	13	26	19	20	5.1478150704935
ABTB1	1	1	1	0	0	0	1	1	0.6	0.547722557505166
ABTB2	3	1	1	2	0	0	3	1	1.4	1.14017542509914
ACAA1	15	8	10	6	4	4	15	8	8.6	4.2190046219458
ACAA2	149	96	115	91	89	89	149	96	108	25.1197133741609
ACACA	11	6	13	9	5	5	13	9	8.8	3.3466401061363
ACACB	1	2	3	0	4	0	4	2	2	1.58113883008419
ACAD10	3	5	2	4	0	0	5	3	2.8	1.92353840616713
ACAD11	0	0	0	3	0	0	3	0	0.6	1.34164078649987
ACAD8	7	7	5	3	10	3	10	7	6.4	2.60768096208106
ACAD9	13	9	18	5	9	5	18	9	10.8	4.91934955049954
ACADL	1	1	7	1	4	1	7	1	2.8	2.68328157299975
ACADM	75	61	83	61	70	61	83	70	70	9.4339811320566
ACADS	2	2	0	0	1	0	2	1	1	1
ACADSB	10	12	12	11	9	9	12	11	10.8	1.30384048104053
ACADVL	43	36	34	37	28	28	43	36	35.6	5.41294744108974
ACAN	0	0	0	0	0	0	0	0	0	0
ACAP1	3	6	1	7	7	1	7	6	4.8	2.68328157299975
ACAP2	68	66	74	61	65	61	74	66	66.8	4.76445169982864
ACAP3	1	3	1	1	0	0	3	1	1.2	1.09544511501033
ACAT1	157	119	129	103	109	103	157	119	123.4	21.2320512433443
ACAT2	8	10	7	4	2	2	10	7	6.2	3.19374388453426
ACBD3	62	51	52	33	33	33	62	51	46.2	12.7945300812496
ACBD4	0	1	2	0	4	0	4	1	1.4	1.67332005306815
ACBD5	42	34	43	22	33	22	43	34	34.8	8.46758525200662
ACBD6	34	30	25	21	15	15	34	25	25	7.44983221287567
ACBD7	7	3	7	10	4	3	10	7	6.2	2.77488738510232
ACCS	0	1	1	0	0	0	1	0	0.4	0.547722557505166
ACD	7	1	1	2	3	1	7	2	2.8	2.48997991959775
ACE	0	0	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0	0	0
ACER2	3	0	4	0	0	0	4	0	1.4	1.94935886896179
ACER3	10	2	6	0	3	0	10	3	4.2	3.89871773792359
ACIN1	107	73	109	75	79	73	109	79	88.6	17.8549712965325
ACLY	62	46	49	38	46	38	62	46	48.2	8.72926113711808
ACMSD	0	2	0	0	0	0	2	0	0.4	0.894427190999916
ACN9	70	55	52	68	49	49	70	55	58.8	9.57601169589929
ACO1	54	32	31	22	20	20	54	31	31.8	13.4981480211176
ACO2	18	7	5	6	7	5	18	7	8.6	5.31977443130816
ACOT1	0	2	0	0	0	0	2	0	0.4	0.894427190999916
ACOT11	1	0	0	0	1	0	1	0	0.4	0.547722557505166
ACOT13	178	128	146	129	137	128	178	137	143.6	20.5499391726594
ACOT2	6	4	2	3	3	2	6	3	3.6	1.51657508881031
ACOT4	1	1	2	0	2	0	2	1	1.2	0.836660026534076
ACOT6	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ACOT7	9	11	11	8	7	7	11	9	9.2	1.78885438199983
ACOT8	8	6	7	11	6	6	11	7	7.6	2.07364413533277
ACOT9	112	84	73	75	90	73	112	84	86.8	15.6748205731358
ACOX1	61	38	47	48	48	38	61	48	48.4	8.20365772079747
ACOX2	20	15	8	17	14	8	20	15	14.8	4.43846820423443
ACOX3	9	16	10	9	13	9	16	10	11.4	3.04959013639538
ACOXL	0	0	0	0	0	0	0	0	0	0
ACP1	584	470	430	437	441	430	584	441	472.4	64.2207131695063
ACP2	9	8	5	2	9	2	9	8	6.6	3.04959013639538
ACP5	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ACP6	3	2	2	1	1	1	3	2	1.8	0.836660026534076
ACPL2	12	3	5	2	3	2	12	3	5	4.06201920231798
ACPP	0	0	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0	0	0
ACRC	3	1	0	0	2	0	3	1	1.2	1.30384048104053
ACRV1	0	0	0	0	0	0	0	0	0	0
ACSBG1	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ACSBG2	1	0	0	1	0	0	1	0	0.4	0.547722557505166
ACSF2	14	4	9	8	5	4	14	8	8	3.93700393700591
ACSF3	2	1	2	0	0	0	2	1	1	1
ACSL1	55	35	31	29	31	29	55	31	36.2	10.733126291999
ACSL3	39	34	32	30	22	22	39	32	31.4	6.22896460095897
ACSL4	51	36	41	43	41	36	51	41	42.4	5.45893762558247
ACSL5	0	0	1	1	0	0	1	0	0.4	0.547722557505166
ACSL6	14	6	6	12	15	6	15	12	10.6	4.33589667773576
ACSM1	0	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0
ACSM3	1	1	0	0	0	0	1	0	0.4	0.547722557505166
ACSM5	1	0	1	1	1	0	1	1	0.8	0.447213595499958
ACSS1	1	1	0	0	0	0	1	0	0.4	0.547722557505166
ACSS2	8	9	6	6	7	6	9	7	7.2	1.30384048104053
ACSS3	1	1	0	1	0	0	1	1	0.6	0.547722557505166
ACTA2	9257	6970	8138	4762	5513	4762	9257	6970	6928	1842.81618725254
ACTB	2494	1956	2069	1518	1579	1518	2494	1956	1923.2	397.116733467629
ACTBL2	2	1	0	0	0	0	2	0	0.6	0.894427190999916
ACTC1	3	1	0	3	0	0	3	1	1.4	1.51657508881031
ACTG1	6887	5140	5169	4505	4779	4505	6887	5140	5296	930.687380380759
ACTG1P4	0	0	0	0	0	0	0	0	0	0
ACTG2	7	5	2	3	6	2	7	5	4.6	2.07364413533277
ACTL10	0	0	0	0	0	0	0	0	0	0
ACTL6A	109	67	78	81	74	67	109	78	81.8	16.0841536923769
ACTL8	0	0	0	0	0	0	0	0	0	0
ACTN1	340	239	283	229	185	185	340	239	255.2	58.8234647058468
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0
ACTN2	0	1	1	0	0	0	1	0	0.4	0.547722557505166
ACTN4	86	84	85	54	65	54	86	84	74.8	14.5155089473294
ACTR10	290	191	197	176	190	176	290	191	208.8	46.0401998258044
ACTR1A	146	98	120	106	92	92	146	106	112.4	21.5127868952398
ACTR1B	24	8	18	11	20	8	24	18	16.2	6.57267069006199
ACTR2	263	184	192	184	187	184	263	187	202	34.2563862659213
ACTR3	161	125	115	96	92	92	161	115	117.8	27.6893481324498
ACTR3B	2	2	2	4	1	1	4	2	2.2	1.09544511501033
ACTR3C	0	0	0	0	0	0	0	0	0	0
ACTR5	2	1	3	3	1	1	3	2	2	1
ACTR6	69	49	40	48	53	40	69	49	51.8	10.7098085883922
ACTR8	27	31	20	21	19	19	31	21	23.6	5.17687164221791
ACTRT3	1	1	2	2	0	0	2	1	1.2	0.836660026534076
ACVR1	45	40	26	28	34	26	45	34	34.6	7.98749021908634
ACVR1B	5	7	5	4	2	2	7	5	4.6	1.81659021245849
ACVR1C	0	0	0	0	0	0	0	0	0	0
ACVR2A	74	52	44	32	29	29	74	44	46.2	18.088670487352
ACVR2B	2	2	1	4	2	1	4	2	2.2	1.09544511501033
ACVR2B-AS1	0	1	1	0	1	0	1	1	0.6	0.547722557505166
ACVRL1	1	3	1	0	0	0	3	1	1	1.22474487139159
ACY1	0	0	0	0	0	0	0	0	0	0
ACYP1	12	8	7	4	13	4	13	8	8.8	3.70135110466435
ACYP2	41	38	29	28	30	28	41	30	33.2	5.89067059000926
ADA	3	4	4	0	2	0	4	3	2.6	1.67332005306815
ADAL	20	15	2	9	10	2	20	10	11.2	6.76017751246223
ADAM10	57	53	53	53	39	39	57	53	51	6.92820323027551
ADAM11	0	0	0	0	0	0	0	0	0	0
ADAM12	43	28	33	30	22	22	43	30	31.2	7.72657750883274
ADAM15	8	2	7	4	4	2	8	4	5	2.44948974278318
ADAM17	46	24	42	18	39	18	46	39	33.8	12.1326007104825
ADAM18	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ADAM19	9	7	14	6	6	6	14	7	8.4	3.36154726279432
ADAM1A	1	3	2	3	1	1	3	2	2	1
ADAM20	0	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0	0
ADAM21	3	0	0	1	1	0	3	1	1	1.22474487139159
ADAM22	0	2	0	1	1	0	2	1	0.8	0.836660026534076
ADAM23	3	3	2	3	2	2	3	3	2.6	0.547722557505166
ADAM28	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ADAM29	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0	0	0
ADAM33	0	1	1	2	1	0	2	1	1	0.707106781186548
ADAM7	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0	0	0
ADAM9	146	99	118	90	87	87	146	99	108	24.4438131231606
ADAMTS1	101	45	66	51	53	45	101	53	63.2	22.4766545553381
ADAMTS10	2	1	2	2	3	1	3	2	2	0.707106781186548
ADAMTS12	38	20	31	24	22	20	38	24	27	7.41619848709566
ADAMTS13	0	2	0	3	3	0	3	2	1.6	1.51657508881031
ADAMTS14	0	0	0	0	0	0	0	0	0	0
ADAMTS15	1	0	1	1	1	0	1	1	0.8	0.447213595499958
ADAMTS16	0	0	0	0	0	0	0	0	0	0
ADAMTS17	6	5	10	5	6	5	10	6	6.4	2.07364413533277
ADAMTS18	0	0	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0
ADAMTS2	41	37	28	39	33	28	41	37	35.6	5.17687164221791
ADAMTS3	1	5	2	2	0	0	5	2	2	1.87082869338697
ADAMTS4	14	8	7	10	9	7	14	9	9.6	2.70185121722126
ADAMTS5	83	57	70	64	60	57	83	64	66.8	10.2810505299799
ADAMTS6	10	18	16	15	17	10	18	16	15.2	3.11448230047949
ADAMTS7	3	1	2	4	1	1	4	2	2.2	1.30384048104053
ADAMTS8	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ADAMTS9	0	0	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	2	0	0	2	0	0.4	0.894427190999916
ADAMTSL1	7	1	6	3	3	1	7	3	4	2.44948974278318
ADAMTSL2	2	0	0	3	5	0	5	2	2	2.12132034355964
ADAMTSL3	13	13	17	9	15	9	17	13	13.4	2.96647939483827
ADAMTSL4	1	2	1	0	2	0	2	1	1.2	0.836660026534076
ADAMTSL5	8	4	1	1	0	0	8	1	2.8	3.27108544675922
ADAP1	1	0	0	2	0	0	2	0	0.6	0.894427190999916
ADAP2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ADAR	68	59	61	54	52	52	68	59	58.8	6.30079360080935
ADARB1	7	4	8	3	4	3	8	4	5.2	2.16794833886788
ADARB2	0	0	2	1	2	0	2	1	1	1
ADAT1	25	9	12	19	16	9	25	16	16.2	6.22093240599832
ADAT2	8	9	8	2	9	2	9	8	7.2	2.94957624075053
ADAT3	2	0	0	1	0	0	2	0	0.6	0.894427190999916
ADC	4	1	1	0	0	0	4	1	1.2	1.6431676725155
ADCK1	3	3	5	5	3	3	5	3	3.8	1.09544511501033
ADCK2	5	2	7	5	6	2	7	5	5	1.87082869338697
ADCK3	5	1	5	1	5	1	5	5	3.4	2.19089023002066
ADCK4	3	1	3	2	1	1	3	2	2	1
ADCK5	1	0	0	0	1	0	1	0	0.4	0.547722557505166
ADCY1	2	0	3	0	3	0	3	2	1.6	1.51657508881031
ADCY10	2	0	0	1	0	0	2	0	0.6	0.894427190999916
ADCY10P1	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ADCY2	0	0	0	0	0	0	0	0	0	0
ADCY3	5	1	2	1	0	0	5	1	1.8	1.92353840616713
ADCY4	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ADCY6	28	10	20	8	20	8	28	20	17.2	8.19756061276768
ADCY7	44	28	30	24	16	16	44	28	28.4	10.2371871136558
ADCY8	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ADCY9	7	2	8	5	4	2	8	5	5.2	2.38746727726266
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0
ADD1	71	47	49	48	51	47	71	49	53.2	10.0598210719674
ADD3	282	208	218	175	173	173	282	208	211.2	44.2684989580627
ADD3-AS1	2	0	5	3	1	0	5	2	2.2	1.92353840616713
ADH1A	0	0	0	0	0	0	0	0	0	0
ADH1B	4	4	1	4	3	1	4	4	3.2	1.30384048104053
ADH1C	0	0	1	1	1	0	1	1	0.6	0.547722557505166
ADH4	0	0	0	0	0	0	0	0	0	0
ADH5	531	367	357	323	378	323	531	367	391.2	80.8158400315186
ADH6	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ADHFE1	6	3	5	4	1	1	6	4	3.8	1.92353840616713
ADI1	64	29	33	35	39	29	64	35	40	13.8924439894498
ADIPOQ	7	4	12	9	11	4	12	9	8.6	3.20936130717624
ADIPOQ-AS1	0	0	1	0	4	0	4	0	1	1.73205080756888
ADIPOR1	67	60	64	54	51	51	67	60	59.2	6.68580586017871
ADIPOR2	13	5	9	14	3	3	14	9	8.8	4.81663783151692
ADIRF	46	23	17	23	28	17	46	23	27.4	11.104053313993
ADK	86	60	63	38	60	38	86	60	61.4	17.0235131509333
ADM	52	41	41	33	36	33	52	41	40.6	7.23187389270582
ADM2	15	6	9	20	11	6	20	11	12.2	5.44977063737548
ADM5	0	0	0	0	0	0	0	0	0	0
ADNP	22	13	11	18	18	11	22	18	16.4	4.39317652729776
ADNP2	16	13	15	19	17	13	19	16	16	2.23606797749979
ADO	17	11	12	12	15	11	17	12	13.4	2.50998007960223
ADORA1	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	3	1	2	2	1	1	3	2	1.8	0.836660026534076
ADORA2B	17	14	14	17	13	13	17	14	15	1.87082869338697
ADORA3	0	0	0	0	0	0	0	0	0	0
ADPGK	18	16	20	13	12	12	20	16	15.8	3.3466401061363
ADPGK-AS1	0	0	0	0	0	0	0	0	0	0
ADPRH	1	0	1	0	0	0	1	0	0.4	0.547722557505166
ADPRHL1	2	1	1	0	0	0	2	1	0.8	0.836660026534076
ADPRHL2	12	16	20	16	13	12	20	16	15.4	3.13049516849971
ADPRM	46	38	36	48	42	36	48	42	42	5.09901951359278
ADRA1A	9	4	7	12	5	4	12	7	7.4	3.20936130717624
ADRA1B	1	0	1	0	1	0	1	1	0.6	0.547722557505166
ADRA1D	0	0	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0	0	0
ADRA2C	10	7	12	2	1	1	12	7	6.4	4.82700735445887
ADRB1	0	0	0	0	0	0	0	0	0	0
ADRB2	1	0	0	1	0	0	1	0	0.4	0.547722557505166
ADRB3	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ADRBK1	14	11	11	14	19	11	19	14	13.8	3.27108544675922
ADRBK2	8	6	8	11	8	6	11	8	8.2	1.78885438199983
ADRM1	57	32	42	28	43	28	57	42	40.4	11.2827301660547
ADSL	137	133	134	113	139	113	139	134	131.2	10.4498803820905
ADSS	41	27	22	38	21	21	41	27	29.8	9.20326029187483
ADSSL1	2	4	0	3	3	0	4	3	2.4	1.51657508881031
ADTRP	8	0	3	4	0	0	8	3	3	3.3166247903554
AEBP1	100	68	81	63	85	63	100	81	79.4	14.6389890361322
AEBP2	26	16	19	13	19	13	26	19	18.6	4.82700735445887
AEN	41	18	30	42	32	18	42	32	32.6	9.73652915571047
AES	33	24	33	32	19	19	33	32	28.2	6.37965516309463
AFAP1	97	58	76	63	72	58	97	72	73.2	15.0897316079512
AFAP1-AS1	1	0	0	1	0	0	1	0	0.4	0.547722557505166
AFAP1L1	5	2	1	0	3	0	5	2	2.2	1.92353840616713
AFAP1L2	0	1	0	0	1	0	1	0	0.4	0.547722557505166
AFF1	31	19	33	22	25	19	33	25	26	5.91607978309962
AFF2	0	4	1	1	1	0	4	1	1.4	1.51657508881031
AFF3	5	6	2	4	5	2	6	5	4.4	1.51657508881031
AFF4	68	50	70	43	64	43	70	64	59	11.8743420870379
AFG3L1P	3	1	3	3	3	1	3	3	2.6	0.894427190999916
AFG3L2	84	67	62	68	50	50	84	67	66.2	12.2556109598828
AFMID	66	40	29	33	46	29	66	40	42.8	14.5155089473294
AFP	6	2	2	6	0	0	6	2	3.2	2.68328157299975
AFTPH	20	7	16	14	23	7	23	16	16	6.12372435695795
AGA	128	94	67	70	89	67	128	89	89.6	24.4397217660104
AGAP1	38	29	30	16	15	15	38	29	25.6	9.86407623652616
AGAP11	0	0	0	1	0	0	1	0	0.2	0.447213595499958
AGAP2	0	0	0	0	0	0	0	0	0	0
AGAP2-AS1	1	1	2	0	0	0	2	1	0.8	0.836660026534076
AGAP3	11	8	2	10	5	2	11	8	7.2	3.70135110466435
AGAP5	0	0	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0	0	0
AGBL2	0	0	0	1	2	0	2	0	0.6	0.894427190999916
AGBL3	1	0	0	0	1	0	1	0	0.4	0.547722557505166
AGBL4	0	0	0	0	0	0	0	0	0	0
AGBL5	9	6	9	7	7	6	9	7	7.6	1.34164078649987
AGER	0	0	0	1	0	0	1	0	0.2	0.447213595499958
AGFG1	35	26	39	26	29	26	39	29	31	5.78791845139511
AGFG2	3	0	0	0	2	0	3	0	1	1.4142135623731
AGGF1	22	20	22	9	13	9	22	20	17.2	5.89067059000926
AGK	30	12	16	18	18	12	30	18	18.8	6.72309452558865
AGL	9	14	14	12	5	5	14	12	10.8	3.83405790253616
AGMAT	7	7	7	5	9	5	9	7	7	1.4142135623731
AGMO	2	1	1	3	6	1	6	2	2.6	2.07364413533277
AGO1	10	12	14	18	13	10	18	13	13.4	2.96647939483827
AGO2	3	4	5	3	6	3	6	4	4.2	1.30384048104053
AGO3	7	7	5	2	7	2	7	7	5.6	2.19089023002066
AGO4	11	5	11	8	9	5	11	9	8.8	2.48997991959775
AGPAT1	48	36	40	41	45	36	48	41	42	4.63680924774785
AGPAT2	8	6	10	8	6	6	10	8	7.6	1.67332005306815
AGPAT3	13	8	8	5	10	5	13	8	8.8	2.94957624075052
AGPAT4	14	7	7	8	10	7	14	8	9.2	2.94957624075052
AGPAT4-IT1	1	0	3	0	0	0	3	0	0.8	1.30384048104053
AGPAT5	28	16	25	16	22	16	28	22	21.4	5.3665631459995
AGPAT6	17	5	12	8	11	5	17	11	10.6	4.50555213042752
AGPAT9	0	1	0	1	0	0	1	0	0.4	0.547722557505166
AGPS	60	34	37	48	43	34	60	43	44.4	10.2615788258922
AGRN	3	2	3	1	2	1	3	2	2.2	0.836660026534076
AGRP	1	0	0	0	0	0	1	0	0.2	0.447213595499958
AGT	33	18	23	14	16	14	33	18	20.8	7.59605160593318
AGTPBP1	8	7	8	7	5	5	8	7	7	1.22474487139159
AGTR1	0	0	0	0	0	0	0	0	0	0
AGTRAP	96	68	75	67	65	65	96	68	74.2	12.7553910171347
AHCTF1	1	7	1	3	2	1	7	2	2.8	2.48997991959775
AHCTF1P1	0	0	0	0	0	0	0	0	0	0
AHCY	175	95	141	94	103	94	175	103	121.6	35.5077456338754
AHCYL1	71	49	57	56	58	49	71	57	58.2	7.98122797569397
AHCYL2	3	0	5	5	2	0	5	3	3	2.12132034355964
AHDC1	6	4	13	3	5	3	13	5	6.2	3.96232255123179
AHI1	50	30	52	47	36	30	52	47	43	9.53939201416946
AHNAK	436	249	378	316	314	249	436	316	338.6	71.0337947740369
AHNAK2	41	26	38	27	31	26	41	31	32.6	6.65582451691749
AHR	71	68	65	74	65	65	74	68	68.6	3.91152144312159
AHRR	1	2	0	3	1	0	3	1	1.4	1.14017542509914
AHSA1	52	34	39	24	38	24	52	38	37.4	10.0895986045036
AHSA2	9	4	9	12	9	4	12	9	8.6	2.88097205817759
AHSG	0	1	0	0	0	0	1	0	0.2	0.447213595499958
AHSP	0	0	0	0	0	0	0	0	0	0
AICDA	3	2	5	3	4	2	5	3	3.4	1.14017542509914
AIDA	60	43	58	34	44	34	60	44	47.8	10.9635760589326
AIF1	0	2	0	0	2	0	2	0	0.8	1.09544511501033
AIF1L	1	0	0	0	0	0	1	0	0.2	0.447213595499958
AIFM1	38	26	23	16	28	16	38	26	26.2	8.01249024960405
AIFM2	18	6	18	12	11	6	18	12	13	5.09901951359278
AIFM3	0	0	0	0	0	0	0	0	0	0
AIG1	90	48	64	52	71	48	90	64	65	16.7332005306815
AIM1	2	0	1	2	5	0	5	2	2	1.87082869338697
AIM1L	0	0	0	0	0	0	0	0	0	0
