Gene	SUN+ALE.A.7.19.1.F9	SUN+ALE.A.7.20.1.F10	SUN+ALE.A.8.14.1.G11	Min	Max	Median	Mean	Std
ADM2	17	16	5	5	17	16	12.6666666666667	6.65832811847939
ADM5	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADNP	12	13	11	11	13	12	12	1
ADNP2	7	15	12	7	15	12	11.3333333333333	4.04145188432738
ADO	12	8	5	5	12	8	8.33333333333333	3.51188458428425
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	3	2	1	3	2	2	1
ADORA2B	8	16	7	7	16	8	10.3333333333333	4.93288286231625
ADORA3	0	0	0	0	0	0	0	0
ADPGK	12	16	10	10	16	12	12.6666666666667	3.05505046330389
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADPRHL1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADPRHL2	15	12	22	12	22	15	16.3333333333333	5.13160143944688
ADPRM	27	40	31	27	40	31	32.6666666666667	6.65832811847939
ADRA1A	5	3	5	3	5	5	4.33333333333333	1.15470053837925
ADRA1B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	6	3	7	3	7	6	5.33333333333333	2.08166599946613
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	6	13	9	6	13	9	9.33333333333333	3.51188458428425
ADRBK2	8	9	10	8	10	9	9	1
ADRM1	25	33	24	24	33	25	27.3333333333333	4.93288286231625
ADSL	113	126	90	90	126	113	109.666666666667	18.2300118851671
ADSS	11	14	25	11	25	14	16.6666666666667	7.37111479583199
ADSSL1	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ADTRP	4	2	3	2	4	3	3	1
AEBP1	58	103	56	56	103	58	72.3333333333333	26.5769323537035
AEBP2	17	7	9	7	17	9	11	5.29150262212918
AEN	28	21	26	21	28	26	25	3.60555127546399
AES	17	22	12	12	22	17	17	5
AFAP1	62	77	60	60	77	62	66.3333333333333	9.29157324317757
AFAP1-AS1	0	2	1	0	2	1	1	1
AFAP1L1	0	2	3	0	3	2	1.66666666666667	1.52752523165195
AFAP1L2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AFF1	26	21	11	11	26	21	19.3333333333333	7.63762615825973
AFF2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
AFF3	3	5	3	3	5	3	3.66666666666667	1.15470053837925
AFF4	42	50	40	40	50	42	44	5.29150262212918
AFG3L1P	1	3	2	1	3	2	2	1
AFG3L2	53	59	37	37	59	53	49.6666666666667	11.3724814061547
AFMID	37	35	34	34	37	35	35.3333333333333	1.52752523165195
AFP	1	1	1	1	1	1	1	0
AFTPH	9	13	8	8	13	9	10	2.64575131106459
AGA	57	68	62	57	68	62	62.3333333333333	5.5075705472861
AGAP1	16	15	16	15	16	16	15.6666666666667	0.577350269189626
AGAP11	0	0	0	0	0	0	0	0
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	2	0	1	0	2	1	1	1
AGAP3	2	3	3	2	3	3	2.66666666666667	0.577350269189626
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
AGBL3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL4	0	0	0	0	0	0	0	0
AGBL5	3	9	5	3	9	5	5.66666666666667	3.05505046330389
AGER	0	0	0	0	0	0	0	0
AGFG1	22	23	12	12	23	22	19	6.08276253029822
AGFG2	0	0	0	0	0	0	0	0
AGGF1	7	10	13	7	13	10	10	3
AGK	15	14	23	14	23	15	17.3333333333333	4.93288286231625
AGL	4	11	4	4	11	4	6.33333333333333	4.04145188432738
AGMAT	6	6	7	6	7	6	6.33333333333333	0.577350269189626
AGMO	4	3	2	2	4	3	3	1
AGO1	8	8	14	8	14	8	10	3.46410161513775
AGO2	2	3	2	2	3	2	2.33333333333333	0.577350269189626
AGO3	3	6	4	3	6	4	4.33333333333333	1.52752523165195
AGO4	5	12	1	1	12	5	6	5.56776436283002
AGPAT1	27	33	31	27	33	31	30.3333333333333	3.05505046330389
AGPAT2	4	3	3	3	4	3	3.33333333333333	0.577350269189626
AGPAT3	5	6	3	3	6	5	4.66666666666667	1.52752523165195
AGPAT4	6	8	5	5	8	6	6.33333333333333	1.52752523165195
AGPAT4-IT1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AGPAT5	18	16	15	15	18	16	16.3333333333333	1.52752523165195
AGPAT6	8	8	6	6	8	8	7.33333333333333	1.15470053837925
AGPAT9	0	0	0	0	0	0	0	0
AGPS	31	37	33	31	37	33	33.6666666666667	3.05505046330389
AGRN	3	3	0	0	3	3	2	1.73205080756888
AGRP	0	0	0	0	0	0	0	0
AGT	14	19	19	14	19	19	17.3333333333333	2.88675134594813
AGTPBP1	1	7	5	1	7	5	4.33333333333333	3.05505046330389
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	46	49	57	46	57	49	50.6666666666667	5.68624070307733
AHCTF1	4	3	3	3	4	3	3.33333333333333	0.577350269189626
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	74	84	78	74	84	78	78.6666666666667	5.03322295684717
AHCYL1	40	51	42	40	51	42	44.3333333333333	5.85946527708232
AHCYL2	1	6	2	1	6	2	3	2.64575131106459
AHDC1	3	3	3	3	3	3	3	0
AHI1	22	35	21	21	35	22	26	7.81024967590665
AHNAK	257	304	226	226	304	257	262.333333333333	39.272551907577
AHNAK2	13	24	21	13	24	21	19.3333333333333	5.68624070307733
AHR	44	64	75	44	75	64	61	15.7162336455017
AHRR	4	0	4	0	4	4	2.66666666666667	2.3094010767585
AHSA1	41	35	22	22	41	35	32.6666666666667	9.71253485622231
AHSA2	9	11	6	6	11	9	8.66666666666667	2.51661147842358
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	1	6	1	1	6	1	2.66666666666667	2.88675134594813
AIDA	36	30	36	30	36	36	34	3.46410161513775
AIF1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AIF1L	0	0	0	0	0	0	0	0
AIFM1	20	15	17	15	20	17	17.3333333333333	2.51661147842358
AIFM2	6	1	18	1	18	6	8.33333333333333	8.7368949480541
AIFM3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AIG1	33	50	54	33	54	50	45.6666666666667	11.1504857891185
AIM1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	90	100	93	90	100	93	94.3333333333333	5.13160143944688
AIMP2	0	0	0	0	0	0	0	0
AIP	19	28	8	8	28	19	18.3333333333333	10.0166528008778
AIPL1	9	7	7	7	9	7	7.66666666666667	1.15470053837925
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	0
AJUBA	8	12	14	8	14	12	11.3333333333333	3.05505046330389
AK1	58	56	50	50	58	56	54.6666666666667	4.16333199893227
AK2	77	83	81	77	83	81	80.3333333333333	3.05505046330389
AK3	34	45	37	34	45	37	38.6666666666667	5.68624070307733
AK4	82	88	90	82	90	88	86.6666666666667	4.16333199893227
AK5	6	1	7	1	7	6	4.66666666666667	3.21455025366432
AK8	0	2	1	0	2	1	1	1
AK9	16	23	11	11	23	16	16.6666666666667	6.02771377334171
AKAP1	4	5	7	4	7	5	5.33333333333333	1.52752523165195
AKAP10	8	6	4	4	8	6	6	2
AKAP11	25	30	22	22	30	25	25.6666666666667	4.04145188432738
AKAP12	45	44	50	44	50	45	46.3333333333333	3.21455025366432
AKAP13	28	42	31	28	42	31	33.6666666666667	7.37111479583199
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	6	10	6	6	10	6	7.33333333333333	2.3094010767585
AKAP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	0	0	0	0	0	0	0
AKAP5	8	7	7	7	8	7	7.33333333333333	0.577350269189626
AKAP6	1	3	0	0	3	1	1.33333333333333	1.52752523165195
AKAP7	1	1	4	1	4	1	2	1.73205080756888
AKAP8	11	7	4	4	11	7	7.33333333333333	3.51188458428425
AKAP8L	4	2	12	2	12	4	6	5.29150262212918
AKAP9	102	116	98	98	116	102	105.333333333333	9.45163125250522
AKIP1	15	24	11	11	24	15	16.6666666666667	6.65832811847939
AKIRIN1	16	20	19	16	20	19	18.3333333333333	2.08166599946613
AKIRIN2	4	6	2	2	6	4	4	2
AKNA	9	6	7	6	9	7	7.33333333333333	1.52752523165195
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	119	166	130	119	166	130	138.333333333333	24.5831920899897
AKR1B1	102	121	123	102	123	121	115.333333333333	11.5902257671425
AKR1B10	1	2	7	1	7	2	3.33333333333333	3.21455025366432
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	11	18	12	11	18	12	13.6666666666667	3.78593889720018
AKR1C2	4	7	8	4	8	7	6.33333333333333	2.08166599946613
AKR1C3	110	140	120	110	140	120	123.333333333333	15.2752523165195
AKR1C6P	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AKR1D1	0	2	8	0	8	2	3.33333333333333	4.16333199893227
AKR1E2	0	0	0	0	0	0	0	0
AKR7A2	80	95	109	80	109	95	94.6666666666667	14.5028732785381
