Gene	SUN+DOM.A.6.22.1.D12	SUN+DOM.A.6.23.1.E1	SUN+DOM.A.6.24.1.E2	Min	Max	Median	Mean	Std
ABCB8	3	5	4	3	5	4	4	1
ABCB9	0	0	0	0	0	0	0	0
ABCC1	31	12	17	12	31	17	20	9.8488578017961
ABCC10	3	6	5	3	6	5	4.66666666666667	1.52752523165195
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCC13	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABCC2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCC3	1	3	7	1	7	3	3.66666666666667	3.05505046330389
ABCC4	10	6	9	6	10	9	8.33333333333333	2.08166599946613
ABCC5	24	14	11	11	24	14	16.3333333333333	6.80685928555405
ABCC5-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCC6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCC9	1	2	0	0	2	1	1	1
ABCD1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABCD2	0	0	0	0	0	0	0	0
ABCD3	33	25	30	25	33	30	29.3333333333333	4.04145188432738
ABCD4	13	9	20	9	20	13	14	5.56776436283002
ABCE1	88	57	84	57	88	84	76.3333333333333	16.8621864932557
ABCF1	101	74	81	74	101	81	85.3333333333333	14.0118997046558
ABCF2	58	24	47	24	58	47	43	17.3493515728975
ABCF3	17	11	13	11	17	13	13.6666666666667	3.05505046330389
ABCG1	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ABCG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	18	15	18	15	18	18	17	1.73205080756888
ABHD11	5	6	3	3	6	5	4.66666666666667	1.52752523165195
ABHD12	6	1	7	1	7	6	4.66666666666667	3.21455025366432
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	16	14	15	14	16	15	15	1
ABHD14A	2	2	1	1	2	2	1.66666666666667	0.577350269189626
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	16	18	14	14	18	16	16	2
ABHD15	10	11	8	8	11	10	9.66666666666667	1.52752523165195
ABHD16A	14	6	4	4	14	6	8	5.29150262212918
ABHD16B	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABHD17A	10	11	8	8	11	10	9.66666666666667	1.52752523165195
ABHD17B	8	0	1	0	8	1	3	4.35889894354067
ABHD17C	5	4	5	4	5	5	4.66666666666667	0.577350269189626
ABHD2	11	9	16	9	16	11	12	3.60555127546399
ABHD3	2	1	0	0	2	1	1	1
ABHD4	86	72	59	59	86	72	72.3333333333333	13.5030860670194
ABHD5	23	16	10	10	23	16	16.3333333333333	6.50640709864771
ABHD6	5	2	4	2	5	4	3.66666666666667	1.52752523165195
ABHD8	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ABI1	60	45	51	45	60	51	52	7.54983443527075
ABI2	36	31	19	19	36	31	28.6666666666667	8.73689494805411
ABI3BP	105	76	72	72	105	76	84.3333333333333	18.0092568789868
ABL1	19	11	10	10	19	11	13.3333333333333	4.93288286231625
ABL2	20	12	12	12	20	12	14.6666666666667	4.61880215351701
ABLIM1	113	84	95	84	113	95	97.3333333333333	14.6401275039985
ABLIM2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABLIM3	24	12	13	12	24	13	16.3333333333333	6.65832811847939
ABR	2	5	5	2	5	5	4	1.73205080756888
ABRA	0	0	0	0	0	0	0	0
ABRACL	54	39	55	39	55	54	49.3333333333333	8.9628864398325
ABT1	17	12	16	12	17	16	15	2.64575131106459
ABTB1	3	0	0	0	3	0	1	1.73205080756888
ABTB2	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ACAA1	12	7	9	7	12	9	9.33333333333333	2.51661147842358
ACAA2	102	63	82	63	102	82	82.3333333333333	19.5021366350801
ACACA	14	2	1	1	14	2	5.66666666666667	7.23417813807023
ACACB	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACAD10	4	2	9	2	9	4	5	3.60555127546399
ACAD11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACAD8	7	8	5	5	8	7	6.66666666666667	1.52752523165195
ACAD9	7	5	4	4	7	5	5.33333333333333	1.52752523165195
ACADL	4	1	2	1	4	2	2.33333333333333	1.52752523165195
ACADM	76	60	66	60	76	66	67.3333333333333	8.08290376865476
ACADS	0	0	0	0	0	0	0	0
ACADSB	13	9	5	5	13	9	9	4
ACADVL	46	27	19	19	46	27	30.6666666666667	13.8684293751431
ACAN	0	0	0	0	0	0	0	0
ACAP1	5	3	2	2	5	3	3.33333333333333	1.52752523165195
ACAP2	63	47	52	47	63	52	54	8.18535277187245
ACAP3	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACAT1	116	69	82	69	116	82	89	24.2693221990232
ACAT2	5	5	7	5	7	5	5.66666666666667	1.15470053837925
ACBD3	60	30	30	30	60	30	40	17.3205080756888
ACBD4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACBD5	36	17	16	16	36	17	23	11.2694276695846
ACBD6	27	22	18	18	27	22	22.3333333333333	4.50924975282289
ACBD7	8	4	3	3	8	4	5	2.64575131106459
ACCS	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACD	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ACE	0	0	0	0	0	0	0	0
ACE2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACER3	3	1	2	1	3	2	2	1
ACIN1	60	57	94	57	94	60	70.3333333333333	20.5507501890645
ACLY	58	30	36	30	58	36	41.3333333333333	14.742229591664
ACMSD	0	0	0	0	0	0	0	0
ACN9	56	30	52	30	56	52	46	14
ACO1	18	17	18	17	18	18	17.6666666666667	0.577350269189626
ACO2	6	8	0	0	8	6	4.66666666666667	4.16333199893227
ACOT1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACOT11	0	0	0	0	0	0	0	0
ACOT13	133	90	87	87	133	90	103.333333333333	25.7358375292768
ACOT2	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ACOT4	0	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0	0
ACOT7	13	6	6	6	13	6	8.33333333333333	4.04145188432738
ACOT8	12	11	6	6	12	11	9.66666666666667	3.21455025366432
ACOT9	75	65	57	57	75	65	65.6666666666667	9.01849950564579
ACOX1	53	41	26	26	53	41	40	13.5277492584687
ACOX2	16	4	5	4	16	5	8.33333333333333	6.65832811847939
ACOX3	2	6	7	2	7	6	5	2.64575131106459
ACOXL	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACP1	462	265	350	265	462	350	359	98.8078944214479
ACP2	15	7	10	7	15	10	10.6666666666667	4.04145188432738
ACP5	0	0	0	0	0	0	0	0
ACP6	2	3	1	1	3	2	2	1
ACPL2	8	2	4	2	8	4	4.66666666666667	3.05505046330389
ACPP	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0
ACRC	1	1	1	1	1	1	1	0
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSBG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSF2	12	0	2	0	12	2	4.66666666666667	6.42910050732864
ACSF3	0	2	3	0	3	2	1.66666666666667	1.52752523165195
ACSL1	45	19	35	19	45	35	33	13.114877048604
ACSL3	29	23	37	23	37	29	29.6666666666667	7.02376916856849
ACSL4	35	16	26	16	35	26	25.6666666666667	9.50438495292217
ACSL5	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACSL6	14	7	12	7	14	12	11	3.60555127546399
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSM5	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	0
ACSS2	9	4	3	3	9	4	5.33333333333333	3.21455025366432
ACSS3	0	0	0	0	0	0	0	0
ACTA2	7612	4596	5630	4596	7612	5630	5946	1532.63041859412
ACTB	1982	1290	1421	1290	1982	1421	1564.33333333333	367.592618714431
ACTBL2	2	0	1	0	2	1	1	1
ACTC1	0	0	0	0	0	0	0	0
ACTG1	5032	3021	3653	3021	5032	3653	3902	1028.36326266548
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ACTL10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	92	52	50	50	92	52	64.6666666666667	23.6924741918891
ACTL8	0	0	0	0	0	0	0	0
ACTN1	297	168	199	168	297	199	221.333333333333	67.3374586195034
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTN4	47	40	52	40	52	47	46.3333333333333	6.02771377334171
ACTR10	230	127	130	127	230	130	162.333333333333	58.6202467866976
ACTR1A	119	84	88	84	119	88	97	19.157244060668
ACTR1B	19	20	16	16	20	19	18.3333333333333	2.08166599946613
ACTR2	192	120	159	120	192	159	157	36.0416425818802
ACTR3	95	76	100	76	100	95	90.3333333333333	12.6622799421484
ACTR3B	2	0	2	0	2	2	1.33333333333333	1.15470053837925
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	1	0	2	0	2	1	1	1
ACTR6	33	35	34	33	35	34	34	1
ACTR8	28	8	30	8	30	28	22	12.1655250605964
ACTRT3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACVR1	27	17	34	17	34	27	26	8.54400374531753
ACVR1B	10	1	2	1	10	2	4.33333333333333	4.93288286231625
ACVR1C	0	0	0	0	0	0	0	0
ACVR2A	34	22	16	16	34	22	24	9.16515138991168
ACVR2B	1	1	3	1	3	1	1.66666666666667	1.15470053837925
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACY1	0	0	0	0	0	0	0	0
ACYP1	8	9	5	5	9	8	7.33333333333333	2.08166599946613
ACYP2	30	22	25	22	30	25	25.6666666666667	4.04145188432738
ADA	5	1	3	1	5	3	3	2
ADAL	12	9	3	3	12	9	8	4.58257569495584
ADAM10	40	35	37	35	40	37	37.3333333333333	2.51661147842358
ADAM11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM12	39	27	28	27	39	28	31.3333333333333	6.65832811847939
ADAM15	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM17	31	16	10	10	31	16	19	10.816653826392
ADAM18	0	0	0	0	0	0	0	0
ADAM19	6	4	5	4	6	5	5	1
ADAM1A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	0	2	1	0	2	1	1	1
ADAM22	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM23	2	3	4	2	4	3	3	1
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	1	1	1	1	1	1	1	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	96	74	87	74	96	87	85.6666666666667	11.060440015358
ADAMTS1	57	51	54	51	57	54	54	3
ADAMTS10	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ADAMTS12	21	12	29	12	29	21	20.6666666666667	8.50490054811538
ADAMTS13	3	0	2	0	3	2	1.66666666666667	1.52752523165195
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTS16	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS17	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	42	22	34	22	42	34	32.6666666666667	10.0664459136943
ADAMTS3	2	1	0	0	2	1	1	1
ADAMTS4	10	6	5	5	10	6	7	2.64575131106459
ADAMTS5	63	48	41	41	63	48	50.6666666666667	11.2398102000582
ADAMTS6	14	11	9	9	14	11	11.3333333333333	2.51661147842358
ADAMTS7	1	2	0	0	2	1	1	1
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	3	1	2	1	3	2	2	1
ADAMTSL2	3	0	0	0	3	0	1	1.73205080756888
ADAMTSL3	8	9	5	5	9	8	7.33333333333333	2.08166599946613
ADAMTSL4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL5	5	3	6	3	6	5	4.66666666666667	1.52752523165195
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0
ADAR	60	28	27	27	60	28	38.3333333333333	18.7705443004015
ADARB1	7	2	2	2	7	2	3.66666666666667	2.88675134594813
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	18	8	12	8	18	12	12.6666666666667	5.03322295684717
ADAT2	3	3	10	3	10	3	5.33333333333333	4.04145188432738
ADAT3	0	0	0	0	0	0	0	0
ADC	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCK1	4	2	0	0	4	2	2	2
ADCK2	2	0	1	0	2	1	1	1
ADCK3	3	3	3	3	3	3	3	0
ADCK4	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ADCK5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
ADCY10	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCY10P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY3	3	4	2	2	4	3	3	1
ADCY4	0	0	0	0	0	0	0	0
ADCY5	1	1	1	1	1	1	1	0
ADCY6	23	12	9	9	23	12	14.6666666666667	7.37111479583199
ADCY7	33	10	24	10	33	24	22.3333333333333	11.5902257671425
ADCY8	0	0	0	0	0	0	0	0
ADCY9	4	3	3	3	4	3	3.33333333333333	0.577350269189626
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	51	42	46	42	51	46	46.3333333333333	4.50924975282289
ADD3	204	120	152	120	204	152	158.666666666667	42.3949682548924
ADD3-AS1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADH1A	0	0	0	0	0	0	0	0
ADH1B	1	0	2	0	2	1	1	1
ADH1C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADH4	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADH5	412	265	314	265	412	314	330.333333333333	74.8487363509454
ADH6	0	0	0	0	0	0	0	0
ADHFE1	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ADI1	56	31	34	31	56	34	40.3333333333333	13.6503968196288
ADIPOQ	8	6	5	5	8	6	6.33333333333333	1.52752523165195
ADIPOQ-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADIPOR1	68	37	39	37	68	39	48	17.3493515728975
ADIPOR2	15	7	2	2	15	7	8	6.557438524302
ADIRF	17	7	24	7	24	17	16	8.54400374531753
ADK	58	39	44	39	58	44	47	9.8488578017961
ADM	47	29	29	29	47	29	35	10.3923048454133
ADM2	14	8	6	6	14	8	9.33333333333333	4.16333199893227
ADM5	0	0	0	0	0	0	0	0
ADNP	19	13	9	9	19	13	13.6666666666667	5.03322295684717
ADNP2	15	9	6	6	15	9	10	4.58257569495584
ADO	14	5	2	2	14	5	7	6.2449979983984
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	1	1	1	1	1	1	0
ADORA2B	13	9	8	8	13	9	10	2.64575131106459
ADORA3	0	0	0	0	0	0	0	0
ADPGK	29	11	6	6	29	11	15.3333333333333	12.0968315410827
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	0	0	3	0	3	0	1	1.73205080756888
ADPRHL2	24	13	16	13	24	16	17.6666666666667	5.68624070307733
ADPRM	28	23	30	23	30	28	27	3.60555127546399
ADRA1A	4	5	4	4	5	4	4.33333333333333	0.577350269189626
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	1	2	6	1	6	2	3	2.64575131106459
ADRB1	0	0	0	0	0	0	0	0
ADRB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	19	7	12	7	19	12	12.6666666666667	6.02771377334171
ADRBK2	11	6	6	6	11	6	7.66666666666667	2.88675134594813
ADRM1	35	19	21	19	35	21	25	8.71779788708135
ADSL	126	85	98	85	126	98	103	20.952326839757
ADSS	36	16	32	16	36	32	28	10.5830052442584
ADSSL1	0	1	2	0	2	1	1	1
ADTRP	4	1	6	1	6	4	3.66666666666667	2.51661147842358
AEBP1	109	75	61	61	109	75	81.6666666666667	24.6846781087648
AEBP2	11	13	12	11	13	12	12	1
AEN	31	20	20	20	31	20	23.6666666666667	6.35085296108588
AES	31	20	15	15	31	20	22	8.18535277187245
AFAP1	87	73	61	61	87	73	73.6666666666667	13.0128141972954
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	4	3	3	3	4	3	3.33333333333333	0.577350269189626
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	20	19	14	14	20	19	17.6666666666667	3.21455025366432
AFF2	3	0	0	0	3	0	1	1.73205080756888
AFF3	6	2	3	2	6	3	3.66666666666667	2.08166599946613
AFF4	59	45	26	26	59	45	43.3333333333333	16.5630109984065
AFG3L1P	4	1	1	1	4	1	2	1.73205080756888
AFG3L2	77	46	49	46	77	49	57.3333333333333	17.0977581376429
AFMID	41	38	33	33	41	38	37.3333333333333	4.04145188432738
AFP	6	1	6	1	6	6	4.33333333333333	2.88675134594813
AFTPH	16	6	9	6	16	9	10.3333333333333	5.13160143944688
AGA	84	55	78	55	84	78	72.3333333333333	15.3079500042734
AGAP1	22	18	20	18	22	20	20	2
AGAP11	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
AGAP3	9	5	10	5	10	9	8	2.64575131106459
AGAP5	0	0	0	0	0	0	0	0
AGAP6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGAP9	0	0	0	0	0	0	0	0
AGBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGBL4	0	0	0	0	0	0	0	0
AGBL5	7	4	7	4	7	7	6	1.73205080756888
AGER	0	0	0	0	0	0	0	0
AGFG1	42	20	20	20	42	20	27.3333333333333	12.7017059221718
AGFG2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGGF1	11	10	8	8	11	10	9.66666666666667	1.52752523165195
AGK	17	9	17	9	17	17	14.3333333333333	4.61880215351701
AGL	6	8	10	6	10	8	8	2
AGMAT	1	8	5	1	8	5	4.66666666666667	3.51188458428425
AGMO	2	3	0	0	3	2	1.66666666666667	1.52752523165195
AGO1	19	17	9	9	19	17	15	5.29150262212918
AGO2	4	2	1	1	4	2	2.33333333333333	1.52752523165195
AGO3	8	3	5	3	8	5	5.33333333333333	2.51661147842358
AGO4	12	8	5	5	12	8	8.33333333333333	3.51188458428425
AGPAT1	51	24	32	24	51	32	35.6666666666667	13.8684293751431
AGPAT2	3	7	6	3	7	6	5.33333333333333	2.08166599946613
AGPAT3	9	4	10	4	10	9	7.66666666666667	3.21455025366432
AGPAT4	6	4	8	4	8	6	6	2
AGPAT4-IT1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGPAT5	22	25	18	18	25	22	21.6666666666667	3.51188458428425
AGPAT6	20	9	8	8	20	9	12.3333333333333	6.65832811847939
AGPAT9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGPS	52	21	27	21	52	27	33.3333333333333	16.4418166068514
AGRN	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AGRP	0	0	0	0	0	0	0	0
AGT	21	15	19	15	21	19	18.3333333333333	3.05505046330389
AGTPBP1	7	2	7	2	7	7	5.33333333333333	2.88675134594813
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	63	30	62	30	63	62	51.6666666666667	18.7705443004015
AHCTF1	9	5	5	5	9	5	6.33333333333333	2.3094010767585
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	112	79	82	79	112	82	91	18.2482875908947
AHCYL1	68	41	45	41	68	45	51.3333333333333	14.5716619962629
AHCYL2	5	2	1	1	5	2	2.66666666666667	2.08166599946613
AHDC1	7	5	5	5	7	5	5.66666666666667	1.15470053837925
AHI1	43	23	33	23	43	33	33	10
AHNAK	417	262	246	246	417	262	308.333333333333	94.4475162899127
AHNAK2	26	18	32	18	32	26	25.3333333333333	7.02376916856849
AHR	65	44	43	43	65	44	50.6666666666667	12.4230967690561
AHRR	5	0	2	0	5	2	2.33333333333333	2.51661147842358
AHSA1	40	28	26	26	40	28	31.3333333333333	7.57187779440036
AHSA2	6	3	6	3	6	6	5	1.73205080756888
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	2	3	3	2	3	3	2.66666666666667	0.577350269189626
AIDA	52	34	35	34	52	35	40.3333333333333	10.1159939369957
AIF1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AIF1L	0	0	0	0	0	0	0	0
AIFM1	34	25	28	25	34	28	29	4.58257569495584
AIFM2	15	6	3	3	15	6	8	6.2449979983984
AIFM3	0	0	0	0	0	0	0	0
AIG1	45	27	51	27	51	45	41	12.4899959967968
AIM1	2	2	3	2	3	2	2.33333333333333	0.577350269189626
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	115	86	107	86	115	107	102.666666666667	14.9777612924406
AIMP2	0	0	0	0	0	0	0	0
AIP	13	9	10	9	13	10	10.6666666666667	2.08166599946613
AIPL1	12	12	9	9	12	12	11	1.73205080756888
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	0
AJUBA	38	4	16	4	38	16	19.3333333333333	17.2433562085034
AK1	64	39	51	39	64	51	51.3333333333333	12.5033328890074
AK2	93	74	97	74	97	93	88	12.2882057274445
AK3	73	39	44	39	73	44	52	18.3575597506858
AK4	130	83	77	77	130	83	96.6666666666667	29.022979401387
AK5	1	3	5	1	5	3	3	2
AK8	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AK9	18	14	10	10	18	14	14	4
AKAP1	4	2	0	0	4	2	2	2
AKAP10	17	7	8	7	17	8	10.6666666666667	5.5075705472861
AKAP11	33	21	25	21	33	25	26.3333333333333	6.11010092660779
AKAP12	55	43	48	43	55	48	48.6666666666667	6.02771377334171
AKAP13	36	26	28	26	36	28	30	5.29150262212918
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	16	8	6	6	16	8	10	5.29150262212918
AKAP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	0	0	0	0	0	0	0
AKAP5	15	6	7	6	15	7	9.33333333333333	4.93288286231625
AKAP6	3	3	1	1	3	3	2.33333333333333	1.15470053837925
AKAP7	1	2	1	1	2	1	1.33333333333333	0.577350269189626
AKAP8	9	16	8	8	16	9	11	4.35889894354067
AKAP8L	5	9	6	5	9	6	6.66666666666667	2.08166599946613
AKAP9	129	93	104	93	129	104	108.666666666667	18.4481254693623
AKIP1	27	14	21	14	27	21	20.6666666666667	6.50640709864771
AKIRIN1	38	14	18	14	38	18	23.3333333333333	12.8582010146573
AKIRIN2	16	9	8	8	16	9	11	4.35889894354067
AKNA	7	1	2	1	7	2	3.33333333333333	3.21455025366432
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	160	139	131	131	160	139	143.333333333333	14.9777612924406
AKR1B1	185	97	122	97	185	122	134.666666666667	45.3468117218105
AKR1B10	3	2	2	2	3	2	2.33333333333333	0.577350269189626
AKR1B15	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKR1C1	16	12	13	12	16	13	13.6666666666667	2.08166599946613
AKR1C2	8	6	9	6	9	8	7.66666666666667	1.52752523165195
AKR1C3	175	118	148	118	175	148	147	28.5131548587665
AKR1C6P	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AKR1D1	5	1	0	0	5	1	2	2.64575131106459
