Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
ABCA11P	34	4	2	2	34	4	13.3333333333333	17.925772879665
ABCA12	0	0	0	0	0	0	0	0
ABCA13	14	3	1	1	14	3	6	7
ABCA17P	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA2	9	2	1	1	9	2	4	4.35889894354067
ABCA3	5	2	0	0	5	2	2.33333333333333	2.51661147842358
ABCA4	16	3	1	1	16	3	6.66666666666667	8.14452781524708
ABCA5	57	9	1	1	57	9	22.3333333333333	30.2875111776015
ABCA6	106	21	10	10	106	21	45.6666666666667	52.5388744962559
ABCA7	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA8	175	34	16	16	175	34	75	87.068938204161
ABCA9	275	36	22	22	275	36	111	142.200562586791
ABCB1	0	0	0	0	0	0	0	0
ABCB10	24	6	0	0	24	6	10	12.4899959967968
ABCB5	25	10	3	3	25	10	12.6666666666667	11.2398102000582
ABCB6	62	18	11	11	62	18	30.3333333333333	27.6465790529919
ABCB7	111	34	6	6	111	34	50.3333333333333	54.3721742560782
ABCB8	14	2	0	0	14	2	5.33333333333333	7.57187779440037
ABCB9	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCC1	75	29	10	10	75	29	38	33.4215499341368
ABCC10	33	8	4	4	33	8	15	15.7162336455017
ABCC11	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCC12	0	0	0	0	0	0	0	0
ABCC13	9	3	0	0	9	3	4	4.58257569495584
ABCC2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCC3	18	3	2	2	18	3	7.66666666666667	8.9628864398325
ABCC4	39	13	4	4	39	13	18.6666666666667	18.1750745069541
ABCC5	70	12	1	1	70	12	27.6666666666667	37.0720020140986
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ABCD1	4	1	2	1	4	2	2.33333333333333	1.52752523165195
ABCD2	0	0	0	0	0	0	0	0
ABCD3	155	32	15	15	155	32	67.3333333333333	76.3958986682749
ABCD4	65	20	5	5	65	20	30	31.224989991992
ABCE1	533	105	49	49	533	105	229	264.756491893967
ABCF1	677	127	55	55	677	127	286.333333333333	340.237172180427
ABCF2	309	54	19	19	309	54	127.333333333333	158.298241725337
ABCF3	92	13	4	4	92	13	36.3333333333333	48.4183160935336
ABCG1	4	1	1	1	4	1	2	1.73205080756888
ABCG2	9	0	0	0	9	0	3	5.19615242270663
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABHD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABHD10	117	25	9	9	117	25	50.3333333333333	58.2866479850517
ABHD11	30	6	3	3	30	6	13	14.7986485869487
ABHD12	19	8	2	2	19	8	9.66666666666667	8.62167810425171
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	102	19	10	10	102	19	43.6666666666667	50.7181755718138
ABHD14A	24	6	2	2	24	6	10.6666666666667	11.7189305541646
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	77	21	8	8	77	21	35.3333333333333	36.6651514838454
ABHD15	39	14	5	5	39	14	19.3333333333333	17.6162803489651
ABHD16A	55	8	4	4	55	8	22.3333333333333	28.360771028541
ABHD16B	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABHD17A	37	9	3	3	37	9	16.3333333333333	18.1475434517549
ABHD17B	27	6	3	3	27	6	12	13.076696830622
ABHD17C	26	5	2	2	26	5	11	13.076696830622
ABHD2	123	22	8	8	123	22	51	62.745517768204
ABHD3	3	0	0	0	3	0	1	1.73205080756888
ABHD4	439	73	36	36	439	73	182.666666666667	222.760708683855
ABHD5	115	14	6	6	115	14	45	60.7536007163361
ABHD6	16	0	0	0	16	0	5.33333333333333	9.23760430703401
ABHD8	14	2	0	0	14	2	5.33333333333333	7.57187779440037
ABI1	351	59	21	21	351	59	143.666666666667	180.558393140096
ABI2	134	35	14	14	134	35	61	64.0858798800485
ABI3BP	456	104	35	35	456	104	198.333333333333	225.797106565459
ABL1	61	18	4	4	61	18	27.6666666666667	29.7040962382856
ABL2	96	26	16	16	96	26	46	43.5889894354067
ABLIM1	558	114	43	43	558	114	238.333333333333	279.106311883722
ABLIM2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABLIM3	71	20	7	7	71	20	32.6666666666667	33.8279962949823
ABR	32	11	2	2	32	11	15	15.3948043183407
ABRA	0	0	0	0	0	0	0	0
ABRACL	301	57	21	21	301	57	126.333333333333	152.332968635596
ABT1	106	22	11	11	106	22	46.3333333333333	51.964731629571
ABTB1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABTB2	4	0	1	0	4	1	1.66666666666667	2.08166599946613
ACAA1	27	10	5	5	27	10	14	11.5325625946708
ACAA2	507	94	36	36	507	94	212.333333333333	256.8313324603
ACACA	38	16	9	9	38	16	21	15.1327459504216
ACACB	4	3	0	0	4	3	2.33333333333333	2.08166599946613
ACAD10	15	0	3	0	15	3	6	7.93725393319377
ACAD11	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACAD8	32	10	2	2	32	10	14.6666666666667	15.5349069303081
ACAD9	72	11	5	5	72	11	29.3333333333333	37.0720020140986
ACADL	10	2	0	0	10	2	4	5.29150262212918
ACADM	448	66	27	27	448	66	180.333333333333	232.624876858287
ACADS	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACADSB	41	12	2	2	41	12	18.3333333333333	20.2566861389847
ACADVL	135	38	21	21	135	38	64.6666666666667	61.5006775030433
ACAN	0	0	0	0	0	0	0	0
ACAP1	23	4	1	1	23	4	9.33333333333333	11.9303534454489
ACAP2	316	88	35	35	316	88	146.333333333333	149.306173125338
ACAP3	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ACAT1	634	130	39	39	634	130	267.666666666667	320.500130005174
ACAT2	27	6	1	1	27	6	11.3333333333333	13.7961347243833
ACBD3	201	40	12	12	201	40	84.3333333333333	102.00163397384
ACBD4	13	2	0	0	13	2	5	7
ACBD5	146	31	13	13	146	31	63.3333333333333	72.1549259117722
ACBD6	105	25	13	13	105	25	47.6666666666667	50.0133315560295
ACBD7	33	5	0	0	33	5	12.6666666666667	17.7857620959388
ACCS	6	1	0	0	6	1	2.33333333333333	3.21455025366432
ACD	11	1	3	1	11	3	5	5.29150262212918
ACE	0	0	0	0	0	0	0	0
ACE2	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ACER1	0	0	0	0	0	0	0	0
ACER2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACER3	19	2	1	1	19	2	7.33333333333333	10.1159939369957
ACIN1	617	80	44	44	617	80	247	320.934572771461
ACLY	196	50	19	19	196	50	88.3333333333333	94.5216024691358
ACMSD	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACN9	320	48	22	22	320	48	130	165.057565715722
ACO1	106	32	12	12	106	32	50	49.5176736125598
ACO2	44	7	2	2	44	7	17.6666666666667	22.9419557434264
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	777	155	54	54	777	155	328.666666666667	391.538418719458
ACOT2	17	1	1	1	17	1	6.33333333333333	9.23760430703401
ACOT4	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ACOT6	0	0	0	0	0	0	0	0
ACOT7	32	10	2	2	32	10	14.6666666666667	15.5349069303081
ACOT8	54	6	2	2	54	6	20.6666666666667	28.9367125522809
ACOT9	450	77	26	26	450	77	184.333333333333	231.48290073639
ACOX1	246	67	20	20	246	67	111	119.251834367443
ACOX2	65	4	3	3	65	4	24	35.5105618091294
ACOX3	67	13	6	6	67	13	28.6666666666667	33.3816316757185
ACOXL	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACP1	2622	438	163	163	2622	438	1074.33333333333	1347.35308413694
ACP2	28	7	0	0	28	7	11.6666666666667	14.5716619962629
ACP5	0	0	0	0	0	0	0	0
ACP6	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ACPL2	27	8	1	1	27	8	12	13.4536240470737
ACPP	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0
ACRC	5	1	0	0	5	1	2	2.64575131106459
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACSF2	39	7	4	4	39	7	16.6666666666667	19.399312702602
ACSF3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACSL1	170	38	9	9	170	38	72.3333333333333	85.8156939803748
ACSL3	180	28	14	14	180	28	74	92.0651942918712
ACSL4	184	47	13	13	184	47	81.3333333333333	90.5225570415094
ACSL5	1	2	0	0	2	1	1	1
ACSL6	48	12	7	7	48	12	22.3333333333333	22.3681320930768
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	2	1	0	0	2	1	1	1
ACSM5	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ACSS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSS2	18	7	3	3	18	7	9.33333333333333	7.76745346515403
ACSS3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACTA2	39300	7893	3554	3554	39300	7893	16915.6666666667	19506.4223868277
ACTB	9748	2396	994	994	9748	2396	4379.33333333333	4701.95037546477
ACTBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTC1	5	0	1	0	5	1	2	2.64575131106459
ACTG1	28956	5572	2159	2159	28956	5572	12229	14586.1762981256
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	24	2	1	1	24	2	9	13
ACTL10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	475	74	30	30	475	74	193	245.208074907822
ACTL8	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACTN1	998	280	96	96	998	280	458	476.617246855378
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTN4	556	71	28	28	556	71	218.333333333333	293.21721186406
ACTR10	1043	185	69	69	1043	185	432.333333333333	532.023808991039
ACTR1A	579	99	45	45	579	99	241	293.959180839789
ACTR1B	84	28	5	5	84	28	39	40.6324993078201
ACTR2	1057	230	79	79	1057	230	455.333333333333	526.500079138962
ACTR3	557	122	39	39	557	122	239.333333333333	278.21993698032
ACTR3B	10	1	0	0	10	1	3.66666666666667	5.5075705472861
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	11	2	2	2	11	2	5	5.19615242270663
ACTR6	272	37	16	16	272	37	108.333333333333	142.127876693256
ACTR8	116	18	5	5	116	18	46.3333333333333	60.6822324353128
ACTRT3	6	1	0	0	6	1	2.33333333333333	3.21455025366432
ACVR1	108	30	15	15	108	30	51	49.9299509312797
ACVR1B	12	5	0	0	12	5	5.66666666666667	6.02771377334171
ACVR1C	0	0	0	0	0	0	0	0
ACVR2A	203	31	14	14	203	31	82.6666666666667	104.557799007694
ACVR2B	13	0	0	0	13	0	4.33333333333333	7.50555349946513
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	8	0	1	0	8	1	3	4.35889894354067
ACY1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACYP1	36	13	4	4	36	13	17.6666666666667	16.5025250593154
ACYP2	192	30	10	10	192	30	77.3333333333333	99.8064794155837
ADA	11	1	5	1	11	5	5.66666666666667	5.03322295684717
ADAL	60	9	6	6	60	9	25	30.347981810987
ADAM10	250	44	21	21	250	44	105	126.099167324769
ADAM11	0	0	0	0	0	0	0	0
ADAM12	100	45	10	10	100	45	51.6666666666667	45.3688586293873
ADAM15	9	2	2	2	9	2	4.33333333333333	4.04145188432738
ADAM17	160	31	20	20	160	31	70.3333333333333	77.8481427738217
ADAM18	0	0	0	0	0	0	0	0
ADAM19	45	18	10	10	45	18	24.3333333333333	18.3393929379719
ADAM1A	5	1	0	0	5	1	2	2.64575131106459
ADAM20	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	25	5	2	2	25	5	10.6666666666667	12.5033328890074
ADAM22	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ADAM23	8	0	3	0	8	3	3.66666666666667	4.04145188432738
ADAM28	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM29	0	0	0	0	0	0	0	0
ADAM30	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM32	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM33	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	447	127	51	51	447	127	208.333333333333	210.155497985024
ADAMTS1	231	68	33	33	231	68	110.666666666667	105.670872681801
ADAMTS10	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ADAMTS12	103	20	9	9	103	20	44	51.3906606301184
ADAMTS13	4	1	2	1	4	2	2.33333333333333	1.52752523165195
ADAMTS14	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS15	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS16	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS17	14	3	2	2	14	3	6.33333333333333	6.65832811847939
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	122	54	16	16	122	54	64	53.7028863283902
ADAMTS3	7	2	0	0	7	2	3	3.60555127546399
ADAMTS4	43	11	1	1	43	11	18.3333333333333	21.9393102292058
ADAMTS5	169	50	23	23	169	50	80.6666666666667	77.6809715009624
ADAMTS6	43	22	4	4	43	22	23	19.5192212959431
ADAMTS7	13	6	1	1	13	6	6.66666666666667	6.02771377334171
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTS9-AS2	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTSL1	10	2	0	0	10	2	4	5.29150262212918
ADAMTSL2	10	2	0	0	10	2	4	5.29150262212918
ADAMTSL3	47	13	3	3	47	13	21	23.0651251893416
ADAMTSL4	9	2	0	0	9	2	3.66666666666667	4.72581562625261
ADAMTSL5	21	3	1	1	21	3	8.33333333333333	11.0151410945722
ADAP1	3	0	0	0	3	0	1	1.73205080756888
ADAP2	0	0	0	0	0	0	0	0
ADAR	230	50	15	15	230	50	98.3333333333333	115.361749871148
ADARB1	12	3	1	1	12	3	5.33333333333333	5.85946527708232
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	83	28	9	9	83	28	40	38.4317577011513
ADAT2	32	6	1	1	32	6	13	16.6433169770932
ADAT3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADC	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ADCK1	15	2	0	0	15	2	5.66666666666667	8.14452781524708
ADCK2	16	5	2	2	16	5	7.66666666666667	7.37111479583199
ADCK3	10	3	0	0	10	3	4.33333333333333	5.13160143944688
ADCK4	11	2	0	0	11	2	4.33333333333333	5.85946527708232
ADCK5	8	2	1	1	8	2	3.66666666666667	3.78593889720018
ADCY1	6	1	0	0	6	1	2.33333333333333	3.21455025366432
ADCY10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY10P1	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ADCY2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADCY3	9	0	2	0	9	2	3.66666666666667	4.72581562625261
ADCY4	0	0	0	0	0	0	0	0
ADCY5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY6	61	17	10	10	61	17	29.3333333333333	27.6465790529919
ADCY7	117	27	4	4	117	27	49.3333333333333	59.7187854308285
ADCY8	0	0	0	0	0	0	0	0
ADCY9	20	6	3	3	20	6	9.66666666666667	9.07377172587747
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	206	48	20	20	206	48	91.3333333333333	100.286256951455
ADD3	983	176	75	75	983	176	411.333333333333	497.646795763153
ADD3-AS1	10	2	1	1	10	2	4.33333333333333	4.93288286231625
ADH1A	0	0	0	0	0	0	0	0
ADH1B	15	7	3	3	15	7	8.33333333333333	6.11010092660779
ADH1C	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADH4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADH5	2162	357	149	149	2162	357	889.333333333333	1107.05751130342
ADH6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADHFE1	18	2	2	2	18	2	7.33333333333333	9.23760430703401
ADI1	147	29	9	9	147	29	61.6666666666667	74.5743476896267
ADIPOQ	16	4	3	3	16	4	7.66666666666667	7.23417813807023
ADIPOQ-AS1	3	0	0	0	3	0	1	1.73205080756888
ADIPOR1	311	53	33	33	311	53	132.333333333333	155.052679220107
ADIPOR2	39	14	7	7	39	14	20	16.8226038412607
ADIRF	118	12	9	9	118	12	46.3333333333333	62.0832774048965
ADK	356	50	13	13	356	50	139.666666666667	188.261343173083
ADM	132	29	8	8	132	29	56.3333333333333	66.3651514978557
ADM2	48	8	10	8	48	10	22	22.5388553391693
ADM5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADNP	53	24	11	11	53	24	29.3333333333333	21.5019378971602
ADNP2	44	12	4	4	44	12	20	21.1660104885167
ADO	51	15	5	5	51	15	23.6666666666667	24.1936630821654
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	4	1	1	1	4	1	2	1.73205080756888
ADORA2B	79	17	6	6	79	17	34	39.3573373083089
ADORA3	0	0	0	0	0	0	0	0
ADPGK	71	21	7	7	71	21	33	33.6452076825214
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRHL1	7	1	0	0	7	1	2.66666666666667	3.78593889720018
ADPRHL2	70	24	6	6	70	24	33.3333333333333	33.0050501186308
ADPRM	182	32	17	17	182	32	77	91.2414379544733
ADRA1A	15	4	3	3	15	4	7.33333333333333	6.65832811847939
ADRA1B	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	31	6	1	1	31	6	12.6666666666667	16.0727512683216
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	92	12	8	8	92	12	37.3333333333333	47.3849483837783
ADRBK2	26	8	6	6	26	8	13.3333333333333	11.0151410945722
ADRM1	176	34	16	16	176	34	75.3333333333333	87.6432161284222
ADSL	768	108	48	48	768	108	308	399.499687108764
ADSS	119	32	6	6	119	32	52.3333333333333	59.1805148113239
ADSSL1	5	1	1	1	5	1	2.33333333333333	2.3094010767585
ADTRP	8	2	2	2	8	2	4	3.46410161513775
AEBP1	317	122	46	46	317	122	161.666666666667	139.78674233751
AEBP2	70	16	5	5	70	16	30.3333333333333	34.7898452617044
AEN	183	39	10	10	183	39	77.3333333333333	92.6516774447896
AES	121	30	13	13	121	30	54.6666666666667	58.0717946453641
AFAP1	296	56	20	20	296	56	124	150.039994668088
AFAP1-AS1	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AFAP1L1	7	4	3	3	7	4	4.66666666666667	2.08166599946613
AFAP1L2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AFF1	95	13	12	12	95	13	40	47.6340214552582
AFF2	11	2	1	1	11	2	4.66666666666667	5.5075705472861
AFF3	17	1	0	0	17	1	6	9.53939201416946
AFF4	251	71	37	37	251	71	119.666666666667	115.00144926623
AFG3L1P	7	0	1	0	7	1	2.66666666666667	3.78593889720018
AFG3L2	329	53	27	27	329	53	136.333333333333	167.359891650698
AFMID	224	41	11	11	224	41	92	115.295273103454
AFP	11	2	0	0	11	2	4.33333333333333	5.85946527708232
AFTPH	66	8	9	8	66	9	27.6666666666667	33.2014055927356
AGA	462	79	33	33	462	79	191.333333333333	235.529899022042
AGAP1	122	26	12	12	122	26	53.3333333333333	59.8776530379518
AGAP11	3	0	0	0	3	0	1	1.73205080756888
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	3	1	0	0	3	1	1.33333333333333	1.52752523165195
AGAP3	31	10	3	3	31	10	14.6666666666667	14.5716619962629
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AGBL2	0	0	0	0	0	0	0	0
AGBL3	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AGBL4	0	0	0	0	0	0	0	0
AGBL5	31	12	3	3	31	12	15.3333333333333	14.2945210949277
AGER	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGFG1	105	27	14	14	105	27	48.6666666666667	49.2172056636024
AGFG2	4	1	0	0	4	1	1.66666666666667	2.08166599946613
AGGF1	72	20	10	10	72	20	34	33.2866339541865
AGK	124	16	8	8	124	16	49.3333333333333	64.7868299373672
AGL	58	11	10	10	58	11	26.3333333333333	27.4286954362276
AGMAT	29	4	2	2	29	4	11.6666666666667	15.0443787951957
AGMO	6	4	0	0	6	4	3.33333333333333	3.05505046330389
AGO1	91	18	8	8	91	18	39	45.3100430368368
AGO2	16	2	2	2	16	2	6.66666666666667	8.08290376865476
AGO3	31	4	0	0	31	4	11.6666666666667	16.8621864932557
AGO4	34	8	3	3	34	8	15	16.6433169770932
AGPAT1	201	35	15	15	201	35	83.6666666666667	102.104521610619
AGPAT2	37	9	2	2	37	9	16	18.5202591774521
AGPAT3	34	12	7	7	34	12	17.6666666666667	14.3643076176102
AGPAT4	49	17	5	5	49	17	23.6666666666667	22.7449628123093
AGPAT4-IT1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
AGPAT5	104	27	9	9	104	27	46.6666666666667	50.4612062215454
AGPAT6	46	15	3	3	46	15	21.3333333333333	22.1885856541902
AGPAT9	0	0	0	0	0	0	0	0
AGPS	191	39	28	28	191	39	86	91.0988474131259
AGRN	3	2	1	1	3	2	2	1
AGRP	0	0	0	0	0	0	0	0
AGT	119	30	10	10	119	30	53	58.025856305616
AGTPBP1	35	6	1	1	35	6	14	18.3575597506858
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	377	67	26	26	377	67	156.666666666667	191.912306362394
AHCTF1	14	3	1	1	14	3	6	7
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	517	88	45	45	517	88	216.666666666667	260.983396662189
AHCYL1	262	56	17	17	262	56	111.666666666667	131.644723909974
AHCYL2	15	4	1	1	15	4	6.66666666666667	7.37111479583199
AHDC1	38	10	1	1	38	10	16.3333333333333	19.2959408512084
AHI1	202	26	9	9	202	26	79	106.859721130087
AHNAK	1399	513	173	173	1399	513	695	632.939175592726
AHNAK2	139	38	21	21	139	38	66	63.7887137352682
AHR	248	54	41	41	248	54	114.333333333333	115.941076988845
AHRR	7	0	2	0	7	2	3	3.60555127546399
AHSA1	209	35	15	15	209	35	86.3333333333333	106.702077455565
AHSA2	34	10	2	2	34	10	15.3333333333333	16.6533279957291
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	8	3	0	0	8	3	3.66666666666667	4.04145188432738
AIDA	211	64	28	28	211	64	101	96.9484399049309
AIF1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIF1L	0	0	0	0	0	0	0	0
AIFM1	142	27	11	11	142	27	60	71.4632772828115
AIFM2	44	11	3	3	44	11	19.3333333333333	21.733231083604
AIFM3	0	0	0	0	0	0	0	0
AIG1	359	61	14	14	359	61	144.666666666667	187.099795118363
AIM1	9	2	0	0	9	2	3.66666666666667	4.72581562625261
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	770	136	45	45	770	136	317	394.939235832552
AIMP2	4	0	0	0	4	0	1.33333333333333	2.3094010767585
AIP	91	15	4	4	91	15	36.6666666666667	47.3743953347516
AIPL1	61	8	5	5	61	8	24.6666666666667	31.5013227235514
AIRE	0	0	0	0	0	0	0	0
AIRN	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AJUBA	71	18	7	7	71	18	32	34.2198772645373
AK1	439	70	27	27	439	70	178.666666666667	226.478107845622
AK2	574	102	38	38	574	102	238	292.738791416512
AK3	213	61	19	19	213	61	97.6666666666667	102.065338550035
AK4	599	123	35	35	599	123	252.333333333333	303.42928885217
AK5	12	5	2	2	12	5	6.33333333333333	5.13160143944688
AK8	5	0	0	0	5	0	1.66666666666667	2.88675134594813
AK9	88	24	6	6	88	24	39.3333333333333	43.096790290384
AKAP1	15	5	2	2	15	5	7.33333333333333	6.80685928555405
AKAP10	46	12	4	4	46	12	20.6666666666667	22.300971578237
AKAP11	123	31	8	8	123	31	54	60.8522801544856
AKAP12	178	49	31	31	178	49	86	80.1810451416044
AKAP13	212	55	24	24	212	55	97	100.79186475108
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	53	10	5	5	53	10	22.6666666666667	26.3881286440197
AKAP2	4	0	1	0	4	1	1.66666666666667	2.08166599946613
AKAP3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP5	46	9	7	7	46	9	20.6666666666667	21.9620885467055
AKAP6	22	4	4	4	22	4	10	10.3923048454133
AKAP7	10	4	0	0	10	4	4.66666666666667	5.03322295684717
AKAP8	72	16	10	10	72	16	32.6666666666667	34.1955162752858
AKAP8L	52	15	2	2	52	15	23	25.9422435421457
