Gene	TRS+LOP.A.4.10.1.B4	TRS+LOP.A.4.11.1.B5	TRS+LOP.A.4.12.1.B6	Min	Max	Median	Mean	Std
ABCB8	3	0	4	0	4	3	2.33333333333333	2.08166599946613
ABCB9	0	0	0	0	0	0	0	0
ABCC1	23	27	31	23	31	27	27	4
ABCC10	5	7	4	4	7	5	5.33333333333333	1.52752523165195
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	0	3	0	0	3	0	1	1.73205080756888
ABCC2	0	0	0	0	0	0	0	0
ABCC3	5	1	5	1	5	5	3.66666666666667	2.3094010767585
ABCC4	9	13	5	5	13	9	9	4
ABCC5	20	12	12	12	20	12	14.6666666666667	4.61880215351701
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	1	1	1	1	1	1	1	0
ABCD1	0	1	2	0	2	1	1	1
ABCD2	0	0	0	0	0	0	0	0
ABCD3	24	26	17	17	26	24	22.3333333333333	4.72581562625261
ABCD4	8	13	9	8	13	9	10	2.64575131106459
ABCE1	110	74	80	74	110	80	88	19.2873015219859
ABCF1	144	103	94	94	144	103	113.666666666667	26.6520793435209
ABCF2	68	53	38	38	68	53	53	15
ABCF3	19	15	17	15	19	17	17	2
ABCG1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ABCG2	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ABCG4	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	16	25	22	16	25	22	21	4.58257569495584
ABHD11	7	4	12	4	12	7	7.66666666666667	4.04145188432738
ABHD12	5	8	11	5	11	8	8	3
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	24	18	12	12	24	18	18	6
ABHD14A	2	4	7	2	7	4	4.33333333333333	2.51661147842358
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	15	11	15	11	15	15	13.6666666666667	2.3094010767585
ABHD15	6	5	12	5	12	6	7.66666666666667	3.78593889720018
ABHD16A	10	11	9	9	11	10	10	1
ABHD16B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABHD17A	9	7	7	7	9	7	7.66666666666667	1.15470053837925
ABHD17B	3	2	4	2	4	3	3	1
ABHD17C	7	12	5	5	12	7	8	3.60555127546399
ABHD2	14	23	15	14	23	15	17.3333333333333	4.93288286231625
ABHD3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABHD4	88	70	64	64	88	70	74	12.4899959967968
ABHD5	16	20	22	16	22	20	19.3333333333333	3.05505046330389
ABHD6	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ABHD8	0	2	1	0	2	1	1	1
ABI1	68	47	62	47	68	62	59	10.816653826392
ABI2	33	32	33	32	33	33	32.6666666666667	0.577350269189626
ABI3BP	90	92	87	87	92	90	89.6666666666667	2.51661147842358
ABL1	14	22	12	12	22	14	16	5.29150262212918
ABL2	31	22	20	20	31	22	24.3333333333333	5.85946527708232
ABLIM1	113	86	90	86	113	90	96.3333333333333	14.5716619962629
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	11	20	11	11	20	11	14	5.19615242270663
ABR	9	7	11	7	11	9	9	2
ABRA	0	0	0	0	0	0	0	0
ABRACL	60	45	39	39	60	45	48	10.816653826392
ABT1	23	17	22	17	23	22	20.6666666666667	3.21455025366432
ABTB1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABTB2	2	5	1	1	5	2	2.66666666666667	2.08166599946613
ACAA1	12	8	8	8	12	8	9.33333333333333	2.3094010767585
ACAA2	87	69	70	69	87	70	75.3333333333333	10.1159939369957
ACACA	8	12	10	8	12	10	10	2
ACACB	4	2	3	2	4	3	3	1
ACAD10	0	5	2	0	5	2	2.33333333333333	2.51661147842358
ACAD11	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACAD8	6	5	7	5	7	6	6	1
ACAD9	7	11	10	7	11	10	9.33333333333333	2.08166599946613
ACADL	3	3	0	0	3	3	2	1.73205080756888
ACADM	67	64	49	49	67	64	60	9.64365076099295
ACADS	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACADSB	17	4	6	4	17	6	9	7
ACADVL	24	25	24	24	25	24	24.3333333333333	0.577350269189626
ACAN	0	0	0	0	0	0	0	0
ACAP1	5	6	3	3	6	5	4.66666666666667	1.52752523165195
ACAP2	75	46	54	46	75	54	58.3333333333333	14.9777612924406
ACAP3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACAT1	135	84	101	84	135	101	106.666666666667	25.9679289380831
ACAT2	5	5	5	5	5	5	5	0
ACBD3	42	38	43	38	43	42	41	2.64575131106459
ACBD4	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACBD5	36	28	28	28	36	28	30.6666666666667	4.61880215351701
ACBD6	22	21	18	18	22	21	20.3333333333333	2.08166599946613
ACBD7	4	3	7	3	7	4	4.66666666666667	2.08166599946613
ACCS	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACD	4	3	3	3	4	3	3.33333333333333	0.577350269189626
ACE	0	0	0	0	0	0	0	0
ACE2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACER1	0	0	0	0	0	0	0	0
ACER2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACER3	2	1	3	1	3	2	2	1
ACIN1	95	64	77	64	95	77	78.6666666666667	15.5670592384475
ACLY	54	44	42	42	54	44	46.6666666666667	6.42910050732864
ACMSD	0	0	0	0	0	0	0	0
ACN9	49	39	53	39	53	49	47	7.21110255092798
ACO1	33	21	15	15	33	21	23	9.16515138991168
ACO2	2	5	7	2	7	5	4.66666666666667	2.51661147842358
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	129	104	110	104	129	110	114.333333333333	13.0511813003013
ACOT2	7	2	3	2	7	3	4	2.64575131106459
ACOT4	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACOT6	0	0	0	0	0	0	0	0
ACOT7	10	9	9	9	10	9	9.33333333333333	0.577350269189626
ACOT8	8	7	12	7	12	8	9	2.64575131106459
ACOT9	88	68	70	68	88	70	75.3333333333333	11.0151410945722
ACOX1	55	52	41	41	55	52	49.3333333333333	7.37111479583199
ACOX2	13	6	7	6	13	7	8.66666666666667	3.78593889720018
ACOX3	8	5	7	5	8	7	6.66666666666667	1.52752523165195
ACOXL	0	0	0	0	0	0	0	0
ACP1	447	365	334	334	447	365	382	58.38664230798
ACP2	11	9	6	6	11	9	8.66666666666667	2.51661147842358
ACP5	0	0	0	0	0	0	0	0
ACP6	2	0	2	0	2	2	1.33333333333333	1.15470053837925
ACPL2	4	4	5	4	5	4	4.33333333333333	0.577350269189626
ACPP	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0
ACRC	1	3	1	1	3	1	1.66666666666667	1.15470053837925
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	0	4	0	0	4	0	1.33333333333333	2.3094010767585
ACSF2	10	8	12	8	12	10	10	2
ACSF3	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACSL1	42	33	32	32	42	33	35.6666666666667	5.5075705472861
ACSL3	26	34	21	21	34	26	27	6.557438524302
ACSL4	45	29	37	29	45	37	37	8
ACSL5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSL6	10	13	10	10	13	10	11	1.73205080756888
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSM5	0	0	0	0	0	0	0	0
ACSS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSS2	7	5	6	5	7	6	6	1
ACSS3	0	0	0	0	0	0	0	0
ACTA2	7814	5696	6077	5696	7814	6077	6529	1129.03011474451
ACTB	2446	1932	1995	1932	2446	1995	2124.33333333333	280.346809030054
ACTBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTC1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTG1	5484	4137	4372	4137	5484	4372	4664.33333333333	719.5111766563
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	1	3	2	1	3	2	2	1
ACTL10	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	96	52	65	52	96	65	71	22.6053091109146
ACTL8	0	0	0	0	0	0	0	0
ACTN1	264	284	247	247	284	264	265	18.5202591774521
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	84	63	77	63	84	77	74.6666666666667	10.6926766215636
ACTR10	207	163	156	156	207	163	175.333333333333	27.6465790529919
ACTR1A	108	75	96	75	108	96	93	16.7032930884901
ACTR1B	21	13	18	13	21	18	17.3333333333333	4.04145188432738
ACTR2	225	194	178	178	225	194	199	23.895606290697
ACTR3	106	93	101	93	106	101	100	6.557438524302
ACTR3B	1	2	0	0	2	1	1	1
ACTR3C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTR5	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACTR6	61	43	27	27	61	43	43.6666666666667	17.0098010962308
ACTR8	20	13	13	13	20	13	15.3333333333333	4.04145188432738
ACTRT3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACVR1	36	31	29	29	36	31	32	3.60555127546399
ACVR1B	2	4	5	2	5	4	3.66666666666667	1.52752523165195
ACVR1C	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACVR2A	47	46	39	39	47	46	44	4.35889894354067
ACVR2B	4	2	2	2	4	2	2.66666666666667	1.15470053837925
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	2	0	1	0	2	1	1	1
ACY1	0	0	0	0	0	0	0	0
ACYP1	4	9	2	2	9	4	5	3.60555127546399
ACYP2	37	24	24	24	37	24	28.3333333333333	7.50555349946513
ADA	4	4	1	1	4	4	3	1.73205080756888
ADAL	12	11	10	10	12	11	11	1
ADAM10	53	44	36	36	53	44	44.3333333333333	8.50490054811538
ADAM11	0	0	0	0	0	0	0	0
ADAM12	26	30	38	26	38	30	31.3333333333333	6.11010092660779
ADAM15	4	6	2	2	6	4	4	2
ADAM17	25	18	25	18	25	25	22.6666666666667	4.04145188432738
ADAM18	0	0	0	0	0	0	0	0
ADAM19	13	10	6	6	13	10	9.66666666666667	3.51188458428425
ADAM1A	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM21	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ADAM22	0	3	0	0	3	0	1	1.73205080756888
ADAM23	2	3	3	2	3	3	2.66666666666667	0.577350269189626
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM33	0	2	2	0	2	2	1.33333333333333	1.15470053837925
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	117	112	91	91	117	112	106.666666666667	13.7961347243833
ADAMTS1	87	82	69	69	87	82	79.3333333333333	9.29157324317757
ADAMTS10	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS12	23	29	21	21	29	23	24.3333333333333	4.16333199893227
ADAMTS13	1	1	1	1	1	1	1	0
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS17	4	3	7	3	7	4	4.66666666666667	2.08166599946613
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	38	36	27	27	38	36	33.6666666666667	5.85946527708232
ADAMTS3	3	4	3	3	4	3	3.33333333333333	0.577350269189626
ADAMTS4	10	4	7	4	10	7	7	3
ADAMTS5	55	50	45	45	55	50	50	5
ADAMTS6	14	7	17	7	17	14	12.6666666666667	5.13160143944688
ADAMTS7	7	1	5	1	7	5	4.33333333333333	3.05505046330389
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS9-AS2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL1	1	3	1	1	3	1	1.66666666666667	1.15470053837925
ADAMTSL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL3	16	13	13	13	16	13	14	1.73205080756888
ADAMTSL4	1	4	2	1	4	2	2.33333333333333	1.52752523165195
ADAMTSL5	7	1	4	1	7	4	4	3
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAR	57	51	39	39	57	51	49	9.16515138991168
ADARB1	7	5	5	5	7	5	5.66666666666667	1.15470053837925
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	21	20	19	19	21	20	20	1
ADAT2	8	5	1	1	8	5	4.66666666666667	3.51188458428425
ADAT3	0	0	0	0	0	0	0	0
ADC	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADCK1	4	3	3	3	4	3	3.33333333333333	0.577350269189626
ADCK2	4	3	2	2	4	3	3	1
ADCK3	3	3	7	3	7	3	4.33333333333333	2.3094010767585
ADCK4	3	0	0	0	3	0	1	1.73205080756888
ADCK5	1	1	1	1	1	1	1	0
ADCY1	0	1	3	0	3	1	1.33333333333333	1.52752523165195
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCY2	0	0	0	0	0	0	0	0
ADCY3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0
ADCY6	16	14	17	14	17	16	15.6666666666667	1.52752523165195
ADCY7	37	21	25	21	37	25	27.6666666666667	8.32666399786453
ADCY8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY9	4	5	9	4	9	5	6	2.64575131106459
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	42	58	44	42	58	44	48	8.71779788708135
ADD3	174	151	164	151	174	164	163	11.5325625946708
ADD3-AS1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ADH1A	0	0	0	0	0	0	0	0
ADH1B	4	8	6	4	8	6	6	2
ADH1C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADH4	0	0	0	0	0	0	0	0
ADH5	378	294	302	294	378	302	324.666666666667	46.3609030685699
ADH6	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADHFE1	5	2	5	2	5	5	4	1.73205080756888
ADI1	42	28	24	24	42	28	31.3333333333333	9.45163125250522
ADIPOQ	10	9	5	5	10	9	8	2.64575131106459
ADIPOQ-AS1	2	1	0	0	2	1	1	1
ADIPOR1	55	67	62	55	67	62	61.3333333333333	6.02771377334171
ADIPOR2	18	6	8	6	18	8	10.6666666666667	6.42910050732864
ADIRF	21	12	20	12	21	20	17.6666666666667	4.93288286231625
ADK	67	46	55	46	67	55	56	10.5356537528527
ADM	29	25	33	25	33	29	29	4
ADM2	15	11	6	6	15	11	10.6666666666667	4.50924975282289
ADM5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADNP	15	15	15	15	15	15	15	0
ADNP2	16	17	20	16	20	17	17.6666666666667	2.08166599946613
ADO	18	13	14	13	18	14	15	2.64575131106459
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ADORA2B	20	11	11	11	20	11	14	5.19615242270663
ADORA3	0	0	0	0	0	0	0	0
ADPGK	15	16	17	15	17	16	16	1
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRHL1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADPRHL2	21	16	12	12	21	16	16.3333333333333	4.50924975282289
ADPRM	47	26	33	26	47	33	35.3333333333333	10.6926766215636
ADRA1A	1	8	3	1	8	3	4	3.60555127546399
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADRA2C	10	6	5	5	10	6	7	2.64575131106459
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	13	12	10	10	13	12	11.6666666666667	1.52752523165195
ADRBK2	6	5	2	2	6	5	4.33333333333333	2.08166599946613
ADRM1	36	32	24	24	36	32	30.6666666666667	6.11010092660779
ADSL	119	101	88	88	119	101	102.666666666667	15.5670592384475
ADSS	35	29	26	26	35	29	30	4.58257569495584
ADSSL1	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ADTRP	0	2	2	0	2	2	1.33333333333333	1.15470053837925
AEBP1	70	82	99	70	99	82	83.6666666666667	14.5716619962629
AEBP2	21	7	13	7	21	13	13.6666666666667	7.02376916856849
AEN	39	35	23	23	39	35	32.3333333333333	8.32666399786453
AES	16	23	26	16	26	23	21.6666666666667	5.13160143944688
AFAP1	79	64	65	64	79	65	69.3333333333333	8.38649708360608
AFAP1-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AFAP1L1	1	3	1	1	3	1	1.66666666666667	1.15470053837925
AFAP1L2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AFF1	21	23	18	18	23	21	20.6666666666667	2.51661147842358
AFF2	2	0	1	0	2	1	1	1
AFF3	4	8	2	2	8	4	4.66666666666667	3.05505046330389
AFF4	60	41	46	41	60	46	49	9.8488578017961
AFG3L1P	1	2	5	1	5	2	2.66666666666667	2.08166599946613
AFG3L2	53	40	59	40	59	53	50.6666666666667	9.71253485622231
AFMID	62	39	34	34	62	39	45	14.9331845230681
AFP	1	2	0	0	2	1	1	1
AFTPH	23	7	9	7	23	9	13	8.71779788708135
AGA	99	65	68	65	99	68	77.3333333333333	18.8237438713273
AGAP1	39	19	26	19	39	26	28	10.1488915650922
AGAP11	0	0	0	0	0	0	0	0
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGAP3	6	8	7	6	8	7	7	1
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL2	0	0	0	0	0	0	0	0
AGBL3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL4	0	0	0	0	0	0	0	0
AGBL5	8	5	11	5	11	8	8	3
AGER	0	0	0	0	0	0	0	0
AGFG1	31	34	26	26	34	31	30.3333333333333	4.04145188432738
AGFG2	0	0	0	0	0	0	0	0
AGGF1	14	23	11	11	23	14	16	6.2449979983984
AGK	25	11	19	11	25	19	18.3333333333333	7.02376916856849
AGL	9	13	16	9	16	13	12.6666666666667	3.51188458428425
AGMAT	4	3	4	3	4	4	3.66666666666667	0.577350269189626
AGMO	4	1	2	1	4	2	2.33333333333333	1.52752523165195
AGO1	16	18	24	16	24	18	19.3333333333333	4.16333199893227
AGO2	3	4	2	2	4	3	3	1
AGO3	5	4	9	4	9	5	6	2.64575131106459
AGO4	5	7	6	5	7	6	6	1
AGPAT1	44	34	42	34	44	42	40	5.29150262212918
AGPAT2	4	10	9	4	10	9	7.66666666666667	3.21455025366432
AGPAT3	11	7	4	4	11	7	7.33333333333333	3.51188458428425
AGPAT4	14	4	12	4	14	12	10	5.29150262212918
AGPAT4-IT1	0	0	0	0	0	0	0	0
AGPAT5	13	15	15	13	15	15	14.3333333333333	1.15470053837925
AGPAT6	10	7	14	7	14	10	10.3333333333333	3.51188458428425
AGPAT9	0	0	0	0	0	0	0	0
AGPS	39	32	27	27	39	32	32.6666666666667	6.02771377334171
AGRN	1	3	0	0	3	1	1.33333333333333	1.52752523165195
AGRP	0	0	0	0	0	0	0	0
AGT	17	13	19	13	19	17	16.3333333333333	3.05505046330389
AGTPBP1	8	5	3	3	8	5	5.33333333333333	2.51661147842358
AGTR1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGTRAP	66	57	47	47	66	57	56.6666666666667	9.50438495292217
AHCTF1	5	5	5	5	5	5	5	0
AHCTF1P1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AHCY	89	61	61	61	89	61	70.3333333333333	16.1658075373095
AHCYL1	63	49	62	49	63	62	58	7.81024967590665
AHCYL2	2	2	2	2	2	2	2	0
AHDC1	10	5	8	5	10	8	7.66666666666667	2.51661147842358
AHI1	30	24	28	24	30	28	27.3333333333333	3.05505046330389
AHNAK	429	406	341	341	429	406	392	45.6398948289761
AHNAK2	30	33	25	25	33	30	29.3333333333333	4.04145188432738
AHR	79	71	63	63	79	71	71	8
AHRR	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AHSA1	32	25	39	25	39	32	32	7
AHSA2	8	7	5	5	8	7	6.66666666666667	1.52752523165195
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	2	2	3	2	3	2	2.33333333333333	0.577350269189626
AIDA	44	46	43	43	46	44	44.3333333333333	1.52752523165195
AIF1	1	0	2	0	2	1	1	1
AIF1L	0	0	0	0	0	0	0	0
AIFM1	34	24	20	20	34	24	26	7.21110255092798
AIFM2	8	12	7	7	12	8	9	2.64575131106459
AIFM3	0	0	0	0	0	0	0	0
AIG1	66	50	51	50	66	51	55.6666666666667	8.9628864398325
AIM1	2	1	2	1	2	2	1.66666666666667	0.577350269189626
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	133	126	85	85	133	126	114.666666666667	25.9293913027925
AIMP2	0	0	0	0	0	0	0	0
AIP	16	5	15	5	16	15	12	6.08276253029822
AIPL1	11	17	10	10	17	11	12.6666666666667	3.78593889720018
AIRE	0	0	0	0	0	0	0	0
AIRN	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AJUBA	22	29	16	16	29	22	22.3333333333333	6.50640709864771
AK1	78	63	47	47	78	63	62.6666666666667	15.502687938978
AK2	115	75	89	75	115	89	93	20.2977831301844
AK3	50	41	49	41	50	49	46.6666666666667	4.93288286231625
AK4	130	145	121	121	145	130	132	12.1243556529821
AK5	1	4	5	1	5	4	3.33333333333333	2.08166599946613
AK8	0	0	0	0	0	0	0	0
AK9	15	13	23	13	23	15	17	5.29150262212918
AKAP1	3	6	2	2	6	3	3.66666666666667	2.08166599946613
AKAP10	8	11	6	6	11	8	8.33333333333333	2.51661147842358
AKAP11	38	25	41	25	41	38	34.6666666666667	8.50490054811538
AKAP12	54	54	57	54	57	54	55	1.73205080756888
AKAP13	37	38	38	37	38	38	37.6666666666667	0.577350269189626
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	13	14	11	11	14	13	12.6666666666667	1.52752523165195
AKAP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	0	0	0	0	0	0	0
AKAP5	6	11	8	6	11	8	8.33333333333333	2.51661147842358
AKAP6	2	3	2	2	3	2	2.33333333333333	0.577350269189626
AKAP7	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AKAP8	8	11	13	8	13	11	10.6666666666667	2.51661147842358
AKAP8L	8	8	10	8	10	8	8.66666666666667	1.15470053837925
AKAP9	169	144	129	129	169	144	147.333333333333	20.2072594216369
AKIP1	30	25	13	13	30	25	22.6666666666667	8.73689494805411
AKIRIN1	30	20	34	20	34	30	28	7.21110255092798
AKIRIN2	11	14	15	11	15	14	13.3333333333333	2.08166599946613
AKNA	8	4	2	2	8	4	4.66666666666667	3.05505046330389
AKNAD1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKR1A1	199	133	163	133	199	163	165	33.0454232837166
AKR1B1	171	112	119	112	171	119	134	32.2335229225724
AKR1B10	2	3	1	1	3	2	2	1
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	13	7	18	7	18	13	12.6666666666667	5.5075705472861
AKR1C2	4	5	8	4	8	5	5.66666666666667	2.08166599946613
AKR1C3	143	121	124	121	143	124	129.333333333333	11.9303534454489
AKR1C6P	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AKR1D1	3	5	9	3	9	5	5.66666666666667	3.05505046330389
AKR1E2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
AKR7A2	118	106	112	106	118	112	112	6
AKR7A2P1	0	0	0	0	0	0	0	0
AKR7A3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AKR7L	0	0	0	0	0	0	0	0
AKT1	14	12	5	5	14	12	10.3333333333333	4.72581562625261
