Gene	SUN+LOP.A.7.15.1.F5	SUN+LOP.A.7.16.1.F6	SUN+LOP.A.8.12.1.G9	Min	Max	Median	Mean	Std
ACAP1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ACAP2	64	42	10	10	64	42	38.6666666666667	27.1538824725551
ACAP3	0	0	0	0	0	0	0	0
ACAT1	81	51	9	9	81	51	47	36.1662826400502
ACAT2	4	3	0	0	4	3	2.33333333333333	2.08166599946613
ACBD3	42	15	2	2	42	15	19.6666666666667	20.4042479237372
ACBD4	2	2	1	1	2	2	1.66666666666667	0.577350269189626
ACBD5	25	13	6	6	25	13	14.6666666666667	9.60902353693305
ACBD6	18	10	3	3	18	10	10.3333333333333	7.50555349946513
ACBD7	6	5	1	1	6	5	4	2.64575131106459
ACCS	0	0	0	0	0	0	0	0
ACD	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ACE	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0
ACER2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACER3	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ACIN1	70	36	8	8	70	36	38	31.04834939252
ACLY	31	21	7	7	31	21	19.6666666666667	12.0554275466834
ACMSD	0	0	0	0	0	0	0	0
ACN9	48	41	10	10	48	41	33	20.2237484161567
ACO1	21	14	2	2	21	14	12.3333333333333	9.60902353693305
ACO2	1	2	0	0	2	1	1	1
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	102	76	21	21	102	76	66.3333333333333	41.3561764834871
ACOT2	4	3	1	1	4	3	2.66666666666667	1.52752523165195
ACOT4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACOT6	0	0	0	0	0	0	0	0
ACOT7	4	4	0	0	4	4	2.66666666666667	2.3094010767585
ACOT8	8	6	2	2	8	6	5.33333333333333	3.05505046330389
ACOT9	42	43	9	9	43	42	31.3333333333333	19.3476958145753
ACOX1	42	19	5	5	42	19	22	18.6815416922694
ACOX2	12	1	1	1	12	1	4.66666666666667	6.35085296108588
ACOX3	5	7	2	2	7	5	4.66666666666667	2.51661147842358
ACOXL	0	0	0	0	0	0	0	0
ACP1	341	255	56	56	341	255	217.333333333333	146.185954637692
ACP2	5	2	3	2	5	3	3.33333333333333	1.52752523165195
ACP5	0	0	0	0	0	0	0	0
ACP6	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ACPL2	6	1	0	0	6	1	2.33333333333333	3.21455025366432
ACPP	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0
ACRC	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	0	0
ACSF2	1	1	1	1	1	1	1	0
ACSF3	2	1	0	0	2	1	1	1
ACSL1	32	17	7	7	32	17	18.6666666666667	12.5830573921179
ACSL3	35	19	4	4	35	19	19.3333333333333	15.502687938978
ACSL4	32	23	6	6	32	23	20.3333333333333	13.2035348802256
ACSL5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSL6	11	8	3	3	11	8	7.33333333333333	4.04145188432738
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACSM5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSS1	0	0	0	0	0	0	0	0
ACSS2	6	3	0	0	6	3	3	3
ACSS3	0	0	0	0	0	0	0	0
ACTA2	4680	2960	650	650	4680	2960	2763.33333333333	2022.18528659797
ACTB	1331	935	189	189	1331	935	818.333333333333	579.870100396057
ACTBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTC1	0	0	0	0	0	0	0	0
ACTG1	4295	2718	572	572	4295	2718	2528.33333333333	1868.73281485967
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ACTL10	0	0	0	0	0	0	0	0
ACTL6A	66	52	11	11	66	52	43	28.5832118559129
ACTL8	0	0	0	0	0	0	0	0
ACTN1	210	133	28	28	210	133	123.666666666667	91.3582691021088
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	65	35	4	4	65	35	34.6666666666667	30.5013660896251
ACTR10	187	115	21	21	187	115	107.666666666667	83.2426172902639
ACTR1A	73	55	5	5	73	55	44.3333333333333	35.2325606979302
ACTR1B	18	6	0	0	18	6	8	9.16515138991168
ACTR2	130	91	30	30	130	91	83.6666666666667	50.4017195473858
ACTR3	84	60	11	11	84	60	51.6666666666667	37.2066302335126
ACTR3B	8	1	0	0	8	1	3	4.35889894354067
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ACTR6	39	25	3	3	39	25	22.3333333333333	18.1475434517549
ACTR8	12	8	4	4	12	8	8	4
ACTRT3	2	3	1	1	3	2	2	1
ACVR1	27	14	2	2	27	14	14.3333333333333	12.5033328890074
ACVR1B	4	4	0	0	4	4	2.66666666666667	2.3094010767585
ACVR1C	0	0	0	0	0	0	0	0
ACVR2A	20	18	4	4	20	18	14	8.71779788708135
ACVR2B	4	1	1	1	4	1	2	1.73205080756888
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACY1	0	0	0	0	0	0	0	0
ACYP1	3	5	6	3	6	5	4.66666666666667	1.52752523165195
ACYP2	27	14	4	4	27	14	15	11.5325625946708
ADA	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ADAL	8	8	0	0	8	8	5.33333333333333	4.61880215351701
ADAM10	27	34	6	6	34	27	22.3333333333333	14.5716619962629
ADAM11	0	0	0	0	0	0	0	0
ADAM12	12	16	3	3	16	12	10.3333333333333	6.65832811847939
ADAM15	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ADAM17	21	19	1	1	21	19	13.6666666666667	11.0151410945722
ADAM18	0	0	0	0	0	0	0	0
ADAM19	7	2	0	0	7	2	3	3.60555127546399
ADAM1A	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	1	3	3	1	3	3	2.33333333333333	1.15470053837925
ADAM22	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM23	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM9	71	64	14	14	71	64	49.6666666666667	31.0859024854247
ADAMTS1	40	19	2	2	40	19	20.3333333333333	19.035055380359
ADAMTS10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS12	12	10	0	0	12	10	7.33333333333333	6.42910050732864
ADAMTS13	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS2	21	19	4	4	21	19	14.6666666666667	9.29157324317757
ADAMTS3	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ADAMTS4	8	5	1	1	8	5	4.66666666666667	3.51188458428425
ADAMTS5	51	33	6	6	51	33	30	22.6495033058122
ADAMTS6	14	12	1	1	14	12	9	7
ADAMTS7	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ADAMTSL2	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ADAMTSL3	13	5	1	1	13	5	6.33333333333333	6.11010092660779
ADAMTSL4	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTSL5	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0
ADAR	49	36	5	5	49	36	30	22.6053091109146
ADARB1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	19	11	1	1	19	11	10.3333333333333	9.01849950564579
ADAT2	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ADAT3	0	0	0	0	0	0	0	0
ADC	0	2	1	0	2	1	1	1
ADCK1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ADCK2	5	3	1	1	5	3	3	2
ADCK3	4	1	2	1	4	2	2.33333333333333	1.52752523165195
ADCK4	5	4	0	0	5	4	3	2.64575131106459
ADCK5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCY1	0	0	0	0	0	0	0	0
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY2	0	0	0	0	0	0	0	0
ADCY3	3	0	0	0	3	0	1	1.73205080756888
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0
ADCY6	13	5	0	0	13	5	6	6.557438524302
ADCY7	25	19	4	4	25	19	16	10.816653826392
ADCY8	0	0	0	0	0	0	0	0
ADCY9	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	36	25	9	9	36	25	23.3333333333333	13.5769412362775
ADD3	159	88	18	18	159	88	88.3333333333333	70.5005910140712
ADD3-AS1	0	2	1	0	2	1	1	1
ADH1A	0	0	0	0	0	0	0	0
ADH1B	8	0	8	0	8	8	5.33333333333333	4.61880215351701
ADH1C	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0
ADH5	303	183	63	63	303	183	183	120
ADH6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADHFE1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ADI1	36	8	7	7	36	8	17	16.4620776331543
ADIPOQ	6	4	2	2	6	4	4	2
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	49	30	6	6	49	30	28.3333333333333	21.548395145192
ADIPOR2	11	4	3	3	11	4	6	4.35889894354067
ADIRF	17	13	5	5	17	13	11.6666666666667	6.11010092660779
ADK	51	36	14	14	51	36	33.6666666666667	18.6100331362771
ADM	32	20	12	12	32	20	21.3333333333333	10.0664459136943
ADM2	6	11	2	2	11	6	6.33333333333333	4.50924975282289
ADM5	0	0	0	0	0	0	0	0
ADNP	16	7	3	3	16	7	8.66666666666667	6.65832811847939
ADNP2	3	5	5	3	5	5	4.33333333333333	1.15470053837925
ADO	7	7	2	2	7	7	5.33333333333333	2.88675134594813
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADORA2B	22	10	4	4	22	10	12	9.16515138991168
ADORA3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPGK	14	7	1	1	14	7	7.33333333333333	6.50640709864771
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADPRHL2	17	9	3	3	17	9	9.66666666666667	7.02376916856849
ADPRM	30	19	5	5	30	19	18	12.5299640861417
ADRA1A	4	2	0	0	4	2	2	2
ADRA1B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADRA1D	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADRA2A	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	4	4	2	2	4	4	3.33333333333333	1.15470053837925
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	9	4	0	0	9	4	4.33333333333333	4.50924975282289
ADRBK2	7	10	2	2	10	7	6.33333333333333	4.04145188432738
ADRM1	30	15	6	6	30	15	17	12.1243556529821
ADSL	121	80	14	14	121	80	71.6666666666667	53.9845656955146
ADSS	21	19	4	4	21	19	14.6666666666667	9.29157324317757
ADSSL1	5	1	0	0	5	1	2	2.64575131106459
ADTRP	5	1	0	0	5	1	2	2.64575131106459
AEBP1	69	40	11	11	69	40	40	29
AEBP2	9	8	2	2	9	8	6.33333333333333	3.78593889720018
AEN	25	12	4	4	25	12	13.6666666666667	10.5987420637231
AES	20	19	2	2	20	19	13.6666666666667	10.1159939369957
AFAP1	55	45	12	12	55	45	37.3333333333333	22.5018517756502
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	1	2	0	0	2	1	1	1
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	17	15	2	2	17	15	11.3333333333333	8.14452781524708
AFF2	5	2	0	0	5	2	2.33333333333333	2.51661147842358
AFF3	2	2	0	0	2	2	1.33333333333333	1.15470053837925
AFF4	38	21	7	7	38	21	22	15.52417469626
AFG3L1P	0	3	0	0	3	0	1	1.73205080756888
AFG3L2	53	29	7	7	53	29	29.6666666666667	23.0072452356499
AFMID	32	23	2	2	32	23	19	15.3948043183407
AFP	1	3	1	1	3	1	1.66666666666667	1.15470053837925
AFTPH	20	6	1	1	20	6	9	9.8488578017961
AGA	60	48	8	8	60	48	38.6666666666667	27.2274371422162
AGAP1	15	14	8	8	15	14	12.3333333333333	3.78593889720018
AGAP11	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	0	0	0	0	0	0	0	0
AGAP3	3	2	0	0	3	2	1.66666666666667	1.52752523165195
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0
AGBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL4	0	0	0	0	0	0	0	0
AGBL5	8	6	0	0	8	6	4.66666666666667	4.16333199893227
AGER	0	0	0	0	0	0	0	0
AGFG1	31	13	6	6	31	13	16.6666666666667	12.8970280814354
AGFG2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AGGF1	20	6	2	2	20	6	9.33333333333333	9.45163125250522
AGK	18	14	6	6	18	14	12.6666666666667	6.11010092660779
AGL	5	10	0	0	10	5	5	5
AGMAT	5	5	0	0	5	5	3.33333333333333	2.88675134594813
AGMO	4	4	0	0	4	4	2.66666666666667	2.3094010767585
AGO1	9	6	3	3	9	6	6	3
AGO2	5	1	0	0	5	1	2	2.64575131106459
AGO3	8	5	0	0	8	5	4.33333333333333	4.04145188432738
AGO4	3	7	2	2	7	3	4	2.64575131106459
AGPAT1	33	25	5	5	33	25	21	14.422205101856
AGPAT2	5	4	1	1	5	4	3.33333333333333	2.08166599946613
AGPAT3	10	3	3	3	10	3	5.33333333333333	4.04145188432738
AGPAT4	7	6	1	1	7	6	4.66666666666667	3.21455025366432
AGPAT4-IT1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AGPAT5	19	10	1	1	19	10	10	9
AGPAT6	10	1	0	0	10	1	3.66666666666667	5.5075705472861
AGPAT9	0	0	0	0	0	0	0	0
AGPS	40	21	4	4	40	21	21.6666666666667	18.0092568789868
AGRN	3	1	0	0	3	1	1.33333333333333	1.52752523165195
AGRP	0	0	0	0	0	0	0	0
AGT	12	6	4	4	12	6	7.33333333333333	4.16333199893227
AGTPBP1	4	4	1	1	4	4	3	1.73205080756888
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	66	36	7	7	66	36	36.3333333333333	29.5014123955673
AHCTF1	4	1	0	0	4	1	1.66666666666667	2.08166599946613
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	79	36	13	13	79	36	42.6666666666667	33.501243758006
AHCYL1	44	32	9	9	44	32	28.3333333333333	17.7857620959388
AHCYL2	3	2	0	0	3	2	1.66666666666667	1.52752523165195
AHDC1	8	8	0	0	8	8	5.33333333333333	4.61880215351701
AHI1	36	13	2	2	36	13	17	17.3493515728975
AHNAK	264	172	30	30	264	172	155.333333333333	117.886951497328
AHNAK2	26	28	4	4	28	26	19.3333333333333	13.3166562369588
AHR	55	42	12	12	55	42	36.3333333333333	22.0529665426975
AHRR	1	2	0	0	2	1	1	1
AHSA1	32	21	5	5	32	21	19.3333333333333	13.5769412362775
AHSA2	10	9	1	1	10	9	6.66666666666667	4.93288286231625
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	3	2	0	0	3	2	1.66666666666667	1.52752523165195
AIDA	34	13	5	5	34	13	17.3333333333333	14.9777612924406
AIF1	0	0	0	0	0	0	0	0
AIF1L	0	0	0	0	0	0	0	0
AIFM1	20	15	5	5	20	15	13.3333333333333	7.63762615825973
AIFM2	5	5	1	1	5	5	3.66666666666667	2.3094010767585
AIFM3	0	0	0	0	0	0	0	0
AIG1	46	34	9	9	46	34	29.6666666666667	18.8767935130237
AIM1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	102	81	17	17	102	81	66.6666666666667	44.2756516985728
AIMP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIP	21	6	1	1	21	6	9.33333333333333	10.4083299973307
AIPL1	9	9	1	1	9	9	6.33333333333333	4.61880215351701
AIRE	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AIRN	0	0	0	0	0	0	0	0
AJUBA	14	11	2	2	14	11	9	6.2449979983984
AK1	50	39	3	3	50	39	30.6666666666667	24.5831920899897
AK2	111	60	19	19	111	60	63.3333333333333	46.0904907039764
AK3	48	31	7	7	48	31	28.6666666666667	20.5993527406405
AK4	86	58	15	15	86	58	53	35.7631094844953
AK5	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AK8	0	0	0	0	0	0	0	0
AK9	11	11	1	1	11	11	7.66666666666667	5.77350269189626
AKAP1	5	2	0	0	5	2	2.33333333333333	2.51661147842358
AKAP10	8	8	4	4	8	8	6.66666666666667	2.3094010767585
AKAP11	17	21	7	7	21	17	15	7.21110255092798
AKAP12	55	27	6	6	55	27	29.3333333333333	24.5831920899897
AKAP13	33	25	4	4	33	25	20.6666666666667	14.9777612924406
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	11	2	2	2	11	2	5	5.19615242270663
AKAP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	0	0	0	0	0	0	0
AKAP5	10	7	2	2	10	7	6.33333333333333	4.04145188432738
AKAP6	0	4	1	0	4	1	1.66666666666667	2.08166599946613
AKAP7	3	0	0	0	3	0	1	1.73205080756888
AKAP8	14	6	0	0	14	6	6.66666666666667	7.02376916856849
AKAP8L	12	4	1	1	12	4	5.66666666666667	5.68624070307733
AKAP9	106	59	14	14	106	59	59.6666666666667	46.0036230457269
AKIP1	19	9	3	3	19	9	10.3333333333333	8.08290376865476
AKIRIN1	22	12	3	3	22	12	12.3333333333333	9.50438495292217
AKIRIN2	10	5	4	4	10	5	6.33333333333333	3.21455025366432
AKNA	7	6	1	1	7	6	4.66666666666667	3.21455025366432
AKNAD1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AKR1A1	163	105	24	24	163	105	97.3333333333333	69.8164259564562
AKR1B1	114	77	25	25	114	77	72	44.7101778122163
AKR1B10	3	2	0	0	3	2	1.66666666666667	1.52752523165195
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	8	10	3	3	10	8	7	3.60555127546399
AKR1C2	14	3	0	0	14	3	5.66666666666667	7.37111479583199
AKR1C3	127	86	15	15	127	86	76	56.6656862660288
AKR1C6P	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKR1D1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
AKR1E2	0	0	0	0	0	0	0	0
