Gene	DTP.A.7.9.1.E11	DTP.A.7.10.1.E12	DTP.A.8.5.1.G3	Min	Max	Median	Mean	Std
ABHD14B	22	8	13	8	22	13	14.3333333333333	7.09459888459759
ABHD15	16	11	5	5	16	11	10.6666666666667	5.5075705472861
ABHD16A	17	9	8	8	17	9	11.3333333333333	4.93288286231625
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	9	5	3	3	9	5	5.66666666666667	3.05505046330389
ABHD17B	7	3	3	3	7	3	4.33333333333333	2.3094010767585
ABHD17C	11	5	6	5	11	6	7.33333333333333	3.21455025366432
ABHD2	37	16	20	16	37	20	24.3333333333333	11.1504857891185
ABHD3	0	0	0	0	0	0	0	0
ABHD4	126	51	79	51	126	79	85.3333333333333	37.8989885529064
ABHD5	48	8	24	8	48	24	26.6666666666667	20.1328918273887
ABHD6	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ABHD8	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABI1	101	50	44	44	101	50	65	31.3209195267317
ABI2	51	21	23	21	51	23	31.6666666666667	16.7729941672122
ABI3BP	162	63	87	63	162	87	104	51.6430053347014
ABL1	23	9	7	7	23	9	13	8.71779788708135
ABL2	60	24	18	18	60	24	34	22.7156333832011
ABLIM1	177	73	74	73	177	74	108	59.7578446733147
ABLIM2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABLIM3	25	18	14	14	25	18	19	5.56776436283002
ABR	13	7	4	4	13	7	8	4.58257569495584
ABRA	0	0	0	0	0	0	0	0
ABRACL	81	36	54	36	81	54	57	22.6495033058122
ABT1	26	15	13	13	26	15	18	7
ABTB1	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ABTB2	3	2	1	1	3	2	2	1
ACAA1	15	3	6	3	15	6	8	6.2449979983984
ACAA2	130	67	72	67	130	72	89.6666666666667	35.0190424388408
ACACA	9	13	4	4	13	9	8.66666666666667	4.50924975282289
ACACB	4	1	1	1	4	1	2	1.73205080756888
ACAD10	2	5	5	2	5	5	4	1.73205080756888
ACAD11	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACAD8	16	7	5	5	16	7	9.33333333333333	5.85946527708232
ACAD9	16	9	8	8	16	9	11	4.35889894354067
ACADL	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACADM	112	62	46	46	112	62	73.3333333333333	34.4286702231343
ACADS	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACADSB	10	11	6	6	11	10	9	2.64575131106459
ACADVL	49	15	32	15	49	32	32	17
ACAN	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACAP1	9	4	3	3	9	4	5.33333333333333	3.21455025366432
ACAP2	111	48	52	48	111	52	70.3333333333333	35.2751092604025
ACAP3	1	1	4	1	4	1	2	1.73205080756888
ACAT1	175	76	90	76	175	90	113.666666666667	53.5754919093921
ACAT2	8	2	1	1	8	2	3.66666666666667	3.78593889720018
ACBD3	48	22	21	21	48	22	30.3333333333333	15.3079500042734
ACBD4	3	0	2	0	3	2	1.66666666666667	1.52752523165195
ACBD5	58	25	16	16	58	25	33	22.113344387496
ACBD6	36	13	28	13	36	28	25.6666666666667	11.6761865920913
ACBD7	9	6	4	4	9	6	6.33333333333333	2.51661147842358
ACCS	1	1	1	1	1	1	1	0
ACD	7	2	3	2	7	3	4	2.64575131106459
ACE	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACE2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0
ACER3	6	1	5	1	6	5	4	2.64575131106459
ACIN1	157	49	86	49	157	86	97.3333333333333	54.884727687521
ACLY	54	36	27	27	54	36	39	13.7477270848675
ACMSD	0	0	0	0	0	0	0	0
ACN9	78	39	48	39	78	48	55	20.4205778566621
ACO1	32	14	22	14	32	22	22.6666666666667	9.01849950564579
ACO2	10	5	3	3	10	5	6	3.60555127546399
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	206	123	130	123	206	130	153	46.0325971459356
ACOT2	3	5	4	3	5	4	4	1
ACOT4	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACOT6	0	0	0	0	0	0	0	0
ACOT7	13	11	6	6	13	11	10	3.60555127546399
ACOT8	16	8	8	8	16	8	10.6666666666667	4.61880215351701
ACOT9	126	63	63	63	126	63	84	36.3730669589464
ACOX1	82	40	27	27	82	40	49.6666666666667	28.7460142164672
ACOX2	20	5	20	5	20	20	15	8.66025403784439
ACOX3	21	5	8	5	21	8	11.3333333333333	8.50490054811538
ACOXL	0	0	0	0	0	0	0	0
ACP1	661	280	337	280	661	337	426	205.501824809416
ACP2	10	5	7	5	10	7	7.33333333333333	2.51661147842358
ACP5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACP6	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ACPL2	7	9	7	7	9	7	7.66666666666667	1.15470053837925
ACPP	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACRBP	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACRC	2	0	1	0	2	1	1	1
ACRV1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSBG1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSBG2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSF2	8	2	4	2	8	4	4.66666666666667	3.05505046330389
ACSF3	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACSL1	46	28	24	24	46	28	32.6666666666667	11.7189305541646
ACSL3	73	29	21	21	73	29	41	28
ACSL4	74	38	38	38	74	38	50	20.7846096908265
ACSL5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSL6	23	14	8	8	23	14	15	7.54983443527075
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0	0
ACSM5	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACSS1	0	0	0	0	0	0	0	0
ACSS2	7	5	4	4	7	5	5.33333333333333	1.52752523165195
ACSS3	2	1	0	0	2	1	1	1
ACTA2	11477	4989	3941	3941	11477	4989	6802.33333333333	4082.15106694171
ACTB	2813	1358	1202	1202	2813	1358	1791	888.5083004677
ACTBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTC1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTG1	8090	3662	3790	3662	8090	3790	5180.66666666667	2520.36928511148
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	4	3	2	2	4	3	3	1
ACTL10	0	0	0	0	0	0	0	0
ACTL6A	132	52	58	52	132	58	80.6666666666667	44.5570794973519
ACTL8	0	0	0	0	0	0	0	0
ACTN1	359	184	178	178	359	184	240.333333333333	102.812126392432
ACTN1-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACTN2	0	0	0	0	0	0	0	0
ACTN4	124	47	64	47	124	64	78.3333333333333	40.4516171905813
ACTR10	280	137	171	137	280	171	196	74.706090782479
ACTR1A	161	69	76	69	161	76	102	51.2152321092075
ACTR1B	29	13	14	13	29	14	18.6666666666667	8.9628864398325
ACTR2	306	118	132	118	306	132	185.333333333333	104.734585182419
ACTR3	168	79	78	78	168	79	108.333333333333	51.6752681012236
ACTR3B	1	2	3	1	3	2	2	1
ACTR3C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTR5	2	2	1	1	2	2	1.66666666666667	0.577350269189626
ACTR6	90	20	43	20	90	43	51	35.6791255498225
ACTR8	34	19	16	16	34	19	23	9.64365076099295
ACTRT3	3	0	4	0	4	3	2.33333333333333	2.08166599946613
ACVR1	39	16	27	16	39	27	27.3333333333333	11.5036226178249
ACVR1B	4	3	5	3	5	4	4	1
ACVR1C	0	0	0	0	0	0	0	0
ACVR2A	38	18	25	18	38	25	27	10.1488915650922
ACVR2B	1	6	1	1	6	1	2.66666666666667	2.88675134594813
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	3	1	2	1	3	2	2	1
ACY1	0	0	0	0	0	0	0	0
ACYP1	8	13	9	8	13	9	10	2.64575131106459
ACYP2	49	27	18	18	49	27	31.3333333333333	15.9478316185409
ADA	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ADAL	18	6	9	6	18	9	11	6.2449979983984
ADAM10	95	42	31	31	95	42	56	34.2198772645373
ADAM11	0	0	0	0	0	0	0	0
ADAM12	41	10	14	10	41	14	21.6666666666667	16.8621864932557
ADAM15	5	0	1	0	5	1	2	2.64575131106459
ADAM17	49	19	19	19	49	19	29	17.3205080756888
ADAM18	0	0	0	0	0	0	0	0
ADAM19	21	6	8	6	21	8	11.6666666666667	8.14452781524708
ADAM1A	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM22	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM23	5	6	0	0	6	5	3.66666666666667	3.21455025366432
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAM33	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	184	60	58	58	184	60	100.666666666667	72.1757115194117
ADAMTS1	116	70	47	47	116	70	77.6666666666667	35.1330803279948
ADAMTS10	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAMTS12	38	12	15	12	38	15	21.6666666666667	14.2243921955679
ADAMTS13	3	3	0	0	3	3	2	1.73205080756888
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	7	1	3	1	7	3	3.66666666666667	3.05505046330389
ADAMTS18	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	69	23	13	13	69	23	35	29.8663690461362
ADAMTS3	3	4	1	1	4	3	2.66666666666667	1.52752523165195
ADAMTS4	13	10	5	5	13	10	9.33333333333333	4.04145188432738
ADAMTS5	84	41	28	28	84	41	51	29.3087017795057
ADAMTS6	37	14	9	9	37	14	20	14.9331845230681
ADAMTS7	6	1	0	0	6	1	2.33333333333333	3.21455025366432
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	1	1	1	1	1	1	1	0
ADAMTS9-AS2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADAMTSL1	7	3	2	2	7	3	4	2.64575131106459
ADAMTSL2	7	4	2	2	7	4	4.33333333333333	2.51661147842358
ADAMTSL3	15	5	5	5	15	5	8.33333333333333	5.77350269189626
ADAMTSL4	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTSL5	7	4	4	4	7	4	5	1.73205080756888
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0
ADAR	93	40	34	34	93	40	55.6666666666667	32.4704994315353
ADARB1	8	3	4	3	8	4	5	2.64575131106459
ADARB2	1	1	1	1	1	1	1	0
ADAT1	35	11	9	9	35	11	18.3333333333333	14.4683562761405
ADAT2	6	2	1	1	6	2	3	2.64575131106459
ADAT3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADC	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCK1	12	3	1	1	12	3	5.33333333333333	5.85946527708232
ADCK2	9	1	3	1	9	3	4.33333333333333	4.16333199893227
ADCK3	4	1	1	1	4	1	2	1.73205080756888
ADCK4	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADCK5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ADCY10	1	1	1	1	1	1	1	0
ADCY10P1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADCY2	0	0	0	0	0	0	0	0
ADCY3	4	1	6	1	6	4	3.66666666666667	2.51661147842358
ADCY4	0	0	0	0	0	0	0	0
ADCY5	3	0	0	0	3	0	1	1.73205080756888
ADCY6	33	9	6	6	33	9	16	14.7986485869487
ADCY7	49	19	25	19	49	25	31	15.8745078663875
ADCY8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY9	12	3	6	3	12	6	7	4.58257569495584
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	82	37	26	26	82	37	48.3333333333333	29.6704117486316
ADD3	286	116	133	116	286	133	178.333333333333	93.6286993038637
ADD3-AS1	4	0	3	0	4	3	2.33333333333333	2.08166599946613
ADH1A	0	0	0	0	0	0	0	0
ADH1B	3	0	12	0	12	3	5	6.2449979983984
ADH1C	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ADH4	0	0	0	0	0	0	0	0
ADH5	600	236	328	236	600	328	388	189.272290629136
ADH6	0	0	0	0	0	0	0	0
ADHFE1	4	5	10	4	10	5	6.33333333333333	3.21455025366432
ADI1	41	17	22	17	41	22	26.6666666666667	12.6622799421484
ADIPOQ	11	7	6	6	11	7	8	2.64575131106459
ADIPOQ-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADIPOR1	75	40	40	40	75	40	51.6666666666667	20.2072594216369
ADIPOR2	18	12	7	7	18	12	12.3333333333333	5.5075705472861
ADIRF	26	21	17	17	26	21	21.3333333333333	4.50924975282289
ADK	76	32	45	32	76	45	51	22.6053091109146
ADM	45	26	34	26	45	34	35	9.53939201416946
ADM2	26	18	13	13	26	18	19	6.557438524302
ADM5	0	0	0	0	0	0	0	0
ADNP	22	14	11	11	22	14	15.6666666666667	5.68624070307733
ADNP2	15	13	5	5	15	13	11	5.29150262212918
ADO	18	8	6	6	18	8	10.6666666666667	6.42910050732864
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	1	1	1	1	1	1	0
ADORA2B	16	10	14	10	16	14	13.3333333333333	3.05505046330389
ADORA3	0	0	0	0	0	0	0	0
ADPGK	22	8	9	8	22	9	13	7.81024967590665
ADPGK-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRH	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRHL1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADPRHL2	28	8	12	8	28	12	16	10.5830052442584
ADPRM	54	23	46	23	54	46	41	16.0934769394311
ADRA1A	9	9	3	3	9	9	7	3.46410161513775
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	3	3	4	3	4	3	3.33333333333333	0.577350269189626
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	22	1	9	1	22	9	10.6666666666667	10.5987420637231
ADRBK2	13	6	2	2	13	6	7	5.56776436283002
ADRM1	49	29	24	24	49	29	34	13.228756555323
ADSL	200	92	95	92	200	95	129	61.5060972587271
ADSS	53	21	21	21	53	21	31.6666666666667	18.475208614068
ADSSL1	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ADTRP	6	0	2	0	6	2	2.66666666666667	3.05505046330389
AEBP1	130	54	44	44	130	54	76	47.0319040652194
AEBP2	28	10	12	10	28	12	16.6666666666667	9.8657657246325
AEN	55	21	18	18	55	21	31.3333333333333	20.5507501890645
AES	39	18	23	18	39	23	26.6666666666667	10.9696551146029
AFAP1	94	44	32	32	94	44	56.6666666666667	32.8836332137027
AFAP1-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AFAP1L1	3	2	1	1	3	2	2	1
AFAP1L2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AFF1	53	15	16	15	53	16	28	21.6564078277077
AFF2	6	0	0	0	6	0	2	3.46410161513775
AFF3	8	3	4	3	8	4	5	2.64575131106459
AFF4	78	44	34	34	78	44	52	23.0651251893416
AFG3L1P	8	2	4	2	8	4	4.66666666666667	3.05505046330389
AFG3L2	87	33	41	33	87	41	53.6666666666667	29.1433239925259
AFMID	54	36	33	33	54	36	41	11.3578166916005
AFP	2	3	1	1	3	2	2	1
AFTPH	25	13	14	13	25	14	17.3333333333333	6.65832811847939
AGA	127	37	75	37	127	75	79.6666666666667	45.1811169996198
AGAP1	57	20	19	19	57	20	32	21.6564078277077
AGAP11	0	0	0	0	0	0	0	0
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGAP3	10	6	1	1	10	6	5.66666666666667	4.50924975282289
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGBL5	11	5	11	5	11	11	9	3.46410161513775
AGER	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGFG1	47	26	17	17	47	26	30	15.3948043183407
AGFG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGGF1	23	7	10	7	23	10	13.3333333333333	8.50490054811538
AGK	20	13	20	13	20	20	17.6666666666667	4.04145188432738
AGL	12	7	13	7	13	12	10.6666666666667	3.21455025366432
AGMAT	13	3	3	3	13	3	6.33333333333333	5.77350269189626
AGMO	4	1	3	1	4	3	2.66666666666667	1.52752523165195
AGO1	32	13	7	7	32	13	17.3333333333333	13.0511813003013
AGO2	10	1	1	1	10	1	4	5.19615242270663
AGO3	9	4	3	3	9	4	5.33333333333333	3.21455025366432
AGO4	12	5	5	5	12	5	7.33333333333333	4.04145188432738
AGPAT1	47	37	38	37	47	38	40.6666666666667	5.5075705472861
AGPAT2	7	1	3	1	7	3	3.66666666666667	3.05505046330389
AGPAT3	12	7	8	7	12	8	9	2.64575131106459
AGPAT4	20	9	10	9	20	10	13	6.08276253029822
AGPAT4-IT1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGPAT5	22	15	21	15	22	21	19.3333333333333	3.78593889720018
AGPAT6	15	9	5	5	15	9	9.66666666666667	5.03322295684717
AGPAT9	0	0	0	0	0	0	0	0
AGPS	68	34	32	32	68	34	44.6666666666667	20.2319878739914
AGRN	7	0	1	0	7	1	2.66666666666667	3.78593889720018
AGRP	0	0	0	0	0	0	0	0
AGT	34	6	20	6	34	20	20	14
AGTPBP1	13	8	6	6	13	8	9	3.60555127546399
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	109	42	64	42	109	64	71.6666666666667	34.1516227042484
AHCTF1	9	6	4	4	9	6	6.33333333333333	2.51661147842358
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	153	65	77	65	153	77	98.3333333333333	47.7214137817954
AHCYL1	101	57	45	45	101	57	67.6666666666667	29.484459183328
AHCYL2	7	2	3	2	7	3	4	2.64575131106459
AHDC1	13	5	3	3	13	5	7	5.29150262212918
AHI1	56	22	16	16	56	22	31.3333333333333	21.5715862498179
AHNAK	706	346	157	157	706	346	403	278.903209017035
AHNAK2	61	30	18	18	61	30	36.3333333333333	22.1885856541902
AHR	113	58	60	58	113	60	77	31.1929479209644
AHRR	3	3	2	2	3	3	2.66666666666667	0.577350269189626
AHSA1	46	17	21	17	46	21	28	15.7162336455017
AHSA2	14	6	4	4	14	6	8	5.29150262212918
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	6	2	2	2	6	2	3.33333333333333	2.3094010767585
AIDA	68	29	32	29	68	32	43	21.7025344142107
AIF1	1	0	2	0	2	1	1	1
AIF1L	0	0	0	0	0	0	0	0
AIFM1	50	18	21	18	50	21	29.6666666666667	17.6729548557487
AIFM2	18	7	11	7	18	11	12	5.56776436283002
AIFM3	0	0	0	0	0	0	0	0
AIG1	100	32	62	32	100	62	64.6666666666667	34.0783411176855
AIM1	4	0	1	0	4	1	1.66666666666667	2.08166599946613
AIM1L	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIM2	0	0	0	0	0	0	0	0
AIMP1	206	84	92	84	206	92	127.333333333333	68.2446579105891
AIMP2	0	0	0	0	0	0	0	0
AIP	18	6	16	6	18	16	13.3333333333333	6.42910050732864
AIPL1	24	10	5	5	24	10	13	9.8488578017961
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	0
AJUBA	22	13	6	6	22	13	13.6666666666667	8.02080627701064
AK1	69	42	48	42	69	48	53	14.1774468787578
AK2	170	77	99	77	170	99	115.333333333333	48.6038407261539
AK3	85	31	28	28	85	31	48	32.0780298646909
AK4	158	83	83	83	158	83	108	43.3012701892219
AK5	5	1	5	1	5	5	3.66666666666667	2.3094010767585
AK8	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AK9	28	10	16	10	28	16	18	9.16515138991168
AKAP1	7	4	4	4	7	4	5	1.73205080756888
AKAP10	17	12	7	7	17	12	12	5
AKAP11	55	17	26	17	55	26	32.6666666666667	19.8578280114753
AKAP12	91	44	46	44	91	46	60.3333333333333	26.5769323537035
AKAP13	76	29	28	28	76	29	44.3333333333333	27.4286954362276
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	14	13	8	8	14	13	11.6666666666667	3.21455025366432
AKAP2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AKAP3	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AKAP5	24	8	2	2	24	8	11.3333333333333	11.3724814061547
AKAP6	7	3	2	2	7	3	4	2.64575131106459
AKAP7	2	0	2	0	2	2	1.33333333333333	1.15470053837925
AKAP8	18	5	5	5	18	5	9.33333333333333	7.50555349946513
AKAP8L	19	6	6	6	19	6	10.3333333333333	7.50555349946513
AKAP9	204	94	78	78	204	94	125.333333333333	68.5954323066291
AKIP1	28	16	11	11	28	16	18.3333333333333	8.73689494805411
AKIRIN1	36	18	12	12	36	18	22	12.4899959967968
AKIRIN2	18	10	14	10	18	14	14	4
AKNA	14	6	5	5	14	6	8.33333333333333	4.93288286231625
AKNAD1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKR1A1	288	120	146	120	288	146	184.666666666667	90.4286090423453
AKR1B1	213	91	108	91	213	108	137.333333333333	66.0782364575004
AKR1B10	5	3	4	3	5	4	4	1
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	21	11	15	11	21	15	15.6666666666667	5.03322295684717
AKR1C2	10	2	11	2	11	10	7.66666666666667	4.93288286231625
AKR1C3	198	94	146	94	198	146	146	52
