Gene	ENT.A.6.10.1.D5	ENT.A.6.11.1.D6	ENT.A.6.12.1.D7	Min	Max	Median	Mean	Std
ABT1	18	20	3	3	20	18	13.6666666666667	9.29157324317757
ABTB1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABTB2	1	4	0	0	4	1	1.66666666666667	2.08166599946613
ACAA1	6	5	1	1	6	5	4	2.64575131106459
ACAA2	84	65	32	32	84	65	60.3333333333333	26.3122278291545
ACACA	10	10	4	4	10	10	8	3.46410161513775
ACACB	0	4	0	0	4	0	1.33333333333333	2.3094010767585
ACAD10	8	3	1	1	8	3	4	3.60555127546399
ACAD11	0	0	0	0	0	0	0	0
ACAD8	4	6	3	3	6	4	4.33333333333333	1.52752523165195
ACAD9	9	6	4	4	9	6	6.33333333333333	2.51661147842358
ACADL	4	1	1	1	4	1	2	1.73205080756888
ACADM	73	53	19	19	73	53	48.3333333333333	27.3007936392577
ACADS	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACADSB	10	8	4	4	10	8	7.33333333333333	3.05505046330389
ACADVL	24	17	8	8	24	17	16.3333333333333	8.02080627701064
ACAN	0	0	0	0	0	0	0	0
ACAP1	3	4	2	2	4	3	3	1
ACAP2	61	70	24	24	70	61	51.6666666666667	24.3789526709687
ACAP3	0	0	0	0	0	0	0	0
ACAT1	112	86	35	35	112	86	77.6666666666667	39.170567181665
ACAT2	6	3	3	3	6	3	4	1.73205080756888
ACBD3	38	44	14	14	44	38	32	15.8745078663875
ACBD4	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ACBD5	33	26	9	9	33	26	22.6666666666667	12.3423390543824
ACBD6	29	14	8	8	29	14	17	10.816653826392
ACBD7	4	8	4	4	8	4	5.33333333333333	2.3094010767585
ACCS	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACD	1	4	2	1	4	2	2.33333333333333	1.52752523165195
ACE	0	0	0	0	0	0	0	0
ACE2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACER3	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ACIN1	95	74	25	25	95	74	64.6666666666667	35.9212100761282
ACLY	46	35	20	20	46	35	33.6666666666667	13.0511813003013
ACMSD	0	0	0	0	0	0	0	0
ACN9	44	35	12	12	44	35	30.3333333333333	16.5025250593154
ACO1	25	28	6	6	28	25	19.6666666666667	11.9303534454489
ACO2	6	4	0	0	6	4	3.33333333333333	3.05505046330389
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	102	109	38	38	109	102	83	39.1279950930277
ACOT2	8	2	0	0	8	2	3.33333333333333	4.16333199893227
ACOT4	1	0	2	0	2	1	1	1
ACOT6	0	0	0	0	0	0	0	0
ACOT7	7	4	2	2	7	4	4.33333333333333	2.51661147842358
ACOT8	7	7	2	2	7	7	5.33333333333333	2.88675134594813
ACOT9	73	66	31	31	73	66	56.6666666666667	22.5018517756502
ACOX1	40	52	17	17	52	40	36.3333333333333	17.7857620959388
ACOX2	6	6	3	3	6	6	5	1.73205080756888
ACOX3	7	7	7	7	7	7	7	0
ACOXL	0	0	0	0	0	0	0	0
ACP1	410	308	129	129	410	308	282.333333333333	142.247437000929
ACP2	5	3	4	3	5	4	4	1
ACP5	0	0	0	0	0	0	0	0
ACP6	3	0	0	0	3	0	1	1.73205080756888
ACPL2	5	7	2	2	7	5	4.66666666666667	2.51661147842358
ACPP	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACRBP	0	0	0	0	0	0	0	0
ACRC	1	1	1	1	1	1	1	0
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACSF2	4	2	5	2	5	4	3.66666666666667	1.52752523165195
ACSF3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACSL1	35	25	15	15	35	25	25	10
ACSL3	27	30	12	12	30	27	23	9.64365076099295
ACSL4	37	21	10	10	37	21	22.6666666666667	13.5769412362775
ACSL5	0	0	0	0	0	0	0	0
ACSL6	13	11	4	4	13	11	9.33333333333333	4.72581562625261
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSM5	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACSS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSS2	5	6	0	0	6	5	3.66666666666667	3.21455025366432
ACSS3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTA2	6473	4891	2085	2085	6473	4891	4483	2222.27001059727
ACTB	1740	1342	630	630	1740	1342	1237.33333333333	562.353388300749
ACTBL2	0	0	0	0	0	0	0	0
ACTC1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACTG1	4175	3081	1322	1322	4175	3081	2859.33333333333	1439.35900085188
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	2	1	0	0	2	1	1	1
ACTL10	0	0	0	0	0	0	0	0
ACTL6A	76	55	28	28	76	55	53	24.0624188310319
ACTL8	0	0	0	0	0	0	0	0
ACTN1	219	162	105	105	219	162	162	57
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	52	57	25	25	57	52	44.6666666666667	17.2143351115671
ACTR10	176	142	56	56	176	142	124.666666666667	61.8492791658345
ACTR1A	85	79	35	35	85	79	66.3333333333333	27.3007936392577
ACTR1B	14	12	8	8	14	12	11.3333333333333	3.05505046330389
ACTR2	206	166	66	66	206	166	146	72.1110255092798
ACTR3	98	82	41	41	98	82	73.6666666666667	29.3995464817628
ACTR3B	0	0	0	0	0	0	0	0
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ACTR6	45	35	23	23	45	35	34.3333333333333	11.0151410945722
ACTR8	18	23	6	6	23	18	15.6666666666667	8.7368949480541
ACTRT3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACVR1	27	30	10	10	30	27	22.3333333333333	10.785793124909
ACVR1B	2	5	3	2	5	3	3.33333333333333	1.52752523165195
ACVR1C	0	0	0	0	0	0	0	0
ACVR2A	46	31	11	11	46	31	29.3333333333333	17.5594229214212
ACVR2B	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	0	0	0	0	0	0	0	0
ACY1	0	0	0	0	0	0	0	0
ACYP1	8	8	4	4	8	8	6.66666666666667	2.3094010767585
ACYP2	32	19	12	12	32	19	21	10.1488915650922
ADA	1	1	1	1	1	1	1	0
ADAL	7	11	3	3	11	7	7	4
ADAM10	52	37	15	15	52	37	34.6666666666667	18.6100331362771
ADAM11	0	0	0	0	0	0	0	0
ADAM12	23	19	13	13	23	19	18.3333333333333	5.03322295684717
ADAM15	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ADAM17	41	33	7	7	41	33	27	17.7763888346312
ADAM18	0	0	0	0	0	0	0	0
ADAM19	8	5	0	0	8	5	4.33333333333333	4.04145188432738
ADAM1A	1	2	0	0	2	1	1	1
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	2	1	0	0	2	1	1	1
ADAM22	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM23	2	3	2	2	3	2	2.33333333333333	0.577350269189626
ADAM28	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM29	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM30	0	0	0	0	0	0	0	0
ADAM32	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM33	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM7	0	0	0	0	0	0	0	0
ADAM8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM9	98	78	30	30	98	78	68.6666666666667	34.9475797922164
ADAMTS1	45	51	18	18	51	45	38	17.5783958312469
ADAMTS10	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTS12	22	16	10	10	22	16	16	6
ADAMTS13	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	6	6	0	0	6	6	4	3.46410161513775
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	23	27	12	12	27	23	20.6666666666667	7.76745346515403
ADAMTS3	0	0	0	0	0	0	0	0
ADAMTS4	10	7	3	3	10	7	6.66666666666667	3.51188458428425
ADAMTS5	54	43	27	27	54	43	41.3333333333333	13.5769412362775
ADAMTS6	14	10	6	6	14	10	10	4
ADAMTS7	5	0	3	0	5	3	2.66666666666667	2.51661147842358
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0	0	0
ADAMTS9-AS2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL1	3	3	0	0	3	3	2	1.73205080756888
ADAMTSL2	4	3	2	2	4	3	3	1
ADAMTSL3	9	15	6	6	15	9	10	4.58257569495584
ADAMTSL4	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ADAMTSL5	3	4	1	1	4	3	2.66666666666667	1.52752523165195
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0
ADAR	48	34	20	20	48	34	34	14
ADARB1	3	3	3	3	3	3	3	0
ADARB2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAT1	14	9	7	7	14	9	10	3.60555127546399
ADAT2	7	9	2	2	9	7	6	3.60555127546399
ADAT3	0	0	0	0	0	0	0	0
ADC	0	0	0	0	0	0	0	0
ADCK1	1	5	1	1	5	1	2.33333333333333	2.3094010767585
ADCK2	3	6	1	1	6	3	3.33333333333333	2.51661147842358
ADCK3	3	1	3	1	3	3	2.33333333333333	1.15470053837925
ADCK4	3	4	0	0	4	3	2.33333333333333	2.08166599946613
ADCK5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ADCY10	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY10P1	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0
ADCY3	3	3	2	2	3	3	2.66666666666667	0.577350269189626
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY6	14	10	5	5	14	10	9.66666666666667	4.50924975282289
ADCY7	38	15	15	15	38	15	22.6666666666667	13.2790561913614
ADCY8	0	0	0	0	0	0	0	0
ADCY9	7	8	1	1	8	7	5.33333333333333	3.78593889720018
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	37	35	15	15	37	35	29	12.1655250605964
ADD3	167	159	80	80	167	159	135.333333333333	48.0867272054705
ADD3-AS1	0	0	0	0	0	0	0	0
ADH1A	0	0	0	0	0	0	0	0
ADH1B	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ADH1C	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0
ADH5	362	260	93	93	362	260	238.333333333333	135.802552749694
ADH6	0	0	0	0	0	0	0	0
ADHFE1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ADI1	35	30	11	11	35	30	25.3333333333333	12.6622799421484
ADIPOQ	8	10	0	0	10	8	6	5.29150262212918
ADIPOQ-AS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADIPOR1	66	51	18	18	66	51	45	24.5560583156173
ADIPOR2	9	8	3	3	9	8	6.66666666666667	3.21455025366432
ADIRF	16	18	8	8	18	16	14	5.29150262212918
ADK	61	38	18	18	61	38	39	21.51743479135
ADM	18	21	10	10	21	18	16.3333333333333	5.68624070307733
ADM2	7	8	1	1	8	7	5.33333333333333	3.78593889720018
ADM5	0	0	0	0	0	0	0	0
ADNP	8	5	8	5	8	8	7	1.73205080756888
ADNP2	17	6	7	6	17	7	10	6.08276253029822
ADO	10	8	5	5	10	8	7.66666666666667	2.51661147842358
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	2	3	1	1	3	2	2	1
ADORA2B	11	13	4	4	13	11	9.33333333333333	4.72581562625261
ADORA3	0	0	0	0	0	0	0	0
ADPGK	13	5	4	4	13	5	7.33333333333333	4.93288286231625
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADPRHL2	22	9	8	8	22	9	13	7.81024967590665
ADPRM	27	23	11	11	27	23	20.3333333333333	8.32666399786453
ADRA1A	3	6	3	3	6	3	4	1.73205080756888
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	4	0	2	0	4	2	2	2
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	17	12	7	7	17	12	12	5
ADRBK2	8	5	3	3	8	5	5.33333333333333	2.51661147842358
ADRM1	37	28	13	13	37	28	26	12.1243556529821
ADSL	109	90	38	38	109	90	79	36.7559518989782
ADSS	21	25	18	18	25	21	21.3333333333333	3.51188458428425
ADSSL1	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ADTRP	4	6	1	1	6	4	3.66666666666667	2.51661147842358
AEBP1	62	68	32	32	68	62	54	19.2873015219859
AEBP2	16	18	8	8	18	16	14	5.29150262212918
AEN	19	20	5	5	20	19	14.6666666666667	8.38649708360608
AES	27	27	11	11	27	27	21.6666666666667	9.23760430703401
AFAP1	56	67	25	25	67	56	49.3333333333333	21.7791949652262
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	22	17	10	10	22	17	16.3333333333333	6.02771377334171
AFF2	3	1	1	1	3	1	1.66666666666667	1.15470053837925
AFF3	3	5	2	2	5	3	3.33333333333333	1.52752523165195
AFF4	68	59	20	20	68	59	49	25.5147016443461
AFG3L1P	3	7	1	1	7	3	3.66666666666667	3.05505046330389
AFG3L2	53	43	29	29	53	43	41.6666666666667	12.0554275466834
AFMID	38	26	9	9	38	26	24.3333333333333	14.5716619962629
AFP	3	1	0	0	3	1	1.33333333333333	1.52752523165195
AFTPH	18	11	5	5	18	11	11.3333333333333	6.50640709864771
AGA	76	47	17	17	76	47	46.6666666666667	29.5014123955673
AGAP1	18	24	7	7	24	18	16.3333333333333	8.62167810425171
AGAP11	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AGAP3	7	3	4	3	7	4	4.66666666666667	2.08166599946613
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0
AGBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	0	0	0	0	0	0	0
AGBL4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL5	10	8	4	4	10	8	7.33333333333333	3.05505046330389
AGER	0	0	0	0	0	0	0	0
AGFG1	17	23	10	10	23	17	16.6666666666667	6.50640709864771
AGFG2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGGF1	12	15	4	4	15	12	10.3333333333333	5.68624070307733
AGK	20	17	7	7	20	17	14.6666666666667	6.80685928555405
AGL	11	13	7	7	13	11	10.3333333333333	3.05505046330389
AGMAT	11	8	1	1	11	8	6.66666666666667	5.13160143944688
AGMO	1	4	0	0	4	1	1.66666666666667	2.08166599946613
AGO1	16	17	5	5	17	16	12.6666666666667	6.65832811847939
AGO2	1	4	0	0	4	1	1.66666666666667	2.08166599946613
AGO3	5	3	0	0	5	3	2.66666666666667	2.51661147842358
AGO4	7	4	4	4	7	4	5	1.73205080756888
AGPAT1	35	34	12	12	35	34	27	13
AGPAT2	9	4	3	3	9	4	5.33333333333333	3.21455025366432
AGPAT3	8	3	2	2	8	3	4.33333333333333	3.21455025366432
AGPAT4	9	7	3	3	9	7	6.33333333333333	3.05505046330389
AGPAT4-IT1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AGPAT5	29	19	8	8	29	19	18.6666666666667	10.5039675043925
AGPAT6	15	7	4	4	15	7	8.66666666666667	5.68624070307733
AGPAT9	0	0	0	0	0	0	0	0
AGPS	33	30	10	10	33	30	24.3333333333333	12.5033328890074
AGRN	2	2	0	0	2	2	1.33333333333333	1.15470053837925
AGRP	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGT	9	10	8	8	10	9	9	1
AGTPBP1	4	5	1	1	5	4	3.33333333333333	2.08166599946613
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	67	45	20	20	67	45	44	23.5159520326097
AHCTF1	3	6	4	3	6	4	4.33333333333333	1.52752523165195
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	113	98	35	35	113	98	82	41.3884041731498
AHCYL1	55	53	23	23	55	53	43.6666666666667	17.925772879665
AHCYL2	4	4	1	1	4	4	3	1.73205080756888
AHDC1	9	4	3	3	9	4	5.33333333333333	3.21455025366432
AHI1	41	32	5	5	41	32	26	18.7349939951952
AHNAK	361	337	154	154	361	337	284	113.221022782874
AHNAK2	45	34	10	10	45	34	29.6666666666667	17.8978583448784
AHR	64	45	24	24	64	45	44.3333333333333	20.0083315979452
AHRR	2	2	0	0	2	2	1.33333333333333	1.15470053837925
AHSA1	41	19	12	12	41	19	24	15.1327459504216
AHSA2	2	12	1	1	12	2	5	6.08276253029822
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	3	2	1	1	3	2	2	1
AIDA	48	26	15	15	48	26	29.6666666666667	16.8027775481714
AIF1	0	0	0	0	0	0	0	0
AIF1L	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AIFM1	29	18	7	7	29	18	18	11
AIFM2	9	10	8	8	10	9	9	1
AIFM3	0	0	0	0	0	0	0	0
AIG1	55	45	15	15	55	45	38.3333333333333	20.8166599946613
AIM1	1	1	1	1	1	1	1	0
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	122	98	37	37	122	98	85.6666666666667	43.8216080642111
AIMP2	0	0	0	0	0	0	0	0
AIP	9	5	2	2	9	5	5.33333333333333	3.51188458428425
AIPL1	10	11	3	3	11	10	8	4.35889894354067
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	0
AJUBA	20	19	6	6	20	19	15	7.81024967590665
AK1	58	40	20	20	58	40	39.3333333333333	19.0087699058443
AK2	84	82	43	43	84	82	69.6666666666667	23.1156512634477
AK3	53	41	18	18	53	41	37.3333333333333	17.7857620959388
AK4	134	92	38	38	134	92	88	48.1248376620639
AK5	6	4	1	1	6	4	3.66666666666667	2.51661147842358
AK8	2	0	1	0	2	1	1	1
AK9	26	20	3	3	26	20	16.3333333333333	11.9303534454489
AKAP1	5	5	0	0	5	5	3.33333333333333	2.88675134594813
AKAP10	6	8	3	3	8	6	5.66666666666667	2.51661147842358
AKAP11	28	27	11	11	28	27	22	9.53939201416946
AKAP12	52	57	26	26	57	52	45	16.6433169770932
AKAP13	39	20	19	19	39	20	26	11.2694276695846
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	8	7	3	3	8	7	6	2.64575131106459
AKAP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	0	0	0	0	0	0	0
AKAP5	16	7	4	4	16	7	9	6.2449979983984
AKAP6	2	2	0	0	2	2	1.33333333333333	1.15470053837925
AKAP7	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AKAP8	7	12	5	5	12	7	8	3.60555127546399
AKAP8L	9	6	4	4	9	6	6.33333333333333	2.51661147842358
AKAP9	144	132	55	55	144	132	110.333333333333	48.294237061303
AKIP1	26	16	3	3	26	16	15	11.5325625946708
AKIRIN1	20	16	10	10	20	16	15.3333333333333	5.03322295684717
AKIRIN2	11	7	1	1	11	7	6.33333333333333	5.03322295684717
AKNA	6	7	1	1	7	6	4.66666666666667	3.21455025366432
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	173	133	53	53	173	133	119.666666666667	61.1010092660779
AKR1B1	150	113	50	50	150	113	104.333333333333	50.5601951473027
AKR1B10	3	2	1	1	3	2	2	1
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	16	13	6	6	16	13	11.6666666666667	5.13160143944688
AKR1C2	4	6	2	2	6	4	4	2
AKR1C3	155	120	48	48	155	120	107.666666666667	54.5557818506282
AKR1C6P	0	0	0	0	0	0	0	0
AKR1D1	7	7	4	4	7	7	6	1.73205080756888
AKR1E2	1	2	0	0	2	1	1	1
AKR7A2	131	83	32	32	131	83	82	49.5075751779463
AKR7A2P1	0	0	0	0	0	0	0	0
AKR7A3	0	0	0	0	0	0	0	0
AKR7L	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AKT1	9	5	3	3	9	5	5.66666666666667	3.05505046330389
