Gene	LOP.A.4.8.1.B2	LOP.A.4.9.1.B3	LOP.A.8.11.1.G8	Min	Max	Median	Mean	Std
ABHD16A	9	5	9	5	9	9	7.66666666666667	2.3094010767585
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	7	10	4	4	10	7	7	3
ABHD17B	8	3	1	1	8	3	4	3.60555127546399
ABHD17C	2	11	5	2	11	5	6	4.58257569495584
ABHD2	18	17	21	17	21	18	18.6666666666667	2.08166599946613
ABHD3	0	0	0	0	0	0	0	0
ABHD4	71	47	62	47	71	62	60	12.1243556529821
ABHD5	21	15	18	15	21	18	18	3
ABHD6	1	4	2	1	4	2	2.33333333333333	1.52752523165195
ABHD8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABI1	44	34	55	34	55	44	44.3333333333333	10.5039675043925
ABI2	38	23	32	23	38	32	31	7.54983443527075
ABI3BP	97	74	82	74	97	82	84.3333333333333	11.6761865920913
ABL1	23	13	13	13	23	13	16.3333333333333	5.77350269189626
ABL2	21	26	31	21	31	26	26	5
ABLIM1	91	86	83	83	91	86	86.6666666666667	4.04145188432738
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	16	12	16	12	16	16	14.6666666666667	2.3094010767585
ABR	13	12	4	4	13	12	9.66666666666667	4.93288286231625
ABRA	0	0	0	0	0	0	0	0
ABRACL	56	40	53	40	56	53	49.6666666666667	8.50490054811538
ABT1	13	7	17	7	17	13	12.3333333333333	5.03322295684717
ABTB1	0	0	0	0	0	0	0	0
ABTB2	1	5	1	1	5	1	2.33333333333333	2.3094010767585
ACAA1	5	8	4	4	8	5	5.66666666666667	2.08166599946613
ACAA2	88	54	91	54	91	88	77.6666666666667	20.5507501890645
ACACA	15	5	8	5	15	8	9.33333333333333	5.13160143944688
ACACB	4	2	2	2	4	2	2.66666666666667	1.15470053837925
ACAD10	2	1	3	1	3	2	2	1
ACAD11	0	2	1	0	2	1	1	1
ACAD8	5	3	6	3	6	5	4.66666666666667	1.52752523165195
ACAD9	13	8	13	8	13	13	11.3333333333333	2.88675134594813
ACADL	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ACADM	65	39	68	39	68	65	57.3333333333333	15.9478316185409
ACADS	0	0	0	0	0	0	0	0
ACADSB	8	6	13	6	13	8	9	3.60555127546399
ACADVL	33	21	30	21	33	30	28	6.2449979983984
ACAN	0	0	0	0	0	0	0	0
ACAP1	4	1	3	1	4	3	2.66666666666667	1.52752523165195
ACAP2	63	70	54	54	70	63	62.3333333333333	8.02080627701064
ACAP3	3	0	0	0	3	0	1	1.73205080756888
ACAT1	100	67	106	67	106	100	91	21
ACAT2	11	2	4	2	11	4	5.66666666666667	4.72581562625261
ACBD3	49	29	28	28	49	29	35.3333333333333	11.8462370959446
ACBD4	4	2	4	2	4	4	3.33333333333333	1.15470053837925
ACBD5	31	21	21	21	31	21	24.3333333333333	5.77350269189626
ACBD6	15	16	15	15	16	15	15.3333333333333	0.577350269189626
ACBD7	7	4	6	4	7	6	5.66666666666667	1.52752523165195
ACCS	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ACD	1	1	4	1	4	1	2	1.73205080756888
ACE	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0
ACER2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACER3	2	2	3	2	3	2	2.33333333333333	0.577350269189626
ACIN1	75	55	72	55	75	72	67.3333333333333	10.785793124909
ACLY	58	44	41	41	58	44	47.6666666666667	9.07377172587747
ACMSD	0	0	0	0	0	0	0	0
ACN9	55	44	59	44	59	55	52.6666666666667	7.76745346515403
ACO1	32	22	28	22	32	28	27.3333333333333	5.03322295684717
ACO2	2	6	4	2	6	4	4	2
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	127	98	134	98	134	127	119.666666666667	19.0875177362939
ACOT2	5	1	4	1	5	4	3.33333333333333	2.08166599946613
ACOT4	1	1	3	1	3	1	1.66666666666667	1.15470053837925
ACOT6	0	0	0	0	0	0	0	0
ACOT7	10	4	11	4	11	10	8.33333333333333	3.78593889720018
ACOT8	7	14	8	7	14	8	9.66666666666667	3.78593889720018
ACOT9	66	44	74	44	74	66	61.3333333333333	15.5349069303081
ACOX1	44	33	42	33	44	42	39.6666666666667	5.85946527708232
ACOX2	11	3	15	3	15	11	9.66666666666667	6.11010092660779
ACOX3	12	16	6	6	16	12	11.3333333333333	5.03322295684717
ACOXL	0	0	0	0	0	0	0	0
ACP1	385	301	411	301	411	385	365.666666666667	57.4920284329344
ACP2	7	5	9	5	9	7	7	2
ACP5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACP6	1	1	1	1	1	1	1	0
ACPL2	4	3	6	3	6	4	4.33333333333333	1.52752523165195
ACPP	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACRBP	0	0	0	0	0	0	0	0
ACRC	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSF2	10	7	4	4	10	7	7	3
ACSF3	2	2	2	2	2	2	2	0
ACSL1	32	35	35	32	35	35	34	1.73205080756888
ACSL3	32	30	32	30	32	32	31.3333333333333	1.15470053837925
ACSL4	32	31	28	28	32	31	30.3333333333333	2.08166599946613
ACSL5	1	0	2	0	2	1	1	1
ACSL6	9	12	13	9	13	12	11.3333333333333	2.08166599946613
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACSM5	0	0	0	0	0	0	0	0
ACSS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSS2	7	0	2	0	7	2	3	3.60555127546399
ACSS3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTA2	6433	5005	6155	5005	6433	6155	5864.33333333333	757.07419275348
ACTB	2287	1727	1468	1468	2287	1727	1827.33333333333	418.617167986853
ACTBL2	0	0	0	0	0	0	0	0
ACTC1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTG1	4464	3706	3985	3706	4464	3985	4051.66666666667	383.372316858342
ACTG1P4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTG2	1	3	2	1	3	2	2	1
ACTL10	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	71	48	64	48	71	64	61	11.7898261225516
ACTL8	0	0	0	0	0	0	0	0
ACTN1	265	214	226	214	265	226	235	26.6645832519468
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	87	59	59	59	87	59	68.3333333333333	16.1658075373095
ACTR10	167	144	196	144	196	167	169	26.0576284415908
ACTR1A	94	85	83	83	94	85	87.3333333333333	5.85946527708231
ACTR1B	14	15	15	14	15	15	14.6666666666667	0.577350269189626
ACTR2	218	177	194	177	218	194	196.333333333333	20.5993527406405
ACTR3	119	80	71	71	119	80	90	25.5147016443461
ACTR3B	3	1	2	1	3	2	2	1
ACTR3C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTR5	3	2	1	1	3	2	2	1
ACTR6	42	36	25	25	42	36	34.3333333333333	8.62167810425171
ACTR8	18	13	9	9	18	13	13.3333333333333	4.50924975282289
ACTRT3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ACVR1	25	18	23	18	25	23	22	3.60555127546399
ACVR1B	4	0	6	0	6	4	3.33333333333333	3.05505046330389
ACVR1C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACVR2A	33	44	35	33	44	35	37.3333333333333	5.85946527708232
ACVR2B	1	1	3	1	3	1	1.66666666666667	1.15470053837925
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	2	2	1	1	2	2	1.66666666666667	0.577350269189626
ACY1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACYP1	4	7	8	4	8	7	6.33333333333333	2.08166599946613
ACYP2	22	29	28	22	29	28	26.3333333333333	3.78593889720018
ADA	1	3	2	1	3	2	2	1
ADAL	11	7	11	7	11	11	9.66666666666667	2.3094010767585
ADAM10	55	46	41	41	55	46	47.3333333333333	7.09459888459759
ADAM11	0	0	0	0	0	0	0	0
ADAM12	29	22	18	18	29	22	23	5.56776436283002
ADAM15	5	3	6	3	6	5	4.66666666666667	1.52752523165195
ADAM17	29	26	34	26	34	29	29.6666666666667	4.04145188432738
ADAM18	0	0	0	0	0	0	0	0
ADAM19	3	5	5	3	5	5	4.33333333333333	1.15470053837925
ADAM1A	0	1	3	0	3	1	1.33333333333333	1.52752523165195
ADAM20	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAM20P1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM21	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM22	0	0	0	0	0	0	0	0
ADAM23	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM28	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	120	84	85	84	120	85	96.3333333333333	20.5020324195757
ADAMTS1	78	56	64	56	78	64	66	11.13552872566
ADAMTS10	0	0	0	0	0	0	0	0
ADAMTS12	14	13	15	13	15	14	14	1
ADAMTS13	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTS14	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	5	3	1	1	5	3	3	2
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	37	35	24	24	37	35	32	7
ADAMTS3	5	4	2	2	5	4	3.66666666666667	1.52752523165195
ADAMTS4	3	5	5	3	5	5	4.33333333333333	1.15470053837925
ADAMTS5	54	39	43	39	54	43	45.3333333333333	7.76745346515403
ADAMTS6	10	10	8	8	10	10	9.33333333333333	1.15470053837925
ADAMTS7	5	2	1	1	5	2	2.66666666666667	2.08166599946613
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	1	2	0	2	1	1	1
ADAMTSL1	3	1	3	1	3	3	2.33333333333333	1.15470053837925
ADAMTSL2	3	1	2	1	3	2	2	1
ADAMTSL3	9	7	7	7	9	7	7.66666666666667	1.15470053837925
ADAMTSL4	3	0	0	0	3	0	1	1.73205080756888
ADAMTSL5	8	1	0	0	8	1	3	4.35889894354067
ADAP1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADAP2	0	0	0	0	0	0	0	0
ADAR	55	37	38	37	55	38	43.3333333333333	10.1159939369957
ADARB1	3	8	0	0	8	3	3.66666666666667	4.04145188432738
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	21	15	12	12	21	15	16	4.58257569495584
ADAT2	10	4	8	4	10	8	7.33333333333333	3.05505046330389
ADAT3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADC	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCK1	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ADCK2	7	6	6	6	7	6	6.33333333333333	0.577350269189626
ADCK3	3	8	1	1	8	3	4	3.60555127546399
ADCK4	1	2	3	1	3	2	2	1
ADCK5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	0	2	3	0	3	2	1.66666666666667	1.52752523165195
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADCY2	0	0	0	0	0	0	0	0
ADCY3	4	2	0	0	4	2	2	2
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY6	16	13	10	10	16	13	13	3
ADCY7	31	13	25	13	31	25	23	9.16515138991168
ADCY8	0	0	0	0	0	0	0	0
ADCY9	6	3	5	3	6	5	4.66666666666667	1.52752523165195
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	55	33	41	33	55	41	43	11.13552872566
ADD3	199	157	145	145	199	157	167	28.3548937575157
ADD3-AS1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ADH1A	0	0	0	0	0	0	0	0
ADH1B	1	6	9	1	9	6	5.33333333333333	4.04145188432738
ADH1C	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0
ADH5	302	236	330	236	330	302	289.333333333333	48.2631674606354
ADH6	0	0	0	0	0	0	0	0
ADHFE1	4	2	2	2	4	2	2.66666666666667	1.15470053837925
ADI1	36	30	38	30	38	36	34.6666666666667	4.16333199893227
ADIPOQ	4	6	6	4	6	6	5.33333333333333	1.15470053837925
ADIPOQ-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADIPOR1	59	48	44	44	59	48	50.3333333333333	7.76745346515403
ADIPOR2	12	4	5	4	12	5	7	4.35889894354067
ADIRF	22	22	17	17	22	22	20.3333333333333	2.88675134594813
ADK	64	39	56	39	64	56	53	12.7671453348037
ADM	34	29	42	29	42	34	35	6.557438524302
ADM2	11	10	11	10	11	11	10.6666666666667	0.577350269189626
ADM5	0	0	0	0	0	0	0	0
ADNP	23	13	10	10	23	13	15.3333333333333	6.80685928555405
ADNP2	13	7	12	7	13	12	10.6666666666667	3.21455025366432
ADO	10	10	15	10	15	10	11.6666666666667	2.88675134594813
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADORA2B	12	12	18	12	18	12	14	3.46410161513775
ADORA3	0	0	0	0	0	0	0	0
ADPGK	16	13	10	10	16	13	13	3
ADPGK-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	3	3	0	0	3	3	2	1.73205080756888
ADPRHL2	17	10	11	10	17	11	12.6666666666667	3.78593889720018
ADPRM	21	31	36	21	36	31	29.3333333333333	7.63762615825973
ADRA1A	0	0	6	0	6	0	2	3.46410161513775
ADRA1B	0	3	0	0	3	0	1	1.73205080756888
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	7	3	3	3	7	3	4.33333333333333	2.3094010767585
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	10	9	6	6	10	9	8.33333333333333	2.08166599946613
ADRBK2	4	3	6	3	6	4	4.33333333333333	1.52752523165195
ADRM1	36	22	40	22	40	36	32.6666666666667	9.45163125250522
ADSL	99	78	126	78	126	99	101	24.0624188310319
ADSS	31	25	19	19	31	25	25	6
ADSSL1	2	3	2	2	3	2	2.33333333333333	0.577350269189626
ADTRP	2	1	4	1	4	2	2.33333333333333	1.52752523165195
AEBP1	109	59	57	57	109	59	75	29.4618397253125
AEBP2	11	17	13	11	17	13	13.6666666666667	3.05505046330389
AEN	43	29	15	15	43	29	29	14
AES	29	12	18	12	29	18	19.6666666666667	8.62167810425171
AFAP1	75	60	58	58	75	60	64.3333333333333	9.29157324317757
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	3	3	2	2	3	3	2.66666666666667	0.577350269189626
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	24	20	22	20	24	22	22	2
AFF2	4	1	1	1	4	1	2	1.73205080756888
AFF3	6	9	9	6	9	9	8	1.73205080756888
AFF4	62	37	39	37	62	39	46	13.8924439894498
AFG3L1P	1	3	0	0	3	1	1.33333333333333	1.52752523165195
AFG3L2	58	39	54	39	58	54	50.3333333333333	10.0166528008778
AFMID	38	28	44	28	44	38	36.6666666666667	8.08290376865476
AFP	1	3	5	1	5	3	3	2
AFTPH	19	14	9	9	19	14	14	5
AGA	69	42	73	42	73	69	61.3333333333333	16.8621864932557
AGAP1	29	19	16	16	29	19	21.3333333333333	6.80685928555405
AGAP11	0	0	0	0	0	0	0	0
AGAP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGAP2-AS1	2	0	1	0	2	1	1	1
AGAP3	8	4	3	3	8	4	5	2.64575131106459
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AGBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	0	0	0	0	0	0	0
AGBL4	0	0	0	0	0	0	0	0
AGBL5	11	6	4	4	11	6	7	3.60555127546399
AGER	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGFG1	37	16	24	16	37	24	25.6666666666667	10.5987420637231
AGFG2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGGF1	15	18	13	13	18	15	15.3333333333333	2.51661147842358
AGK	18	13	25	13	25	18	18.6666666666667	6.02771377334171
AGL	7	14	9	7	14	9	10	3.60555127546399
AGMAT	7	4	5	4	7	5	5.33333333333333	1.52752523165195
AGMO	2	1	2	1	2	2	1.66666666666667	0.577350269189626
AGO1	15	17	6	6	17	15	12.6666666666667	5.85946527708231
AGO2	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AGO3	8	7	2	2	8	7	5.66666666666667	3.21455025366432
AGO4	9	4	2	2	9	4	5	3.60555127546399
AGPAT1	54	22	34	22	54	34	36.6666666666667	16.1658075373095
AGPAT2	7	3	6	3	7	6	5.33333333333333	2.08166599946613
AGPAT3	8	7	7	7	8	7	7.33333333333333	0.577350269189626
AGPAT4	11	8	10	8	11	10	9.66666666666667	1.52752523165195
AGPAT4-IT1	1	1	1	1	1	1	1	0
AGPAT5	19	20	20	19	20	20	19.6666666666667	0.577350269189626
AGPAT6	8	11	12	8	12	11	10.3333333333333	2.08166599946613
AGPAT9	0	0	0	0	0	0	0	0
AGPS	38	38	27	27	38	38	34.3333333333333	6.35085296108588
AGRN	1	2	0	0	2	1	1	1
AGRP	0	0	0	0	0	0	0	0
AGT	19	11	19	11	19	19	16.3333333333333	4.61880215351701
AGTPBP1	4	2	6	2	6	4	4	2
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	56	43	65	43	65	56	54.6666666666667	11.060440015358
AHCTF1	5	8	5	5	8	5	6	1.73205080756888
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	102	68	83	68	102	83	84.3333333333333	17.0391705588427
AHCYL1	76	60	43	43	76	60	59.6666666666667	16.5025250593154
AHCYL2	5	2	1	1	5	2	2.66666666666667	2.08166599946613
AHDC1	8	6	3	3	8	6	5.66666666666667	2.51661147842358
AHI1	42	26	33	26	42	33	33.6666666666667	8.02080627701064
AHNAK	502	298	223	223	502	298	341	144.384902257819
AHNAK2	30	30	21	21	30	30	27	5.19615242270663
AHR	80	58	81	58	81	80	73	13
AHRR	3	3	0	0	3	3	2	1.73205080756888
AHSA1	31	24	26	24	31	26	27	3.60555127546399
AHSA2	5	7	8	5	8	7	6.66666666666667	1.52752523165195
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AIDA	58	25	36	25	58	36	39.6666666666667	16.8027775481714
AIF1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AIF1L	0	0	0	0	0	0	0	0
AIFM1	18	20	29	18	29	20	22.3333333333333	5.85946527708231
AIFM2	4	6	12	4	12	6	7.33333333333333	4.16333199893227
AIFM3	0	0	0	0	0	0	0	0
AIG1	52	36	63	36	63	52	50.3333333333333	13.5769412362775
AIM1	1	0	2	0	2	1	1	1
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	2	1	0	2	1	1	1
AIMP1	125	95	136	95	136	125	118.666666666667	21.221058723196
AIMP2	0	3	2	0	3	2	1.66666666666667	1.52752523165195
AIP	18	12	15	12	18	15	15	3
AIPL1	15	13	8	8	15	13	12	3.60555127546399
AIRE	0	0	0	0	0	0	0	0
AIRN	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AJUBA	20	21	17	17	21	20	19.3333333333333	2.08166599946613
AK1	54	40	36	36	54	40	43.3333333333333	9.45163125250522
AK2	94	68	122	68	122	94	94.6666666666667	27.0061721340388
AK3	69	27	38	27	69	38	44.6666666666667	21.7791949652262
AK4	124	96	101	96	124	101	107	14.9331845230681
AK5	3	1	3	1	3	3	2.33333333333333	1.15470053837925
AK8	1	2	1	1	2	1	1.33333333333333	0.577350269189626
AK9	20	13	24	13	24	20	19	5.56776436283002
AKAP1	7	7	3	3	7	7	5.66666666666667	2.3094010767585
AKAP10	13	13	5	5	13	13	10.3333333333333	4.61880215351701
AKAP11	33	17	29	17	33	29	26.3333333333333	8.32666399786453
AKAP12	48	30	50	30	50	48	42.6666666666667	11.0151410945722
AKAP13	46	32	36	32	46	36	38	7.21110255092798
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	17	8	5	5	17	8	10	6.2449979983984
AKAP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	0	0	0	0	0	0	0
AKAP5	15	6	13	6	15	13	11.3333333333333	4.72581562625261
AKAP6	1	5	1	1	5	1	2.33333333333333	2.3094010767585
AKAP7	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AKAP8	19	10	12	10	19	12	13.6666666666667	4.72581562625261
AKAP8L	5	8	4	4	8	5	5.66666666666667	2.08166599946613
AKAP9	151	103	81	81	151	103	111.666666666667	35.7957166897568
AKIP1	19	14	15	14	19	15	16	2.64575131106459
AKIRIN1	27	18	22	18	27	22	22.3333333333333	4.50924975282289
AKIRIN2	13	4	9	4	13	9	8.66666666666667	4.50924975282289
AKNA	8	4	3	3	8	4	5	2.64575131106459
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	175	123	162	123	175	162	153.333333333333	27.0616579930597
AKR1B1	106	93	144	93	144	106	114.333333333333	26.5015722804013
AKR1B10	2	3	8	2	8	3	4.33333333333333	3.21455025366432
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	13	15	9	9	15	13	12.3333333333333	3.05505046330389
AKR1C2	7	6	7	6	7	7	6.66666666666667	0.577350269189626
AKR1C3	132	92	121	92	132	121	115	20.6639783197718
AKR1C6P	0	0	0	0	0	0	0	0
AKR1D1	4	2	2	2	4	2	2.66666666666667	1.15470053837925
AKR1E2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AKR7A2	102	75	120	75	120	102	99	22.6495033058122
AKR7A2P1	0	0	0	0	0	0	0	0
