Gene	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	Min	Max	Median	Mean	Std
ACOXL	0	0	0	0	0	0	0	0
ACP1	234	238	512	234	512	238	328	159.361224894891
ACP2	6	2	6	2	6	6	4.66666666666667	2.3094010767585
ACP5	0	0	0	0	0	0	0	0
ACP6	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ACPL2	4	5	13	4	13	5	7.33333333333333	4.93288286231625
ACPP	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0
ACRC	4	2	1	1	4	2	2.33333333333333	1.52752523165195
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	0	0
ACSF2	5	0	4	0	5	4	3	2.64575131106459
ACSF3	1	2	0	0	2	1	1	1
ACSL1	18	17	53	17	53	18	29.3333333333333	20.5020324195757
ACSL3	27	17	35	17	35	27	26.3333333333333	9.01849950564579
ACSL4	25	24	39	24	39	25	29.3333333333333	8.38649708360608
ACSL5	0	0	0	0	0	0	0	0
ACSL6	12	8	13	8	13	12	11	2.64575131106459
ACSM1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACSM5	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACSS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSS2	3	2	1	1	3	2	2	1
ACSS3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACTA2	4393	3933	7139	3933	7139	4393	5155	1733.52011814112
ACTB	1077	987	1595	987	1595	1077	1219.66666666667	328.148340439706
ACTBL2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTC1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTG1	3293	2979	4529	2979	4529	3293	3600.33333333333	819.429883109796
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	2	0	1	0	2	1	1	1
ACTL10	0	0	0	0	0	0	0	0
ACTL6A	45	44	88	44	88	45	59	25.1197133741609
ACTL8	0	0	0	0	0	0	0	0
ACTN1	152	120	238	120	238	152	170	61.0245852095694
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	56	34	45	34	56	45	45	11
ACTR10	116	109	212	109	212	116	145.666666666667	57.5528742404177
ACTR1A	54	50	98	50	98	54	67.3333333333333	26.6333124739176
ACTR1B	12	9	13	9	13	12	11.3333333333333	2.08166599946613
ACTR2	108	76	136	76	136	108	106.666666666667	30.0222139978605
ACTR3	71	72	96	71	96	72	79.6666666666667	14.1539158303748
ACTR3B	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	0	0	0	0	0	0	0	0
ACTR6	32	33	62	32	62	33	42.3333333333333	17.0391705588427
ACTR8	12	9	13	9	13	12	11.3333333333333	2.08166599946613
ACTRT3	0	2	4	0	4	2	2	2
ACVR1	13	16	23	13	23	16	17.3333333333333	5.13160143944688
ACVR1B	2	2	4	2	4	2	2.66666666666667	1.15470053837925
ACVR1C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACVR2A	16	17	28	16	28	17	20.3333333333333	6.65832811847939
ACVR2B	1	3	4	1	4	3	2.66666666666667	1.52752523165195
ACVR2B-AS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACVRL1	0	0	0	0	0	0	0	0
ACY1	0	0	0	0	0	0	0	0
ACYP1	5	3	8	3	8	5	5.33333333333333	2.51661147842358
ACYP2	20	20	39	20	39	20	26.3333333333333	10.9696551146029
ADA	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ADAL	8	11	8	8	11	8	9	1.73205080756888
ADAM10	28	16	45	16	45	28	29.6666666666667	14.5716619962629
ADAM11	0	0	0	0	0	0	0	0
ADAM12	12	15	25	12	25	15	17.3333333333333	6.80685928555405
ADAM15	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ADAM17	9	10	33	9	33	10	17.3333333333333	13.5769412362775
ADAM18	0	0	0	0	0	0	0	0
ADAM19	0	4	9	0	9	4	4.33333333333333	4.50924975282289
ADAM1A	2	0	3	0	3	2	1.66666666666667	1.52752523165195
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ADAM22	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAM23	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM33	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ADAM7	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAM8	0	0	0	0	0	0	0	0
ADAM9	59	47	102	47	102	59	69.3333333333333	28.9194283023253
ADAMTS1	48	18	65	18	65	48	43.6666666666667	23.7977589981354
ADAMTS10	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADAMTS12	17	11	25	11	25	17	17.6666666666667	7.02376916856849
ADAMTS13	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	1	2	3	1	3	2	2	1
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	21	13	27	13	27	21	20.3333333333333	7.02376916856849
ADAMTS3	2	5	2	2	5	2	3	1.73205080756888
ADAMTS4	3	4	2	2	4	3	3	1
ADAMTS5	31	29	71	29	71	31	43.6666666666667	23.6924741918891
ADAMTS6	12	12	21	12	21	12	15	5.19615242270663
ADAMTS7	0	1	4	0	4	1	1.66666666666667	2.08166599946613
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ADAMTSL2	0	3	4	0	4	3	2.33333333333333	2.08166599946613
ADAMTSL3	9	5	5	5	9	5	6.33333333333333	2.3094010767585
ADAMTSL4	0	0	3	0	3	0	1	1.73205080756888
ADAMTSL5	7	3	3	3	7	3	4.33333333333333	2.3094010767585
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADAR	26	22	41	22	41	26	29.6666666666667	10.0166528008778
ADARB1	6	2	2	2	6	2	3.33333333333333	2.3094010767585
ADARB2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAT1	18	11	19	11	19	18	16	4.35889894354067
ADAT2	6	6	3	3	6	6	5	1.73205080756888
ADAT3	0	0	0	0	0	0	0	0
ADC	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ADCK1	6	1	7	1	7	6	4.66666666666667	3.21455025366432
ADCK2	2	5	3	2	5	3	3.33333333333333	1.52752523165195
ADCK3	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ADCK4	0	1	3	0	3	1	1.33333333333333	1.52752523165195
ADCK5	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADCY1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0
ADCY3	2	2	3	2	3	2	2.33333333333333	0.577350269189626
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0
ADCY6	19	4	19	4	19	19	14	8.66025403784439
ADCY7	25	11	25	11	25	25	20.3333333333333	8.08290376865476
ADCY8	0	0	0	0	0	0	0	0
ADCY9	3	3	6	3	6	3	4	1.73205080756888
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	28	24	34	24	34	28	28.6666666666667	5.03322295684717
ADD3	94	116	160	94	160	116	123.333333333333	33.6055550963428
ADD3-AS1	4	3	3	3	4	3	3.33333333333333	0.577350269189626
ADH1A	0	0	0	0	0	0	0	0
ADH1B	2	5	10	2	10	5	5.66666666666667	4.04145188432738
ADH1C	0	0	3	0	3	0	1	1.73205080756888
ADH4	0	0	0	0	0	0	0	0
ADH5	224	210	384	210	384	224	272.666666666667	96.6712642584824
ADH6	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADHFE1	3	1	2	1	3	2	2	1
ADI1	21	19	41	19	41	21	27	12.1655250605964
ADIPOQ	7	4	7	4	7	7	6	1.73205080756888
ADIPOQ-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADIPOR1	23	23	71	23	71	23	39	27.712812921102
ADIPOR2	11	3	9	3	11	9	7.66666666666667	4.16333199893227
ADIRF	18	13	24	13	24	18	18.3333333333333	5.5075705472861
ADK	35	36	55	35	55	36	42	11.2694276695846
ADM	17	13	50	13	50	17	26.6666666666667	20.3059925473574
ADM2	9	5	16	5	16	9	10	5.56776436283002
ADM5	0	0	0	0	0	0	0	0
ADNP	10	9	13	9	13	10	10.6666666666667	2.08166599946613
ADNP2	2	7	10	2	10	7	6.33333333333333	4.04145188432738
ADO	6	6	4	4	6	6	5.33333333333333	1.15470053837925
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADORA2B	14	10	12	10	14	12	12	2
ADORA3	0	0	0	0	0	0	0	0
ADPGK	6	7	18	6	18	7	10.3333333333333	6.65832811847939
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ADPRHL2	9	5	14	5	14	9	9.33333333333333	4.50924975282289
ADPRM	20	21	45	20	45	21	28.6666666666667	14.1539158303748
ADRA1A	2	2	7	2	7	2	3.66666666666667	2.88675134594813
ADRA1B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	6	11	16	6	16	11	11	5
ADRBK2	3	3	8	3	8	3	4.66666666666667	2.88675134594813
ADRM1	14	17	30	14	30	17	20.3333333333333	8.50490054811538
ADSL	72	93	118	72	118	93	94.3333333333333	23.0289672658878
ADSS	10	15	23	10	23	15	16	6.557438524302
ADSSL1	0	0	3	0	3	0	1	1.73205080756888
ADTRP	1	2	4	1	4	2	2.33333333333333	1.52752523165195
AEBP1	58	37	69	37	69	58	54.6666666666667	16.2583311976763
AEBP2	9	5	13	5	13	9	9	4
AEN	17	12	29	12	29	17	19.3333333333333	8.73689494805411
AES	11	13	28	11	28	13	17.3333333333333	9.29157324317757
AFAP1	42	33	64	33	64	42	46.3333333333333	15.9478316185409
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	0	2	5	0	5	2	2.33333333333333	2.51661147842358
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	10	9	20	9	20	10	13	6.08276253029822
AFF2	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AFF3	5	1	10	1	10	5	5.33333333333333	4.50924975282289
AFF4	24	22	48	22	48	24	31.3333333333333	14.4683562761405
AFG3L1P	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AFG3L2	35	42	61	35	61	42	46	13.4536240470737
AFMID	15	22	35	15	35	22	24	10.1488915650922
AFP	0	0	4	0	4	0	1.33333333333333	2.3094010767585
AFTPH	6	3	15	3	15	6	8	6.2449979983984
AGA	41	39	71	39	71	41	50.3333333333333	17.925772879665
AGAP1	9	16	25	9	25	16	16.6666666666667	8.02080627701064
AGAP11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AGAP3	5	1	7	1	7	5	4.33333333333333	3.05505046330389
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGBL2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL4	0	0	0	0	0	0	0	0
AGBL5	5	4	4	4	5	4	4.33333333333333	0.577350269189626
AGER	0	0	0	0	0	0	0	0
AGFG1	21	13	20	13	21	20	18	4.35889894354067
AGFG2	0	0	0	0	0	0	0	0
AGGF1	11	13	13	11	13	13	12.3333333333333	1.15470053837925
AGK	8	12	27	8	27	12	15.6666666666667	10.0166528008778
AGL	9	0	4	0	9	4	4.33333333333333	4.50924975282289
AGMAT	9	2	8	2	9	8	6.33333333333333	3.78593889720018
AGMO	2	1	2	1	2	2	1.66666666666667	0.577350269189626
AGO1	6	4	17	4	17	6	9	7
AGO2	2	4	8	2	8	4	4.66666666666667	3.05505046330389
AGO3	5	2	3	2	5	3	3.33333333333333	1.52752523165195
AGO4	8	1	11	1	11	8	6.66666666666667	5.13160143944688
AGPAT1	24	26	49	24	49	26	33	13.8924439894498
AGPAT2	0	1	7	0	7	1	2.66666666666667	3.78593889720018
AGPAT3	6	1	6	1	6	6	4.33333333333333	2.88675134594813
AGPAT4	3	11	11	3	11	11	8.33333333333333	4.61880215351701
AGPAT4-IT1	1	0	2	0	2	1	1	1
AGPAT5	13	16	19	13	19	16	16	3
AGPAT6	6	4	7	4	7	6	5.66666666666667	1.52752523165195
AGPAT9	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGPS	18	19	40	18	40	19	25.6666666666667	12.4230967690561
AGRN	4	2	0	0	4	2	2	2
AGRP	0	0	0	0	0	0	0	0
AGT	10	17	22	10	22	17	16.3333333333333	6.02771377334171
AGTPBP1	2	1	4	1	4	2	2.33333333333333	1.52752523165195
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	43	42	74	42	74	43	53	18.1934053986603
AHCTF1	3	2	8	2	8	3	4.33333333333333	3.21455025366432
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	39	40	109	39	109	40	62.6666666666667	40.1289587870572
AHCYL1	68	42	63	42	68	63	57.6666666666667	13.7961347243833
AHCYL2	2	3	7	2	7	3	4	2.64575131106459
AHDC1	5	1	3	1	5	3	3	2
AHI1	22	14	38	14	38	22	24.6666666666667	12.2202018532156
AHNAK	195	130	272	130	272	195	199	71.0844568101916
AHNAK2	10	11	15	10	15	11	12	2.64575131106459
AHR	41	34	85	34	85	41	53.3333333333333	27.6465790529919
AHRR	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AHSA1	17	12	36	12	36	17	21.6666666666667	12.6622799421484
AHSA2	5	8	8	5	8	8	7	1.73205080756888
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AICDA	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AIDA	24	19	47	19	47	24	30	14.9331845230681
AIF1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AIF1L	0	0	0	0	0	0	0	0
AIFM1	9	11	29	9	29	11	16.3333333333333	11.0151410945722
AIFM2	5	5	13	5	13	5	7.66666666666667	4.61880215351701
AIFM3	0	0	0	0	0	0	0	0
AIG1	37	27	66	27	66	37	43.3333333333333	20.2566861389847
AIM1	1	1	4	1	4	1	2	1.73205080756888
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	60	65	130	60	130	65	85	39.0512483795333
AIMP2	0	0	0	0	0	0	0	0
AIP	7	16	11	7	16	11	11.3333333333333	4.50924975282289
AIPL1	10	8	15	8	15	10	11	3.60555127546399
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	0
AJUBA	12	3	21	3	21	12	12	9
AK1	40	32	46	32	46	40	39.3333333333333	7.02376916856849
AK2	58	56	95	56	95	58	69.6666666666667	21.9620885467055
AK3	28	19	46	19	46	28	31	13.7477270848675
AK4	60	66	103	60	103	66	76.3333333333333	23.2880512996114
AK5	6	2	5	2	6	5	4.33333333333333	2.08166599946613
AK8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AK9	15	14	17	14	17	15	15.3333333333333	1.52752523165195
AKAP1	3	2	5	2	5	3	3.33333333333333	1.52752523165195
AKAP10	6	3	3	3	6	3	4	1.73205080756888
AKAP11	13	13	27	13	27	13	17.6666666666667	8.08290376865476
AKAP12	32	12	42	12	42	32	28.6666666666667	15.2752523165195
AKAP13	23	24	35	23	35	24	27.3333333333333	6.65832811847939
AKAP14	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP17A	4	4	10	4	10	4	6	3.46410161513775
AKAP2	0	0	0	0	0	0	0	0
AKAP3	0	0	0	0	0	0	0	0
AKAP5	3	4	6	3	6	4	4.33333333333333	1.52752523165195
AKAP6	2	3	2	2	3	2	2.33333333333333	0.577350269189626
AKAP7	4	0	2	0	4	2	2	2
AKAP8	7	7	11	7	11	7	8.33333333333333	2.3094010767585
AKAP8L	0	2	6	0	6	2	2.66666666666667	3.05505046330389
AKAP9	61	61	111	61	111	61	77.6666666666667	28.8675134594813
AKIP1	10	13	26	10	26	13	16.3333333333333	8.50490054811538
AKIRIN1	17	12	15	12	17	15	14.6666666666667	2.51661147842358
AKIRIN2	8	5	8	5	8	8	7	1.73205080756888
AKNA	3	6	6	3	6	6	5	1.73205080756888
AKNAD1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKR1A1	110	118	213	110	213	118	147	57.2974694031072
AKR1B1	89	98	142	89	142	98	109.666666666667	28.360771028541
AKR1B10	3	0	0	0	3	0	1	1.73205080756888
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	16	10	18	10	18	16	14.6666666666667	4.16333199893227
AKR1C2	2	6	10	2	10	6	6	4
AKR1C3	86	81	171	81	171	86	112.666666666667	50.5799696849784
AKR1C6P	0	0	0	0	0	0	0	0
AKR1D1	4	3	5	3	5	4	4	1
AKR1E2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
AKR7A2	57	72	136	57	136	72	88.3333333333333	41.9563264995082
