Gene	TRS.A.2.6.1.A1	TRS.A.4.4.1.A11	TRS.A.5.10.1.C6	TRS.A.5.10.1.H11	TRS.A.5.10.1.H12	Min	Max	Median	Mean	Std
ACBD6	20	21	17	24	16	16	24	20	19.6	3.20936130717624
ACBD7	2	7	4	9	4	2	9	4	5.2	2.77488738510232
ACCS	2	0	0	3	0	0	3	0	1	1.4142135623731
ACD	3	2	1	2	1	1	3	2	1.8	0.836660026534076
ACE	0	0	0	0	0	0	0	0	0	0
ACE2	1	0	1	1	0	0	1	1	0.6	0.547722557505166
ACER1	0	0	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0	0	0
ACER3	4	4	1	2	1	1	4	2	2.4	1.51657508881031
ACIN1	56	82	89	82	45	45	89	82	70.8	19.1494125236259
ACLY	28	43	43	62	39	28	62	43	43	12.2678441463853
ACMSD	0	0	0	0	0	0	0	0	0	0
ACN9	26	35	59	61	41	26	61	41	44.4	15.2249794745346
ACO1	18	29	12	13	13	12	29	13	17	7.10633520177595
ACO2	6	3	5	8	4	3	8	5	5.2	1.92353840616713
ACOT1	0	0	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0	0	0
ACOT13	83	101	114	166	83	83	166	101	109.4	34.238866803678
ACOT2	3	1	4	7	4	1	7	4	3.8	2.16794833886788
ACOT4	0	3	0	1	0	0	3	0	0.8	1.30384048104053
ACOT6	0	0	0	0	0	0	0	0	0	0
ACOT7	4	10	6	8	5	4	10	6	6.6	2.40831891575846
ACOT8	3	7	13	10	6	3	13	7	7.8	3.83405790253616
ACOT9	54	48	65	66	51	48	66	54	56.8	8.22800097228968
ACOX1	30	33	44	43	29	29	44	33	35.8	7.19027120489902
ACOX2	7	10	11	19	8	7	19	10	11	4.74341649025257
ACOX3	8	14	15	14	6	6	15	14	11.4	4.09878030638384
ACOXL	0	0	0	0	0	0	0	0	0	0
ACP1	216	333	331	416	211	211	416	331	301.4	87.2828734632402
ACP2	5	5	13	6	6	5	13	6	7	3.39116499156263
ACP5	0	1	0	1	0	0	1	0	0.4	0.547722557505166
ACP6	0	1	1	1	1	0	1	1	0.8	0.447213595499958
ACPL2	3	3	3	4	2	2	4	3	3	0.707106781186548
ACPP	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ACRBP	0	0	0	0	0	0	0	0	0	0
ACRC	1	0	0	2	0	0	2	0	0.6	0.894427190999916
ACRV1	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ACSBG1	0	0	0	0	0	0	0	0	0	0
ACSBG2	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ACSF2	2	6	6	8	3	2	8	6	5	2.44948974278318
ACSF3	1	3	0	0	0	0	3	0	0.8	1.30384048104053
ACSL1	22	36	25	36	25	22	36	25	28.8	6.68580586017871
ACSL3	23	26	35	28	17	17	35	26	25.8	6.61059755241536
ACSL4	26	31	37	39	32	26	39	32	33	5.1478150704935
ACSL5	0	2	0	0	2	0	2	0	0.8	1.09544511501033
ACSL6	9	9	7	8	12	7	12	9	9	1.87082869338697
ACSM1	0	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0
ACSM3	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ACSM5	0	0	0	1	2	0	2	0	0.6	0.894427190999916
ACSS1	1	0	1	1	0	0	1	1	0.6	0.547722557505166
ACSS2	10	2	8	4	4	2	10	4	5.6	3.286335345031
ACSS3	1	0	1	1	0	0	1	1	0.6	0.547722557505166
ACTA2	4351	5721	7540	9848	5775	4351	9848	5775	6647	2117.38789549766
ACTB	1189	1991	2075	2228	1287	1189	2228	1991	1754	479.895822028073
ACTBL2	0	0	0	0	0	0	0	0	0	0
ACTC1	2	1	1	0	1	0	2	1	1	0.707106781186548
ACTG1	2552	3570	4701	5672	3622	2552	5672	3622	4023.4	1194.64798162471
ACTG1P4	0	0	0	0	0	0	0	0	0	0
ACTG2	3	3	1	7	3	1	7	3	3.4	2.19089023002066
ACTL10	0	1	0	0	2	0	2	0	0.6	0.894427190999916
ACTL6A	49	52	60	82	47	47	82	52	58	14.3003496460751
ACTL8	0	0	0	0	0	0	0	0	0	0
ACTN1	135	200	209	243	176	135	243	200	192.6	40.1783523803553
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ACTN4	44	55	79	59	48	44	79	55	57	13.6198384718762
ACTR10	115	123	157	178	118	115	178	123	138.2	27.9051966486531
ACTR1A	65	77	78	102	81	65	102	78	80.6	13.4275835502893
ACTR1B	14	11	12	19	7	7	19	12	12.6	4.39317652729776
ACTR2	124	149	183	182	96	96	183	149	146.8	37.599202119194
ACTR3	61	113	83	131	61	61	131	83	89.8	31.3878957561669
ACTR3B	3	0	0	1	0	0	3	0	0.8	1.30384048104053
ACTR3C	0	0	0	0	0	0	0	0	0	0
ACTR5	2	0	2	1	1	0	2	1	1.2	0.836660026534076
ACTR6	22	43	40	43	27	22	43	40	35	9.82344135219425
ACTR8	15	10	15	20	5	5	20	15	13	5.70087712549569
ACTRT3	3	2	1	2	0	0	3	2	1.6	1.14017542509914
ACVR1	21	26	22	37	19	19	37	22	25	7.17635004720366
ACVR1B	5	2	2	9	3	2	9	3	4.2	2.94957624075052
ACVR1C	0	0	0	0	0	0	0	0	0	0
ACVR2A	13	38	37	20	13	13	38	20	24.2	12.4779806058513
ACVR2B	4	4	3	7	1	1	7	4	3.8	2.16794833886788
ACVR2B-AS1	0	1	1	0	0	0	1	0	0.4	0.547722557505166
ACVRL1	0	0	1	2	3	0	3	1	1.2	1.30384048104053
ACY1	0	0	0	0	0	0	0	0	0	0
ACYP1	6	6	11	2	5	2	11	6	6	3.24037034920393
ACYP2	23	24	25	34	16	16	34	24	24.4	6.42650760522385
ADA	3	0	3	3	0	0	3	3	1.8	1.6431676725155
ADAL	10	10	9	7	5	5	10	9	8.2	2.16794833886788
ADAM10	28	38	48	37	25	25	48	37	35.2	9.09395403551173
ADAM11	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ADAM12	15	33	19	26	16	15	33	19	21.8	7.59605160593318
ADAM15	0	1	1	4	2	0	4	1	1.6	1.51657508881031
ADAM17	25	26	25	22	17	17	26	25	23	3.67423461417477
ADAM18	0	0	0	0	0	0	0	0	0	0
ADAM19	8	3	10	8	3	3	10	8	6.4	3.20936130717624
ADAM1A	1	0	0	1	1	0	1	1	0.6	0.547722557505166
ADAM20	0	0	1	0	1	0	1	0	0.4	0.547722557505166
ADAM20P1	0	0	0	0	0	0	0	0	0	0
ADAM21	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ADAM22	0	0	0	0	0	0	0	0	0	0
ADAM23	3	4	2	1	2	1	4	2	2.4	1.14017542509914
ADAM28	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ADAM29	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0
ADAM32	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ADAM33	2	1	0	1	0	0	2	1	0.8	0.836660026534076
ADAM7	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0	0	0
ADAM9	60	75	81	85	58	58	85	75	71.8	12.2351951353462
ADAMTS1	33	74	78	64	41	33	78	64	58	20.0374649095139
ADAMTS10	0	0	2	1	1	0	2	1	0.8	0.836660026534076
ADAMTS12	7	19	20	21	9	7	21	19	15.2	6.64830805543787
ADAMTS13	0	0	2	3	0	0	3	0	1	1.4142135623731
ADAMTS14	0	0	0	0	0	0	0	0	0	0
ADAMTS15	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ADAMTS16	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ADAMTS17	2	1	1	2	5	1	5	2	2.2	1.6431676725155
ADAMTS18	0	0	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0
ADAMTS2	28	42	29	35	23	23	42	29	31.4	7.30068489937759
ADAMTS3	2	1	3	3	2	1	3	2	2.2	0.836660026534076
ADAMTS4	8	5	10	6	2	2	10	6	6.2	3.03315017762062
ADAMTS5	19	34	37	31	36	19	37	34	31.4	7.30068489937759
ADAMTS6	8	9	15	18	20	8	20	15	14	5.33853912601566
ADAMTS7	0	0	2	5	1	0	5	1	1.6	2.07364413533277
ADAMTS8	0	0	0	0	0	0	0	0	0	0
ADAMTS9	0	0	1	1	1	0	1	1	0.6	0.547722557505166
ADAMTS9-AS2	0	0	0	1	1	0	1	0	0.4	0.547722557505166
ADAMTSL1	2	4	2	2	2	2	4	2	2.4	0.894427190999916
ADAMTSL2	2	3	2	1	2	1	3	2	2	0.707106781186548
ADAMTSL3	9	9	5	14	6	5	14	9	8.6	3.50713558335004
ADAMTSL4	0	0	0	3	0	0	3	0	0.6	1.34164078649987
ADAMTSL5	2	5	3	5	0	0	5	3	3	2.12132034355964
ADAP1	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ADAP2	1	1	0	0	0	0	1	0	0.4	0.547722557505166
ADAR	26	38	34	44	28	26	44	34	34	7.34846922834953
ADARB1	2	4	3	9	4	2	9	4	4.4	2.70185121722126
ADARB2	1	0	0	1	0	0	1	0	0.4	0.547722557505166
ADAT1	17	16	21	17	16	16	21	17	17.4	2.07364413533277
ADAT2	2	3	9	10	3	2	10	3	5.4	3.78153408023781
ADAT3	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ADC	0	1	4	3	0	0	4	1	1.6	1.81659021245849
ADCK1	1	2	4	3	2	1	4	2	2.4	1.14017542509914
ADCK2	1	3	2	6	2	1	6	2	2.8	1.92353840616713
ADCK3	2	2	5	2	2	2	5	2	2.6	1.34164078649987
ADCK4	1	4	2	3	1	1	4	2	2.2	1.30384048104053
ADCK5	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ADCY1	0	1	0	0	1	0	1	0	0.4	0.547722557505166
ADCY10	0	0	0	0	0	0	0	0	0	0
ADCY10P1	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ADCY2	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ADCY3	1	4	2	4	1	1	4	2	2.4	1.51657508881031
ADCY4	0	0	0	0	0	0	0	0	0	0
ADCY5	0	1	2	1	1	0	2	1	1	0.707106781186548
ADCY6	16	11	15	20	15	11	20	15	15.4	3.20936130717624
ADCY7	10	14	21	24	19	10	24	19	17.6	5.59464029227975
ADCY8	0	0	2	0	0	0	2	0	0.4	0.894427190999916
ADCY9	3	7	6	9	3	3	9	6	5.6	2.60768096208106
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0
ADD1	35	47	49	41	29	29	49	41	40.2	8.31865373723417
ADD3	116	148	128	191	108	108	191	128	138.2	33.1391007723505
ADD3-AS1	4	3	1	2	5	1	5	3	3	1.58113883008419
ADH1A	0	0	0	0	0	0	0	0	0	0
ADH1B	8	9	2	7	2	2	9	7	5.6	3.36154726279432
ADH1C	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ADH4	0	0	0	0	0	0	0	0	0	0
ADH5	222	266	286	366	233	222	366	266	274.6	57.129677051424
ADH6	0	0	0	0	0	0	0	0	0	0
ADHFE1	4	1	2	4	3	1	4	3	2.8	1.30384048104053
ADI1	14	19	26	32	20	14	32	20	22.2	6.94262198308391
ADIPOQ	10	5	3	7	5	3	10	5	6	2.64575131106459
ADIPOQ-AS1	2	0	0	0	0	0	2	0	0.4	0.894427190999916
ADIPOR1	38	44	55	54	35	35	55	44	45.2	9.09395403551173
ADIPOR2	3	11	12	7	13	3	13	11	9.2	4.14728827066554
ADIRF	10	8	14	19	3	3	19	10	10.8	6.05805249234438
ADK	31	57	39	60	27	27	60	39	42.8	15.0066651858433
ADM	11	26	20	29	14	11	29	20	20	7.64852927038918
ADM2	10	9	11	11	8	8	11	10	9.8	1.30384048104053
ADM5	0	0	0	0	0	0	0	0	0	0
ADNP	14	12	9	18	12	9	18	12	13	3.3166247903554
ADNP2	5	4	12	8	4	4	12	5	6.6	3.43511280746353
ADO	10	10	14	12	10	10	14	10	11.2	1.78885438199983
ADORA1	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	1	2	1	0	0	2	1	1	0.707106781186548
ADORA2B	9	9	17	19	10	9	19	10	12.8	4.81663783151692
ADORA3	0	0	0	0	0	0	0	0	0	0
ADPGK	5	10	8	13	8	5	13	8	8.8	2.94957624075052
ADPGK-AS1	0	0	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0	0	0
ADPRHL1	1	0	1	0	1	0	1	1	0.6	0.547722557505166
ADPRHL2	3	11	14	11	11	3	14	11	10	4.12310562561766
ADPRM	25	24	28	31	27	24	31	27	27	2.73861278752583
ADRA1A	2	4	3	5	2	2	5	3	3.2	1.30384048104053
ADRA1B	0	0	0	3	0	0	3	0	0.6	1.34164078649987
ADRA1D	0	0	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0	0	0
ADRA2C	3	4	2	6	2	2	6	3	3.4	1.67332005306815
ADRB1	0	0	1	1	0	0	1	0	0.4	0.547722557505166
ADRB2	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ADRB3	0	0	0	0	0	0	0	0	0	0
ADRBK1	5	5	6	13	8	5	13	6	7.4	3.36154726279432
ADRBK2	5	8	3	5	2	2	8	5	4.6	2.30217288664427
ADRM1	22	33	23	41	21	21	41	23	28	8.71779788708135
ADSL	61	84	88	99	71	61	99	84	80.6	14.842506526864
ADSS	23	23	25	34	9	9	34	23	22.8	8.95544527089525
ADSSL1	0	2	0	2	1	0	2	1	1	1
ADTRP	1	0	1	5	2	0	5	1	1.8	1.92353840616713
AEBP1	71	81	71	99	59	59	99	71	76.2	14.9398795175865
AEBP2	5	16	15	18	9	5	18	15	12.6	5.41294744108974
AEN	23	42	19	34	17	17	42	23	27	10.6536378763313
AES	17	15	18	20	7	7	20	17	15.4	5.02991053598372
AFAP1	54	52	75	55	42	42	75	54	55.6	12.0124934963562
AFAP1-AS1	0	0	0	0	0	0	0	0	0	0
AFAP1L1	3	1	2	4	0	0	4	2	2	1.58113883008419
AFAP1L2	0	0	0	0	0	0	0	0	0	0
AFF1	20	17	22	19	11	11	22	19	17.8	4.20713679359253
AFF2	1	1	4	3	3	1	4	3	2.4	1.34164078649987
AFF3	5	5	3	3	1	1	5	3	3.4	1.67332005306815
AFF4	41	66	46	45	29	29	66	45	45.4	13.3529023062404
AFG3L1P	2	3	3	0	1	0	3	2	1.8	1.30384048104053
AFG3L2	41	43	42	62	42	41	62	42	46	8.97217922246318
AFMID	17	22	17	39	30	17	39	22	25	9.46044396421225
AFP	3	1	1	4	0	0	4	1	1.8	1.6431676725155
AFTPH	17	12	12	12	10	10	17	12	12.6	2.60768096208106
AGA	38	64	67	76	37	37	76	64	56.4	17.8129166617935
AGAP1	18	24	19	30	16	16	30	19	21.4	5.63914887194867
AGAP11	0	1	0	0	0	0	1	0	0.2	0.447213595499958
AGAP2	0	0	0	0	0	0	0	0	0	0
AGAP2-AS1	0	2	0	1	1	0	2	1	0.8	0.836660026534076
AGAP3	10	8	7	4	6	4	10	7	7	2.23606797749979
AGAP5	0	0	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0	0	0	0	0
AGBL3	2	0	0	0	0	0	2	0	0.4	0.894427190999916
AGBL4	0	0	0	0	0	0	0	0	0	0
AGBL5	3	9	5	6	2	2	9	5	5	2.73861278752583
AGER	0	0	0	0	0	0	0	0	0	0
AGFG1	4	24	29	25	17	4	29	24	19.8	9.83361581515162
AGFG2	1	0	4	0	0	0	4	0	1	1.73205080756888
AGGF1	12	24	7	16	10	7	24	12	13.8	6.57267069006199
AGK	14	19	18	30	14	14	30	18	19	6.557438524302
AGL	7	13	9	7	7	7	13	7	8.6	2.60768096208106
AGMAT	4	1	1	4	4	1	4	4	2.8	1.6431676725155
AGMO	1	3	2	3	0	0	3	2	1.8	1.30384048104053
AGO1	12	10	9	14	15	9	15	12	12	2.54950975679639
AGO2	3	5	2	2	3	2	5	3	3	1.22474487139159
AGO3	2	6	6	6	1	1	6	6	4.2	2.48997991959775
AGO4	6	5	4	4	5	4	6	5	4.8	0.836660026534076
AGPAT1	34	44	43	40	28	28	44	40	37.8	6.72309452558864
AGPAT2	7	4	5	9	4	4	9	5	5.8	2.16794833886788
AGPAT3	2	6	7	10	8	2	10	7	6.6	2.96647939483826
AGPAT4	6	6	7	12	4	4	12	6	7	3
AGPAT4-IT1	0	1	0	0	0	0	1	0	0.2	0.447213595499958
AGPAT5	14	19	22	25	13	13	25	19	18.6	5.12835256198323
AGPAT6	8	10	4	8	8	4	10	8	7.6	2.19089023002066
AGPAT9	0	0	0	2	0	0	2	0	0.4	0.894427190999916
AGPS	25	30	41	41	35	25	41	35	34.4	6.98569967862919
AGRN	3	0	0	4	2	0	4	2	1.8	1.78885438199983
AGRP	0	0	0	0	0	0	0	0	0	0
AGT	8	12	17	29	10	8	29	12	15.2	8.40832920383116
AGTPBP1	9	2	4	9	3	2	9	4	5.4	3.36154726279432
AGTR1	0	0	0	0	0	0	0	0	0	0
AGTRAP	31	49	44	65	38	31	65	44	45.4	12.8569047597001
AHCTF1	7	2	2	4	4	2	7	4	3.8	2.04939015319192
AHCTF1P1	0	0	0	0	0	0	0	0	0	0
AHCY	69	84	73	93	69	69	93	73	77.6	10.573551910309
AHCYL1	40	49	46	72	37	37	72	46	48.8	13.8094170767632
AHCYL2	2	2	4	4	1	1	4	2	2.6	1.34164078649987
AHDC1	7	5	7	6	4	4	7	6	5.8	1.30384048104053
AHI1	16	33	21	47	19	16	47	21	27.2	12.8140547837131
AHNAK	228	402	303	387	635	228	635	387	391	153.285681001195
AHNAK2	16	28	32	38	35	16	38	32	29.8	8.55569985448298
AHR	63	55	66	97	52	52	97	63	66.6	17.9248430955476
AHRR	2	1	2	2	2	1	2	2	1.8	0.447213595499958
AHSA1	29	29	34	25	14	14	34	29	26.2	7.52994023880668
AHSA2	10	3	6	3	2	2	10	3	4.8	3.27108544675922
AHSG	1	0	0	0	0	0	1	0	0.2	0.447213595499958
AHSP	0	0	0	0	0	0	0	0	0	0
AICDA	2	1	2	0	2	0	2	2	1.4	0.894427190999916
AIDA	31	39	46	50	33	31	50	39	39.8	8.16700679563817
AIF1	0	1	0	1	0	0	1	0	0.4	0.547722557505166
AIF1L	0	1	0	0	0	0	1	0	0.2	0.447213595499958
AIFM1	15	30	21	19	15	15	30	19	20	6.16441400296898
AIFM2	7	7	1	9	7	1	9	7	6.2	3.03315017762062
AIFM3	0	0	0	0	0	0	0	0	0	0
AIG1	37	43	42	43	29	29	43	42	38.8	6.01664358259653
AIM1	1	0	1	2	1	0	2	1	1	0.707106781186548
AIM1L	0	0	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0	0	0
AIMP1	99	110	105	125	67	67	125	105	101.2	21.4056067421599
AIMP2	0	1	0	0	0	0	1	0	0.2	0.447213595499958
AIP	8	8	11	15	2	2	15	8	8.8	4.76445169982864
