Gene	SOR.A.6.5.1.C12	SOR.A.7.3.1.E5	SOR.A.7.4.1.E6	SOR.A.8.2.1.F12	Min	Max	Median	Mean	Std
ABCA2	2	0	1	0	0	2	0.5	0.75	0.957427107756338
ABCA3	1	1	0	2	0	2	1	1	0.816496580927726
ABCA4	0	0	0	0	0	0	0	0	0
ABCA5	27	16	16	32	16	32	21.5	22.75	8.05708797684788
ABCA6	10	4	15	7	4	15	8.5	9	4.69041575982343
ABCA7	1	0	1	0	0	1	0.5	0.5	0.577350269189626
ABCA8	55	38	36	45	36	55	41.5	43.5	8.58292879305582
ABCA9	114	85	64	104	64	114	94.5	91.75	22.0661883130428
ABCB1	0	0	0	0	0	0	0	0	0
ABCB10	8	1	8	4	1	8	6	5.25	3.40342964277702
ABCB5	11	6	7	4	4	11	6.5	7	2.94392028877595
ABCB6	17	6	11	16	6	17	13.5	12.5	5.06622805119022
ABCB7	23	22	14	10	10	23	18	17.25	6.29152869605896
ABCB8	6	1	0	0	0	6	0.5	1.75	2.87228132326901
ABCB9	0	0	0	1	0	1	0	0.25	0.5
ABCC1	34	6	21	15	6	34	18	19	11.7473401244707
ABCC10	1	0	5	5	0	5	3	2.75	2.62995563967658
ABCC11	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	3	1	0	0	0	3	0.5	1	1.4142135623731
ABCC2	1	0	0	0	0	1	0	0.25	0.5
ABCC3	5	2	2	1	1	5	2	2.5	1.73205080756888
ABCC4	23	5	11	10	5	23	10.5	12.25	7.63216876123687
ABCC5	12	5	9	13	5	13	10.5	9.75	3.5939764421413
ABCC5-AS1	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0
ABCC9	2	0	1	1	0	2	1	1	0.816496580927726
ABCD1	3	0	0	2	0	3	1	1.25	1.5
ABCD2	0	0	0	0	0	0	0	0	0
ABCD3	25	27	17	17	17	27	21	21.5	5.25991127935317
ABCD4	22	6	13	28	6	28	17.5	17.25	9.7082439194738
ABCE1	118	93	79	96	79	118	94.5	96.5	16.1348484137079
ABCF1	148	98	96	152	96	152	123	123.5	30.65398288423
ABCF2	67	52	45	52	45	67	52	54	9.2736184954957
ABCF3	22	16	11	22	11	22	19	17.75	5.31507290636732
ABCG1	5	3	6	3	3	6	4	4.25	1.5
ABCG2	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0
ABHD10	41	13	22	40	13	41	31	29	13.7840487520902
ABHD11	14	2	1	5	1	14	3.5	5.5	5.91607978309962
ABHD12	13	15	10	8	8	15	11.5	11.5	3.1091263510296
ABHD12B	1	0	0	0	0	1	0	0.25	0.5
ABHD13	26	12	13	20	12	26	16.5	17.75	6.55108133567785
ABHD14A	8	3	10	2	2	10	5.5	5.75	3.86221007541882
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0
ABHD14B	29	18	11	28	11	29	23	21.5	8.58292879305582
ABHD15	9	1	4	8	1	9	6	5.5	3.69684550213647
ABHD16A	15	6	10	16	6	16	12.5	11.75	4.64578662158878
ABHD16B	0	0	0	0	0	0	0	0	0
ABHD17A	4	5	7	4	4	7	4.5	5	1.4142135623731
ABHD17B	10	2	3	6	2	10	4.5	5.25	3.5939764421413
ABHD17C	6	5	1	5	1	6	5	4.25	2.21735578260835
ABHD2	27	16	19	12	12	27	17.5	18.5	6.35085296108588
ABHD3	1	0	0	2	0	2	0.5	0.75	0.957427107756338
ABHD4	180	96	106	139	96	180	122.5	130.25	37.9154761717868
ABHD5	46	22	19	25	19	46	23.5	28	12.2474487139159
ABHD6	15	0	5	12	0	15	8.5	8	6.78232998312527
ABHD8	3	2	0	3	0	3	2.5	2	1.4142135623731
ABI1	97	74	72	84	72	97	79	81.75	11.4418821295566
ABI2	36	23	34	30	23	36	32	30.75	5.7373048260195
ABI3BP	138	94	90	94	90	138	94	104	22.7449628123093
ABL1	42	12	11	28	11	42	20	23.25	14.7280910734102
ABL2	74	19	24	34	19	74	29	37.75	24.9582985531199
ABLIM1	98	48	53	59	48	98	56	64.5	22.781571499789
ABLIM2	1	2	0	2	0	2	1.5	1.25	0.957427107756338
ABLIM3	52	18	34	30	18	52	32	33.5	14.0830867828517
ABR	20	8	15	18	8	20	16.5	15.25	5.25198375219624
ABRA	0	0	0	0	0	0	0	0	0
ABRACL	70	54	46	36	36	70	50	51.5	14.3643076176102
ABT1	17	10	20	12	10	20	14.5	14.75	4.57347424467075
ABTB1	6	1	2	0	0	6	1.5	2.25	2.62995563967658
ABTB2	4	0	4	3	0	4	3.5	2.75	1.89296944860009
ACAA1	14	4	4	8	4	14	6	7.5	4.72581562625261
ACAA2	67	69	67	88	67	88	68	72.75	10.2102889283311
ACACA	24	7	8	10	7	24	9	12.25	7.9320026895272
ACACB	3	2	3	6	2	6	3	3.5	1.73205080756888
ACAD10	2	1	0	3	0	3	1.5	1.5	1.29099444873581
ACAD11	1	0	0	0	0	1	0	0.25	0.5
ACAD8	7	4	4	7	4	7	5.5	5.5	1.73205080756888
ACAD9	15	2	7	9	2	15	8	8.25	5.37742193496723
ACADL	6	1	1	3	1	6	2	2.75	2.3629078131263
ACADM	79	64	44	64	44	79	64	62.75	14.3614066163451
ACADS	0	1	1	1	0	1	1	0.75	0.5
ACADSB	11	4	2	6	2	11	5	5.75	3.86221007541882
ACADVL	70	20	29	52	20	70	40.5	42.75	22.618208004467
ACAN	0	0	0	0	0	0	0	0	0
ACAP1	3	3	7	1	1	7	3	3.5	2.51661147842358
ACAP2	186	114	117	114	114	186	115.5	132.75	35.528157846981
ACAP3	5	1	1	1	1	5	1	2	2
ACAT1	121	83	104	144	83	144	112.5	113	25.8585898042926
ACAT2	10	9	4	6	4	10	7.5	7.25	2.75378527364305
ACBD3	122	60	90	93	60	122	91.5	91.25	25.3426517949484
ACBD4	2	5	7	0	0	7	3.5	3.5	3.1091263510296
ACBD5	28	28	22	30	22	30	28	27	3.46410161513775
ACBD6	33	28	26	27	26	33	27.5	28.5	3.1091263510296
ACBD7	9	4	4	3	3	9	4	5	2.70801280154532
ACCS	0	0	3	2	0	3	1	1.25	1.5
ACD	5	5	4	7	4	7	5	5.25	1.25830573921179
ACE	0	0	0	0	0	0	0	0	0
ACE2	1	0	0	0	0	1	0	0.25	0.5
ACER1	0	0	0	1	0	1	0	0.25	0.5
ACER2	0	0	0	0	0	0	0	0	0
ACER3	3	3	5	3	3	5	3	3.5	1
ACIN1	92	81	71	85	71	92	83	82.25	8.77021474461525
ACLY	50	9	19	21	9	50	20	24.75	17.6328292303495
ACMSD	0	0	0	0	0	0	0	0	0
ACN9	53	61	45	46	45	61	49.5	51.25	7.41057802513857
ACO1	19	25	17	20	17	25	19.5	20.25	3.40342964277702
ACO2	13	11	7	6	6	13	9	9.25	3.30403793359983
ACOT1	0	0	0	1	0	1	0	0.25	0.5
ACOT11	0	0	0	0	0	0	0	0	0
ACOT13	205	270	238	236	205	270	237	237.25	26.5502667908755
ACOT2	7	4	6	4	4	7	5	5.25	1.5
ACOT4	2	2	1	1	1	2	1.5	1.5	0.577350269189626
ACOT6	0	0	0	0	0	0	0	0	0
ACOT7	14	4	6	4	4	14	5	7	4.76095228569523
ACOT8	6	7	8	8	6	8	7.5	7.25	0.957427107756338
ACOT9	96	102	82	91	82	102	93.5	92.75	8.46069343099804
ACOX1	52	31	16	29	16	52	30	32	14.8996644257513
ACOX2	17	13	10	17	10	17	15	14.25	3.40342964277702
ACOX3	10	3	0	5	0	10	4	4.5	4.20317340430616
ACOXL	0	0	0	0	0	0	0	0	0
ACP1	359	385	374	455	359	455	379.5	393.25	42.5235229020362
ACP2	11	3	3	2	2	11	3	4.75	4.19324854180304
ACP5	0	0	0	0	0	0	0	0	0
ACP6	3	1	0	3	0	3	2	1.75	1.5
ACPL2	8	6	6	4	4	8	6	6	1.63299316185545
ACPP	0	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0	0
ACRC	5	0	3	4	0	5	3.5	3	2.16024689946929
ACRV1	1	0	0	0	0	1	0	0.25	0.5
ACSBG1	0	1	0	0	0	1	0	0.25	0.5
ACSBG2	0	0	0	1	0	1	0	0.25	0.5
ACSF2	7	5	11	14	5	14	9	9.25	4.03112887414927
ACSF3	2	0	0	3	0	3	1	1.25	1.5
ACSL1	37	25	29	31	25	37	30	30.5	5
ACSL3	95	56	72	63	56	95	67.5	71.5	16.9803808359334
ACSL4	57	24	32	49	24	57	40.5	40.5	15.1547572288924
ACSL5	0	0	0	2	0	2	0	0.5	1
ACSL6	14	5	8	5	5	14	6.5	8	4.24264068711928
ACSM1	0	0	0	0	0	0	0	0	0
ACSM2A	0	1	0	0	0	1	0	0.25	0.5
ACSM3	0	0	1	0	0	1	0	0.25	0.5
ACSM5	0	2	0	0	0	2	0	0.5	1
ACSS1	0	0	0	3	0	3	0	0.75	1.5
ACSS2	12	7	6	6	6	12	6.5	7.75	2.87228132326901
ACSS3	1	2	1	0	0	2	1	1	0.816496580927726
ACTA2	402	380	299	471	299	471	391	388	70.8754776585903
ACTB	544	323	369	280	280	544	346	379	115.847601039757
ACTBL2	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0
ACTG1	1740	1300	1282	1161	1161	1740	1291	1370.75	253.786491628954
ACTG1P4	0	0	0	0	0	0	0	0	0
ACTG2	1	0	0	0	0	1	0	0.25	0.5
ACTL10	0	0	0	0	0	0	0	0	0
ACTL6A	83	77	65	93	65	93	80	79.5	11.7046999107196
ACTL8	0	1	0	0	0	1	0	0.25	0.5
ACTN1	183	107	137	121	107	183	129	137	33.0252428706689
ACTN1-AS1	0	0	1	0	0	1	0	0.25	0.5
ACTN2	0	0	0	0	0	0	0	0	0
ACTN4	23	25	20	29	20	29	24	24.25	3.77491721763537
ACTR10	161	174	141	145	141	174	153	155.25	15.1959424408842
ACTR1A	58	75	65	57	57	75	61.5	63.75	8.30160627027485
ACTR1B	32	12	25	25	12	32	25	23.5	8.34665601703261
ACTR2	154	122	140	121	121	154	131	134.25	15.7982066492793
ACTR3	66	42	53	64	42	66	58.5	56.25	11.0867789130417
ACTR3B	1	3	2	3	1	3	2.5	2.25	0.957427107756338
ACTR3C	0	0	0	0	0	0	0	0	0
ACTR5	4	2	4	2	2	4	3	3	1.15470053837925
ACTR6	29	56	23	30	23	56	29.5	34.5	14.6628782986152
ACTR8	30	25	21	36	21	36	27.5	28	6.48074069840786
ACTRT3	1	0	1	1	0	1	1	0.75	0.5
ACVR1	71	26	38	43	26	71	40.5	44.5	19.0525588832576
ACVR1B	8	1	1	10	1	10	4.5	5	4.69041575982343
ACVR1C	1	0	0	0	0	1	0	0.25	0.5
ACVR2A	16	9	7	17	7	17	12.5	12.25	4.99165971062398
ACVR2B	13	0	1	7	0	13	4	5.25	6.02079728939615
ACVR2B-AS1	0	1	1	1	0	1	1	0.75	0.5
ACVRL1	1	0	0	0	0	1	0	0.25	0.5
ACY1	0	0	0	0	0	0	0	0	0
ACYP1	7	17	8	10	7	17	9	10.5	4.50924975282289
ACYP2	32	34	36	20	20	36	33	30.5	7.18795288428261
ADA	2	2	5	3	2	5	2.5	3	1.4142135623731
ADAL	11	6	11	3	3	11	8.5	7.75	3.947573094109
ADAM10	20	10	15	18	10	20	16.5	15.75	4.3493294502333
ADAM11	0	0	0	0	0	0	0	0	0
ADAM12	42	9	17	19	9	42	18	21.75	14.1745076340121
ADAM15	9	1	1	2	1	9	1.5	3.25	3.86221007541882
ADAM17	110	41	64	99	41	110	81.5	78.5	31.7752524249087
ADAM18	0	0	0	0	0	0	0	0	0
ADAM19	3	1	2	5	1	5	2.5	2.75	1.70782512765993
ADAM1A	2	0	0	1	0	2	0.5	0.75	0.957427107756338
ADAM20	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0
ADAM21	0	0	0	2	0	2	0	0.5	1
ADAM22	2	0	0	0	0	2	0	0.5	1
ADAM23	1	3	1	3	1	3	2	2	1.15470053837925
ADAM28	0	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0
ADAM32	1	0	0	0	0	1	0	0.25	0.5
ADAM33	1	1	1	2	1	2	1	1.25	0.5
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	1	0	0	0	0	1	0	0.25	0.5
ADAM9	73	72	78	48	48	78	72.5	67.75	13.4257215820976
ADAMTS1	69	51	51	49	49	69	51	55	9.38083151964686
ADAMTS10	1	0	0	1	0	1	0.5	0.5	0.577350269189626
ADAMTS12	14	1	2	6	1	14	4	5.75	5.90903263374528
ADAMTS13	5	2	2	0	0	5	2	2.25	2.06155281280883
ADAMTS14	1	1	0	1	0	1	1	0.75	0.5
ADAMTS15	1	1	1	0	0	1	1	0.75	0.5
ADAMTS16	0	0	1	0	0	1	0	0.25	0.5
ADAMTS17	3	0	7	3	0	7	3	3.25	2.87228132326901
ADAMTS18	0	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0
ADAMTS2	18	12	10	14	10	18	13	13.5	3.41565025531987
ADAMTS3	0	3	1	3	0	3	2	1.75	1.5
ADAMTS4	17	2	8	6	2	17	7	8.25	6.34428877022476
ADAMTS5	62	11	25	33	11	62	29	32.75	21.5154982899924
ADAMTS6	7	12	11	5	5	12	9	8.75	3.30403793359983
ADAMTS7	1	1	1	1	1	1	1	1	0
ADAMTS8	0	0	0	0	0	0	0	0	0
ADAMTS9	1	0	0	0	0	1	0	0.25	0.5
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0
ADAMTSL1	3	1	2	2	1	3	2	2	0.816496580927726
ADAMTSL2	10	1	2	2	1	10	2	3.75	4.19324854180304
ADAMTSL3	7	3	10	11	3	11	8.5	7.75	3.5939764421413
ADAMTSL4	0	0	2	0	0	2	0	0.5	1
ADAMTSL5	8	4	5	6	4	8	5.5	5.75	1.70782512765993
ADAP1	0	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0	0
ADAR	90	34	40	47	34	90	43.5	52.75	25.3952095220076
ADARB1	11	5	1	6	1	11	5.5	5.75	4.11298755975102
ADARB2	0	0	0	1	0	1	0	0.25	0.5
ADAT1	18	7	16	22	7	22	17	15.75	6.34428877022476
ADAT2	7	4	5	3	3	7	4.5	4.75	1.70782512765993
ADAT3	0	0	0	0	0	0	0	0	0
ADC	0	0	0	0	0	0	0	0	0
ADCK1	6	0	4	1	0	6	2.5	2.75	2.75378527364305
ADCK2	18	5	14	11	5	18	12.5	12	5.47722557505166
ADCK3	17	2	3	2	2	17	2.5	6	7.34846922834953
ADCK4	3	2	4	8	2	8	3.5	4.25	2.62995563967658
ADCK5	1	0	0	0	0	1	0	0.25	0.5
ADCY1	1	3	0	5	0	5	2	2.25	2.21735578260835
ADCY10	0	0	0	0	0	0	0	0	0
ADCY10P1	0	0	0	0	0	0	0	0	0
ADCY2	1	0	0	0	0	1	0	0.25	0.5
ADCY3	5	0	2	2	0	5	2	2.25	2.06155281280883
ADCY4	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0	0
ADCY6	16	8	5	13	5	16	10.5	10.5	4.93288286231625
ADCY7	12	3	4	7	3	12	5.5	6.5	4.04145188432738
ADCY8	0	0	0	0	0	0	0	0	0
ADCY9	16	5	4	13	4	16	9	9.5	5.91607978309962
ADCYAP1R1	0	0	0	0	0	0	0	0	0
ADD1	52	34	30	34	30	52	34	37.5	9.8488578017961
ADD3	163	98	92	105	92	163	101.5	114.5	32.7668531700355
ADD3-AS1	2	1	2	1	1	2	1.5	1.5	0.577350269189626
ADH1A	0	0	0	0	0	0	0	0	0
ADH1B	1	1	0	0	0	1	0.5	0.5	0.577350269189626
ADH1C	0	0	0	2	0	2	0	0.5	1
ADH4	0	0	1	0	0	1	0	0.25	0.5
ADH5	456	536	454	409	409	536	455	463.75	52.8291270670514
ADH6	0	0	0	0	0	0	0	0	0
ADHFE1	3	3	4	3	3	4	3	3.25	0.5
ADI1	46	26	29	40	26	46	34.5	35.25	9.35859676091097
ADIPOQ	6	6	1	3	1	6	4.5	4	2.44948974278318
ADIPOQ-AS1	1	1	0	0	0	1	0.5	0.5	0.577350269189626
ADIPOR1	71	59	62	58	58	71	60.5	62.5	5.91607978309962
ADIPOR2	11	8	13	7	7	13	9.5	9.75	2.75378527364305
ADIRF	15	18	12	12	12	18	13.5	14.25	2.87228132326901
ADK	97	79	80	64	64	97	79.5	80	13.490737563232
ADM	34	75	72	17	17	75	53	49.5	28.5948713350256
ADM2	24	10	11	22	10	24	16.5	16.75	7.27438428093173
ADM5	0	0	0	0	0	0	0	0	0
ADNP	44	13	19	12	12	44	16	22	14.9888847706114
ADNP2	34	2	4	31	2	34	17.5	17.75	17.0953209972788
ADO	33	6	12	11	6	33	11.5	15.5	11.9582607431014
ADORA1	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	3	2	0	2	0	3	2	1.75	1.25830573921179
ADORA2B	43	33	40	34	33	43	37	37.5	4.79583152331272
ADORA3	0	0	0	0	0	0	0	0	0
ADPGK	20	6	7	13	6	20	10	11.5	6.45497224367903
ADPGK-AS1	0	0	0	0	0	0	0	0	0
ADPRH	1	1	0	2	0	2	1	1	0.816496580927726
ADPRHL1	1	3	2	2	1	3	2	2	0.816496580927726
ADPRHL2	29	15	17	32	15	32	23	23.25	8.5
ADPRM	97	52	53	70	52	97	61.5	68	21.0237960416286
ADRA1A	3	3	2	3	2	3	3	2.75	0.5
ADRA1B	0	0	0	1	0	1	0	0.25	0.5
ADRA1D	0	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0	0
ADRA2C	8	0	6	13	0	13	7	6.75	5.37742193496723
ADRB1	0	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0	0
ADRBK1	10	8	11	12	8	12	10.5	10.25	1.70782512765993
ADRBK2	15	5	14	4	4	15	9.5	9.5	5.8022983951764
ADRM1	47	32	27	37	27	47	34.5	35.75	8.53912563829967
ADSL	114	112	89	93	89	114	102.5	102	12.8322510366134
ADSS	57	32	37	47	32	57	42	43.25	11.0867789130417
ADSSL1	2	0	3	4	0	4	2.5	2.25	1.70782512765993
ADTRP	2	2	1	3	1	3	2	2	0.816496580927726
AEBP1	123	52	75	84	52	123	79.5	83.5	29.5803989154981
AEBP2	40	21	33	38	21	40	35.5	33	8.52447456836295
AEN	71	44	35	54	35	71	49	51	15.4272486205415
AES	25	19	20	13	13	25	19.5	19.25	4.92442890089805
AFAP1	92	48	59	53	48	92	56	63	19.8494332412792
AFAP1-AS1	0	0	0	0	0	0	0	0	0
AFAP1L1	13	4	9	8	4	13	8.5	8.5	3.69684550213647
AFAP1L2	0	2	0	1	0	2	0.5	0.75	0.957427107756338
AFF1	41	18	24	34	18	41	29	29.25	10.2428837085396
AFF2	6	10	1	3	1	10	4.5	5	3.91578004149024
AFF3	6	5	4	3	3	6	4.5	4.5	1.29099444873581
AFF4	132	19	56	98	19	132	77	76.25	49.2231314187412
AFG3L1P	6	1	0	0	0	6	0.5	1.75	2.87228132326901
AFG3L2	120	67	84	88	67	120	86	89.75	22.1265300789196
AFMID	16	17	17	18	16	18	17	17	0.816496580927726
AFP	6	5	5	9	5	9	5.5	6.25	1.89296944860009
AFTPH	89	15	24	43	15	89	33.5	42.75	32.968419232148
AGA	34	59	50	51	34	59	50.5	48.5	10.4721853816033
AGAP1	39	11	8	25	8	39	18	20.75	14.2448821218944
AGAP11	1	0	0	0	0	1	0	0.25	0.5
AGAP2	0	0	0	0	0	0	0	0	0
AGAP2-AS1	3	0	1	2	0	3	1.5	1.5	1.29099444873581
AGAP3	35	8	12	18	8	35	15	18.25	11.8988794990677
AGAP5	1	0	0	0	0	1	0	0.25	0.5
AGAP6	0	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0	0
AGBL2	1	0	0	1	0	1	0.5	0.5	0.577350269189626
AGBL3	0	1	0	0	0	1	0	0.25	0.5
AGBL4	0	0	0	0	0	0	0	0	0
AGBL5	13	4	7	5	4	13	6	7.25	4.03112887414927
AGER	0	0	0	1	0	1	0	0.25	0.5
AGFG1	52	22	38	37	22	52	37.5	37.25	12.2576506721313
AGFG2	1	1	0	0	0	1	0.5	0.5	0.577350269189626
AGGF1	26	10	13	25	10	26	19	18.5	8.18535277187245
AGK	14	14	8	25	8	25	14	15.25	7.08872343937891
AGL	10	5	10	9	5	10	9.5	8.5	2.38047614284762
AGMAT	4	1	3	3	1	4	3	2.75	1.25830573921179
AGMO	2	0	0	2	0	2	1	1	1.15470053837925
AGO1	11	4	6	6	4	11	6	6.75	2.98607881119482
AGO2	18	3	3	7	3	18	5	7.75	7.08872343937891
AGO3	13	4	7	9	4	13	8	8.25	3.77491721763537
AGO4	18	3	5	2	2	18	4	7	7.43863786814047
AGPAT1	46	20	28	27	20	46	27.5	30.25	11.0867789130417
AGPAT2	8	4	3	9	3	9	6	6	2.94392028877595
AGPAT3	9	2	1	2	1	9	2	3.5	3.69684550213647
AGPAT4	12	7	6	13	6	13	9.5	9.5	3.51188458428425
AGPAT4-IT1	1	0	1	0	0	1	0.5	0.5	0.577350269189626
AGPAT5	15	5	11	14	5	15	12.5	11.25	4.5
AGPAT6	18	2	4	6	2	18	5	7.5	7.18795288428261
AGPAT9	2	0	1	4	0	4	1.5	1.75	1.70782512765993
AGPS	39	27	19	23	19	39	25	27	8.64098759787715
AGRN	1	2	1	1	1	2	1	1.25	0.5
AGRP	0	0	0	0	0	0	0	0	0
AGT	16	23	21	25	16	25	22	21.25	3.86221007541882
AGTPBP1	4	7	16	11	4	16	9	9.5	5.19615242270663
AGTR1	0	2	0	0	0	2	0	0.5	1
AGTRAP	77	76	55	54	54	77	65.5	65.5	12.7148207485071
AHCTF1	30	6	16	13	6	30	14.5	16.25	10.0788557551606
AHCTF1P1	0	0	0	0	0	0	0	0	0
AHCY	75	65	74	64	64	75	69.5	69.5	5.8022983951764
AHCYL1	135	73	127	74	73	135	100.5	102.25	33.360405672993
AHCYL2	12	6	2	5	2	12	5.5	6.25	4.19324854180304
AHDC1	6	2	1	3	1	6	2.5	3	2.16024689946929
AHI1	129	64	74	111	64	129	92.5	94.5	30.6213433191078
AHNAK	274	99	128	202	99	274	165	175.75	78.5551823030579
AHNAK2	41	16	11	21	11	41	18.5	22.25	13.1497781983829
AHR	168	69	86	91	69	168	88.5	103.5	44.0189353195493
AHRR	3	3	1	1	1	3	2	2	1.15470053837925
AHSA1	62	31	40	73	31	73	51	51.5	19.3649167310371
AHSA2	19	4	3	21	3	21	11.5	11.75	9.56991814663706
AHSG	0	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0	0
AICDA	7	2	2	2	2	7	2	3.25	2.5
AIDA	108	55	60	56	55	108	58	69.75	25.5913396809676
AIF1	0	3	0	0	0	3	0	0.75	1.5
AIF1L	0	0	0	0	0	0	0	0	0
AIFM1	44	25	36	37	25	44	36.5	35.5	7.85281265959316
AIFM2	16	12	12	21	12	21	14	15.25	4.27200187265877
AIFM3	0	0	0	0	0	0	0	0	0
AIG1	48	63	51	69	48	69	57	57.75	9.9121138007995
AIM1	9	2	1	5	1	9	3.5	4.25	3.5939764421413
AIM1L	0	0	0	0	0	0	0	0	0
AIM2	1	0	0	0	0	1	0	0.25	0.5
AIMP1	240	234	194	198	194	240	216	216.5	23.8537208837531
AIMP2	0	0	1	0	0	1	0	0.25	0.5
AIP	17	13	13	9	9	17	13	13	3.2659863237109
AIPL1	18	5	6	8	5	18	7	9.25	5.96517672272443
AIRE	1	0	0	0	0	1	0	0.25	0.5
AIRN	0	0	0	0	0	0	0	0	0
AJUBA	10	2	3	3	2	10	3	4.5	3.69684550213647
AK1	32	20	26	16	16	32	23	23.5	7
AK2	86	107	91	79	79	107	88.5	90.75	11.8988794990677
AK3	62	40	37	48	37	62	44	46.75	11.1766124861993
AK4	81	24	40	58	24	81	49	50.75	24.4863907780084
AK5	11	3	8	5	3	11	6.5	6.75	3.5
AK8	0	0	2	1	0	2	0.5	0.75	0.957427107756338
AK9	43	22	24	50	22	50	33.5	34.75	13.8894444333338
AKAP1	9	5	7	8	5	9	7.5	7.25	1.70782512765993
AKAP10	34	10	8	21	8	34	15.5	18.25	11.9547758936195
AKAP11	46	18	23	25	18	46	24	28	12.3558353285671
AKAP12	166	49	52	150	49	166	101	104.25	62.419948734359
AKAP13	131	41	46	93	41	131	69.5	77.75	42.5313609783024
AKAP14	0	0	0	1	0	1	0	0.25	0.5
AKAP17A	69	13	23	50	13	69	36.5	38.75	25.5130685466619
AKAP2	0	0	0	1	0	1	0	0.25	0.5
AKAP3	2	0	0	0	0	2	0	0.5	1
AKAP5	9	2	8	9	2	9	8.5	7	3.36650164612069
AKAP6	3	1	2	2	1	3	2	2	0.816496580927726
AKAP7	1	1	3	1	1	3	1	1.5	1
AKAP8	20	18	13	18	13	20	18	17.25	2.98607881119482
AKAP8L	10	17	24	13	10	24	15	16	6.05530070819498
AKAP9	308	123	191	238	123	308	214.5	215	77.9273165627219
AKIP1	26	17	16	21	16	26	19	20	4.54606056566195
AKIRIN1	45	15	22	22	15	45	22	26	13.0894359440479
AKIRIN2	30	12	17	17	12	30	17	19	7.7028133388609
AKNA	18	4	4	17	4	18	10.5	10.75	7.8049129826454
