Gene	SUN+URS.A.6.19.1.D9	SUN+URS.A.6.20.1.D10	SUN+URS.A.6.21.1.D11	Min	Max	Median	Mean	Std
ABI3BP	99	68	105	68	105	99	90.6666666666667	19.8578280114753
ABL1	25	9	17	9	25	17	17	8
ABL2	30	15	19	15	30	19	21.3333333333333	7.76745346515403
ABLIM1	147	70	140	70	147	140	119	42.5793377120875
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	21	19	15	15	21	19	18.3333333333333	3.05505046330389
ABR	12	2	9	2	12	9	7.66666666666667	5.13160143944688
ABRA	0	0	0	0	0	0	0	0
ABRACL	77	29	50	29	77	50	52	24.0624188310319
ABT1	28	16	22	16	28	22	22	6
ABTB1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABTB2	2	1	0	0	2	1	1	1
ACAA1	4	3	9	3	9	4	5.33333333333333	3.21455025366432
ACAA2	128	63	111	63	128	111	100.666666666667	33.7095436535906
ACACA	7	7	11	7	11	7	8.33333333333333	2.3094010767585
ACACB	2	2	5	2	5	2	3	1.73205080756888
ACAD10	4	4	6	4	6	4	4.66666666666667	1.15470053837925
ACAD11	0	0	0	0	0	0	0	0
ACAD8	13	4	9	4	13	9	8.66666666666667	4.50924975282289
ACAD9	9	7	5	5	9	7	7	2
ACADL	5	0	4	0	5	4	3	2.64575131106459
ACADM	94	33	94	33	94	94	73.6666666666667	35.2183664205672
ACADS	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACADSB	14	12	15	12	15	14	13.6666666666667	1.52752523165195
ACADVL	39	23	32	23	39	32	31.3333333333333	8.02080627701064
ACAN	0	0	0	0	0	0	0	0
ACAP1	8	4	6	4	8	6	6	2
ACAP2	85	38	75	38	85	75	66	24.7588368062799
ACAP3	2	0	1	0	2	1	1	1
ACAT1	145	64	143	64	145	143	117.333333333333	46.1988455844227
ACAT2	9	3	6	3	9	6	6	3
ACBD3	58	34	62	34	62	58	51.3333333333333	15.1437555888007
ACBD4	6	0	1	0	6	1	2.33333333333333	3.21455025366432
ACBD5	33	19	27	19	33	27	26.3333333333333	7.02376916856849
ACBD6	25	11	32	11	32	25	22.6666666666667	10.6926766215636
ACBD7	6	4	3	3	6	4	4.33333333333333	1.52752523165195
ACCS	0	1	2	0	2	1	1	1
ACD	4	1	5	1	5	4	3.33333333333333	2.08166599946613
ACE	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0
ACER3	4	5	5	4	5	5	4.66666666666667	0.577350269189626
ACIN1	140	47	80	47	140	80	89	47.1487009365051
ACLY	47	34	58	34	58	47	46.3333333333333	12.0138808606267
ACMSD	0	0	0	0	0	0	0	0
ACN9	77	38	45	38	77	45	53.3333333333333	20.7926268983343
ACO1	35	14	28	14	35	28	25.6666666666667	10.6926766215636
ACO2	9	3	8	3	9	8	6.66666666666667	3.21455025366432
ACOT1	0	0	0	0	0	0	0	0
ACOT11	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACOT13	148	68	134	68	148	134	116.666666666667	42.7239199200323
ACOT2	6	2	5	2	6	5	4.33333333333333	2.08166599946613
ACOT4	0	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0	0
ACOT7	14	6	17	6	17	14	12.3333333333333	5.68624070307733
ACOT8	11	8	10	8	11	10	9.66666666666667	1.52752523165195
ACOT9	104	40	83	40	104	83	75.6666666666667	32.6241219549789
ACOX1	66	26	39	26	66	39	43.6666666666667	20.4042479237372
ACOX2	14	3	14	3	14	14	10.3333333333333	6.35085296108588
ACOX3	19	3	10	3	19	10	10.6666666666667	8.02080627701064
ACOXL	0	0	0	0	0	0	0	0
ACP1	567	256	498	256	567	498	440.333333333333	163.322788775276
ACP2	12	6	10	6	12	10	9.33333333333333	3.05505046330389
ACP5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACP6	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ACPL2	7	2	7	2	7	7	5.33333333333333	2.88675134594813
ACPP	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACRBP	0	0	0	0	0	0	0	0
ACRC	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	2	0	1	0	2	1	1	1
ACSF2	14	6	12	6	14	12	10.6666666666667	4.16333199893227
ACSF3	1	2	0	0	2	1	1	1
ACSL1	44	19	39	19	44	39	34	13.228756555323
ACSL3	55	26	54	26	55	54	45	16.4620776331543
ACSL4	45	25	51	25	51	45	40.3333333333333	13.6137185711081
ACSL5	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACSL6	16	13	11	11	16	13	13.3333333333333	2.51661147842358
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACSM5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSS1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACSS2	4	1	7	1	7	4	4	3
ACSS3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTA2	9803	4238	8831	4238	9803	8831	7624	2972.36320122558
ACTB	2480	1218	2351	1218	2480	2351	2016.33333333333	694.379099147817
ACTBL2	0	0	0	0	0	0	0	0
ACTC1	2	0	1	0	2	1	1	1
ACTG1	6461	2889	5627	2889	6461	5627	4992.33333333333	1868.66190985243
ACTG1P4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTG2	1	4	4	1	4	4	3	1.73205080756888
ACTL10	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	100	38	77	38	100	77	71.6666666666667	31.3421973277773
ACTL8	0	0	0	0	0	0	0	0
ACTN1	304	172	258	172	304	258	244.666666666667	67.0024875160119
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTN4	113	53	146	53	146	113	104	47.1487009365051
ACTR10	245	129	220	129	245	220	198	61.0491605183888
ACTR1A	129	67	110	67	129	110	102	31.7647603485372
ACTR1B	24	13	26	13	26	24	21	7
ACTR2	220	114	156	114	220	156	163.333333333333	53.3791469895626
ACTR3	101	54	120	54	120	101	91.6666666666667	33.9754813554324
ACTR3B	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ACTR3C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTR5	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACTR6	50	28	49	28	50	49	42.3333333333333	12.4230967690561
ACTR8	28	9	13	9	28	13	16.6666666666667	10.0166528008778
ACTRT3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACVR1	24	26	40	24	40	26	30	8.71779788708135
ACVR1B	7	5	2	2	7	5	4.66666666666667	2.51661147842358
ACVR1C	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACVR2A	54	17	40	17	54	40	37	18.6815416922694
ACVR2B	5	2	2	2	5	2	3	1.73205080756888
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
ACY1	0	0	0	0	0	0	0	0
ACYP1	15	1	7	1	15	7	7.66666666666667	7.02376916856849
ACYP2	44	17	41	17	44	41	34	14.7986485869487
ADA	1	3	1	1	3	1	1.66666666666667	1.15470053837925
ADAL	12	7	20	7	20	12	13	6.557438524302
ADAM10	47	29	37	29	47	37	37.6666666666667	9.01849950564579
ADAM11	0	0	0	0	0	0	0	0
ADAM12	38	24	41	24	41	38	34.3333333333333	9.07377172587747
ADAM15	1	2	0	0	2	1	1	1
ADAM17	40	15	43	15	43	40	32.6666666666667	15.3731367434669
ADAM18	0	0	0	0	0	0	0	0
ADAM19	10	7	8	7	10	8	8.33333333333333	1.52752523165195
ADAM1A	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0	0	0
ADAM22	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAM23	1	2	3	1	3	2	2	1
ADAM28	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	1	1	1	1	1	1	1	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	152	68	133	68	152	133	117.666666666667	44.0492149003059
ADAMTS1	62	39	39	39	62	39	46.6666666666667	13.2790561913614
ADAMTS10	1	1	1	1	1	1	1	0
ADAMTS12	27	19	22	19	27	22	22.6666666666667	4.04145188432738
ADAMTS13	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS17	8	2	4	2	8	4	4.66666666666667	3.05505046330389
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	46	22	25	22	46	25	31	13.076696830622
ADAMTS3	1	1	1	1	1	1	1	0
ADAMTS4	10	8	7	7	10	8	8.33333333333333	1.52752523165195
ADAMTS5	58	40	46	40	58	46	48	9.16515138991168
ADAMTS6	13	4	14	4	14	13	10.3333333333333	5.5075705472861
ADAMTS7	6	1	0	0	6	1	2.33333333333333	3.21455025366432
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	7	2	0	0	7	2	3	3.60555127546399
ADAMTSL2	3	5	0	0	5	3	2.66666666666667	2.51661147842358
ADAMTSL3	12	8	6	6	12	8	8.66666666666667	3.05505046330389
ADAMTSL4	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADAMTSL5	6	1	5	1	6	5	4	2.64575131106459
ADAP1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAP2	0	0	0	0	0	0	0	0
ADAR	50	23	49	23	50	49	40.6666666666667	15.3079500042734
ADARB1	6	2	7	2	7	6	5	2.64575131106459
ADARB2	0	0	0	0	0	0	0	0
ADAT1	22	16	19	16	22	19	19	3
ADAT2	5	1	5	1	5	5	3.66666666666667	2.3094010767585
ADAT3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADC	1	1	1	1	1	1	1	0
ADCK1	1	3	3	1	3	3	2.33333333333333	1.15470053837925
ADCK2	7	2	4	2	7	4	4.33333333333333	2.51661147842358
ADCK3	0	5	2	0	5	2	2.33333333333333	2.51661147842358
ADCK4	5	1	1	1	5	1	2.33333333333333	2.3094010767585
ADCK5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	1	3	2	1	3	2	2	1
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADCY2	0	0	0	0	0	0	0	0
ADCY3	7	1	1	1	7	1	3	3.46410161513775
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0
ADCY6	20	12	14	12	20	14	15.3333333333333	4.16333199893227
ADCY7	36	15	30	15	36	30	27	10.816653826392
ADCY8	0	0	0	0	0	0	0	0
ADCY9	10	4	4	4	10	4	6	3.46410161513775
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	71	31	38	31	71	38	46.6666666666667	21.3619599600162
ADD3	222	124	196	124	222	196	180.666666666667	50.7674436359891
ADD3-AS1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADH1A	0	0	0	0	0	0	0	0
ADH1B	3	1	3	1	3	3	2.33333333333333	1.15470053837925
ADH1C	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0
ADH5	478	168	403	168	478	403	349.666666666667	161.735380586108
ADH6	0	0	0	0	0	0	0	0
ADHFE1	8	2	3	2	8	3	4.33333333333333	3.21455025366432
ADI1	35	22	37	22	37	35	31.3333333333333	8.14452781524708
ADIPOQ	10	5	7	5	10	7	7.33333333333333	2.51661147842358
ADIPOQ-AS1	0	1	4	0	4	1	1.66666666666667	2.08166599946613
ADIPOR1	81	42	82	42	82	81	68.3333333333333	22.8108161479008
ADIPOR2	9	7	14	7	14	9	10	3.60555127546399
ADIRF	25	5	24	5	25	24	18	11.2694276695846
ADK	52	28	77	28	77	52	52.3333333333333	24.5017006212494
ADM	57	22	49	22	57	49	42.6666666666667	18.3393929379719
ADM2	6	5	5	5	6	5	5.33333333333333	0.577350269189626
ADM5	0	0	0	0	0	0	0	0
ADNP	21	14	10	10	21	14	15	5.56776436283002
ADNP2	17	10	13	10	17	13	13.3333333333333	3.51188458428425
ADO	20	5	10	5	20	10	11.6666666666667	7.63762615825973
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ADORA2B	19	6	20	6	20	19	15	7.81024967590665
ADORA3	0	0	0	0	0	0	0	0
ADPGK	17	13	17	13	17	17	15.6666666666667	2.3094010767585
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADPRHL1	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ADPRHL2	12	10	13	10	13	12	11.6666666666667	1.52752523165195
ADPRM	40	20	41	20	41	40	33.6666666666667	11.8462370959446
ADRA1A	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	6	1	6	1	6	6	4.33333333333333	2.88675134594813
ADRB1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	16	6	11	6	16	11	11	5
ADRBK2	7	7	4	4	7	7	6	1.73205080756888
ADRM1	60	16	55	16	60	55	43.6666666666667	24.0901086202062
ADSL	157	76	145	76	157	145	126	43.7149859887888
ADSS	35	20	30	20	35	30	28.3333333333333	7.63762615825973
ADSSL1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ADTRP	7	0	2	0	7	2	3	3.60555127546399
AEBP1	103	57	85	57	103	85	81.6666666666667	23.1804515342849
AEBP2	23	11	17	11	23	17	17	6
AEN	44	27	28	27	44	28	33	9.53939201416946
AES	31	19	32	19	32	31	27.3333333333333	7.23417813807024
AFAP1	79	43	75	43	79	75	65.6666666666667	19.731531449265
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	23	11	19	11	23	19	17.6666666666667	6.11010092660779
AFF2	0	3	1	0	3	1	1.33333333333333	1.52752523165195
AFF3	8	3	1	1	8	3	4	3.60555127546399
AFF4	58	29	59	29	59	58	48.6666666666667	17.0391705588427
AFG3L1P	4	5	0	0	5	4	3	2.64575131106459
AFG3L2	62	50	53	50	62	53	55	6.2449979983984
AFMID	57	23	38	23	57	38	39.3333333333333	17.0391705588427
AFP	4	1	7	1	7	4	4	3
AFTPH	28	16	18	16	28	18	20.6666666666667	6.42910050732864
AGA	100	51	89	51	100	89	80	25.7099202643649
AGAP1	28	20	19	19	28	20	22.3333333333333	4.93288286231625
AGAP11	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	2	0	1	0	2	1	1	1
AGAP3	2	2	11	2	11	2	5	5.19615242270663
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0
AGBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	0	0	0	0	0	0	0
AGBL4	0	0	0	0	0	0	0	0
AGBL5	14	3	8	3	14	8	8.33333333333333	5.5075705472861
AGER	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGFG1	35	14	41	14	41	35	30	14.1774468787578
AGFG2	0	0	0	0	0	0	0	0
AGGF1	15	15	13	13	15	15	14.3333333333333	1.15470053837925
AGK	22	15	16	15	22	16	17.6666666666667	3.78593889720018
AGL	8	7	16	7	16	8	10.3333333333333	4.93288286231625
AGMAT	7	2	6	2	7	6	5	2.64575131106459
AGMO	2	2	1	1	2	2	1.66666666666667	0.577350269189626
AGO1	25	8	20	8	25	20	17.6666666666667	8.7368949480541
AGO2	3	4	3	3	4	3	3.33333333333333	0.577350269189626
AGO3	3	0	4	0	4	3	2.33333333333333	2.08166599946613
AGO4	6	5	11	5	11	6	7.33333333333333	3.21455025366432
AGPAT1	48	32	41	32	48	41	40.3333333333333	8.02080627701064
AGPAT2	8	5	9	5	9	8	7.33333333333333	2.08166599946613
AGPAT3	10	9	7	7	10	9	8.66666666666667	1.52752523165195
AGPAT4	9	1	3	1	9	3	4.33333333333333	4.16333199893227
AGPAT4-IT1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
AGPAT5	30	18	25	18	30	25	24.3333333333333	6.02771377334171
AGPAT6	13	7	9	7	13	9	9.66666666666667	3.05505046330389
AGPAT9	2	0	2	0	2	2	1.33333333333333	1.15470053837925
AGPS	56	28	55	28	56	55	46.3333333333333	15.8850034099251
AGRN	3	0	2	0	3	2	1.66666666666667	1.52752523165195
AGRP	0	0	0	0	0	0	0	0
AGT	29	17	23	17	29	23	23	6
AGTPBP1	5	0	7	0	7	5	4	3.60555127546399
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	99	38	95	38	99	95	77.3333333333333	34.1223289552946
AHCTF1	6	3	10	3	10	6	6.33333333333333	3.51188458428425
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	141	68	93	68	141	93	100.666666666667	37.0989667421255
AHCYL1	69	45	64	45	69	64	59.3333333333333	12.6622799421484
AHCYL2	2	7	5	2	7	5	4.66666666666667	2.51661147842358
AHDC1	7	1	4	1	7	4	4	3
AHI1	48	23	37	23	48	37	36	12.5299640861417
AHNAK	340	258	249	249	340	258	282.333333333333	50.1431284757277
AHNAK2	24	13	16	13	24	16	17.6666666666667	5.68624070307733
AHR	78	40	55	40	78	55	57.6666666666667	19.1398362932741
AHRR	4	1	3	1	4	3	2.66666666666667	1.52752523165195
AHSA1	36	18	30	18	36	30	28	9.16515138991168
AHSA2	5	4	15	4	15	5	8	6.08276253029822
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	3	1	0	0	3	1	1.33333333333333	1.52752523165195
AIDA	45	25	51	25	51	45	40.3333333333333	13.6137185711081
AIF1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AIF1L	0	0	0	0	0	0	0	0
AIFM1	24	16	32	16	32	24	24	8
AIFM2	7	7	7	7	7	7	7	0
AIFM3	0	0	0	0	0	0	0	0
AIG1	80	32	69	32	80	69	60.3333333333333	25.1462389500564
AIM1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AIM1L	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIM2	0	0	0	0	0	0	0	0
AIMP1	162	70	158	70	162	158	130	52
AIMP2	1	2	0	0	2	1	1	1
AIP	20	5	21	5	21	20	15.3333333333333	8.9628864398325
AIPL1	8	3	9	3	9	8	6.66666666666667	3.21455025366432
AIRE	0	0	0	0	0	0	0	0
AIRN	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AJUBA	20	5	16	5	20	16	13.6666666666667	7.76745346515403
AK1	65	28	64	28	65	64	52.3333333333333	21.0792156716832
AK2	137	58	125	58	137	125	106.666666666667	42.5715084690845
AK3	67	44	66	44	67	66	59	13
AK4	136	91	122	91	136	122	116.333333333333	23.0289672658878
AK5	2	1	4	1	4	2	2.33333333333333	1.52752523165195
AK8	3	1	1	1	3	1	1.66666666666667	1.15470053837925
AK9	17	10	23	10	23	17	16.6666666666667	6.50640709864771
AKAP1	6	1	4	1	6	4	3.66666666666667	2.51661147842358
AKAP10	12	5	13	5	13	12	10	4.35889894354067
AKAP11	33	21	39	21	39	33	31	9.16515138991168
AKAP12	71	31	62	31	71	62	54.6666666666667	20.9841209807162
AKAP13	50	20	50	20	50	50	40	17.3205080756888
AKAP14	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AKAP17A	14	14	9	9	14	14	12.3333333333333	2.88675134594813
AKAP2	2	1	0	0	2	1	1	1
AKAP3	0	0	0	0	0	0	0	0
AKAP5	9	8	6	6	9	8	7.66666666666667	1.52752523165195
AKAP6	7	2	2	2	7	2	3.66666666666667	2.88675134594813
AKAP7	4	1	5	1	5	4	3.33333333333333	2.08166599946613
AKAP8	19	11	15	11	19	15	15	4
AKAP8L	3	6	9	3	9	6	6	3
AKAP9	177	120	150	120	177	150	149	28.5131548587665
AKIP1	36	14	23	14	36	23	24.3333333333333	11.060440015358
AKIRIN1	31	12	24	12	31	24	22.3333333333333	9.60902353693305
AKIRIN2	13	8	9	8	13	9	10	2.64575131106459
AKNA	5	3	8	3	8	5	5.33333333333333	2.51661147842358
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	225	93	211	93	225	211	176.333333333333	72.5074708794434
AKR1B1	197	98	173	98	197	173	156	51.6430053347014
AKR1B10	10	1	2	1	10	2	4.33333333333333	4.93288286231625
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	29	9	21	9	29	21	19.6666666666667	10.0664459136943
AKR1C2	10	4	17	4	17	10	10.3333333333333	6.50640709864771
AKR1C3	260	114	228	114	260	228	200.666666666667	76.7419919817914
AKR1C6P	0	0	0	0	0	0	0	0
AKR1D1	6	5	0	0	6	5	3.66666666666667	3.21455025366432
AKR1E2	4	1	1	1	4	1	2	1.73205080756888
AKR7A2	162	65	129	65	162	129	118.666666666667	49.3186915208963
AKR7A2P1	0	0	0	0	0	0	0	0
