Gene	TRS+URS.A.2.8.1.A3	TRS+URS.A.3.8.1.A7	TRS+URS.A.4.6.1.B1	Min	Max	Median	Mean	Std
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCA3	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ABCA4	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ABCA5	11	18	14	11	18	14	14.3333333333333	3.51188458428425
ABCA6	38	33	35	33	38	35	35.3333333333333	2.51661147842358
ABCA7	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA8	59	61	47	47	61	59	55.6666666666667	7.57187779440036
ABCA9	78	60	43	43	78	60	60.3333333333333	17.5023807904334
ABCB1	0	0	0	0	0	0	0	0
ABCB10	4	14	14	4	14	14	10.6666666666667	5.77350269189626
ABCB5	9	16	8	8	16	9	11	4.35889894354067
ABCB6	20	24	13	13	24	20	19	5.56776436283002
ABCB7	18	16	20	16	20	18	18	2
ABCB8	1	4	3	1	4	3	2.66666666666667	1.52752523165195
ABCB9	1	0	2	0	2	1	1	1
ABCC1	24	39	28	24	39	28	30.3333333333333	7.76745346515403
ABCC10	8	13	7	7	13	8	9.33333333333333	3.21455025366432
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	3	5	1	1	5	3	3	2
ABCC2	0	0	0	0	0	0	0	0
ABCC3	4	2	4	2	4	4	3.33333333333333	1.15470053837925
ABCC4	8	13	15	8	15	13	12	3.60555127546399
ABCC5	10	20	12	10	20	12	14	5.29150262212918
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	5	2	3	2	5	3	3.33333333333333	1.52752523165195
ABCD1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ABCD2	0	0	0	0	0	0	0	0
ABCD3	21	53	38	21	53	38	37.3333333333333	16.0104132780304
ABCD4	10	27	14	10	27	14	17	8.88819441731559
ABCE1	81	97	64	64	97	81	80.6666666666667	16.5025250593154
ABCF1	78	77	108	77	108	78	87.6666666666667	17.6162803489651
ABCF2	46	37	52	37	52	46	45	7.54983443527075
ABCF3	12	10	19	10	19	12	13.6666666666667	4.72581562625261
ABCG1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	27	30	17	17	30	27	24.6666666666667	6.80685928555405
ABHD11	7	13	11	7	13	11	10.3333333333333	3.05505046330389
ABHD12	2	4	5	2	5	4	3.66666666666667	1.52752523165195
ABHD12B	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ABHD13	4	20	18	4	20	18	14	8.71779788708135
ABHD14A	4	2	8	2	8	4	4.66666666666667	3.05505046330389
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	13	18	22	13	22	18	17.6666666666667	4.50924975282289
ABHD15	10	15	13	10	15	13	12.6666666666667	2.51661147842358
ABHD16A	15	21	11	11	21	15	15.6666666666667	5.03322295684717
ABHD16B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABHD17A	6	5	9	5	9	6	6.66666666666667	2.08166599946613
ABHD17B	9	7	4	4	9	7	6.66666666666667	2.51661147842358
ABHD17C	9	7	11	7	11	9	9	2
ABHD2	21	24	17	17	24	21	20.6666666666667	3.51188458428425
ABHD3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABHD4	74	110	63	63	110	74	82.3333333333333	24.5831920899897
ABHD5	26	23	22	22	26	23	23.6666666666667	2.08166599946613
ABHD6	2	10	3	2	10	3	5	4.35889894354067
ABHD8	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ABI1	40	56	54	40	56	54	50	8.71779788708135
ABI2	42	56	44	42	56	44	47.3333333333333	7.57187779440036
ABI3BP	40	96	80	40	96	80	72	28.8444102037119
ABL1	17	23	16	16	23	17	18.6666666666667	3.78593889720018
ABL2	31	54	24	24	54	31	36.3333333333333	15.6950098226581
ABLIM1	124	137	110	110	137	124	123.666666666667	13.5030860670194
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	18	11	16	11	18	16	15	3.60555127546399
ABR	7	8	10	7	10	8	8.33333333333333	1.52752523165195
ABRA	0	0	0	0	0	0	0	0
ABRACL	44	26	39	26	44	39	36.3333333333333	9.29157324317757
ABT1	14	10	9	9	14	10	11	2.64575131106459
ABTB1	0	2	1	0	2	1	1	1
ABTB2	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ACAA1	10	13	8	8	13	10	10.3333333333333	2.51661147842358
ACAA2	73	72	90	72	90	73	78.3333333333333	10.1159939369957
ACACA	7	16	11	7	16	11	11.3333333333333	4.50924975282289
ACACB	5	2	1	1	5	2	2.66666666666667	2.08166599946613
ACAD10	7	5	4	4	7	5	5.33333333333333	1.52752523165195
ACAD11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACAD8	9	14	14	9	14	14	12.3333333333333	2.88675134594813
ACAD9	13	10	9	9	13	10	10.6666666666667	2.08166599946613
ACADL	2	4	1	1	4	2	2.33333333333333	1.52752523165195
ACADM	58	51	61	51	61	58	56.6666666666667	5.13160143944688
ACADS	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACADSB	4	13	18	4	18	13	11.6666666666667	7.09459888459759
ACADVL	27	42	45	27	45	42	38	9.64365076099295
ACAN	0	0	0	0	0	0	0	0
ACAP1	1	2	5	1	5	2	2.66666666666667	2.08166599946613
ACAP2	87	118	69	69	118	87	91.3333333333333	24.7857485933617
ACAP3	1	1	1	1	1	1	1	0
ACAT1	80	88	107	80	107	88	91.6666666666667	13.8684293751431
ACAT2	2	1	7	1	7	2	3.33333333333333	3.21455025366432
ACBD3	42	57	55	42	57	55	51.3333333333333	8.14452781524708
ACBD4	5	3	3	3	5	3	3.66666666666667	1.15470053837925
ACBD5	31	39	25	25	39	31	31.6666666666667	7.02376916856849
ACBD6	12	27	25	12	27	25	21.3333333333333	8.14452781524708
ACBD7	8	9	5	5	9	8	7.33333333333333	2.08166599946613
ACCS	2	1	0	0	2	1	1	1
ACD	3	7	1	1	7	3	3.66666666666667	3.05505046330389
ACE	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0
ACER2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ACER3	2	6	0	0	6	2	2.66666666666667	3.05505046330389
ACIN1	87	94	77	77	94	87	86	8.54400374531753
ACLY	41	59	48	41	59	48	49.3333333333333	9.07377172587747
ACMSD	0	0	0	0	0	0	0	0
ACN9	39	30	40	30	40	39	36.3333333333333	5.5075705472861
ACO1	22	25	23	22	25	23	23.3333333333333	1.52752523165195
ACO2	3	9	9	3	9	9	7	3.46410161513775
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	113	101	116	101	116	113	110	7.93725393319377
ACOT2	6	2	3	2	6	3	3.66666666666667	2.08166599946613
ACOT4	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACOT6	0	0	0	0	0	0	0	0
ACOT7	10	14	6	6	14	10	10	4
ACOT8	4	9	13	4	13	9	8.66666666666667	4.50924975282289
ACOT9	47	42	73	42	73	47	54	16.6433169770932
ACOX1	40	62	52	40	62	52	51.3333333333333	11.0151410945722
ACOX2	11	7	7	7	11	7	8.33333333333333	2.3094010767585
ACOX3	15	14	16	14	16	15	15	1
ACOXL	0	0	0	0	0	0	0	0
ACP1	271	231	339	231	339	271	280.333333333333	54.6015872785154
ACP2	2	7	8	2	8	7	5.66666666666667	3.21455025366432
ACP5	0	0	0	0	0	0	0	0
ACP6	2	0	2	0	2	2	1.33333333333333	1.15470053837925
ACPL2	3	7	6	3	7	6	5.33333333333333	2.08166599946613
ACPP	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACRBP	0	0	0	0	0	0	0	0
ACRC	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACSBG2	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACSF2	6	9	8	6	9	8	7.66666666666667	1.52752523165195
ACSF3	2	3	2	2	3	2	2.33333333333333	0.577350269189626
ACSL1	40	73	37	37	73	40	50	19.9749843554382
ACSL3	24	41	33	24	41	33	32.6666666666667	8.50490054811538
ACSL4	41	33	39	33	41	39	37.6666666666667	4.16333199893227
ACSL5	0	0	0	0	0	0	0	0
ACSL6	8	28	22	8	28	22	19.3333333333333	10.2632028788938
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSM5	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACSS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSS2	15	10	7	7	15	10	10.6666666666667	4.04145188432738
ACSS3	0	4	1	0	4	1	1.66666666666667	2.08166599946613
ACTA2	6410	5353	8505	5353	8505	6410	6756	1604.23283846205
ACTB	1983	2273	2835	1983	2835	2273	2363.66666666667	433.1758688262
ACTBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTC1	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ACTG1	4240	4129	5622	4129	5622	4240	4663.66666666667	831.794646131684
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	5	3	6	3	6	5	4.66666666666667	1.52752523165195
ACTL10	2	0	1	0	2	1	1	1
ACTL6A	44	48	65	44	65	48	52.3333333333333	11.1504857891185
ACTL8	0	0	0	0	0	0	0	0
ACTN1	240	340	315	240	340	315	298.333333333333	52.0416499866533
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	69	47	67	47	69	67	61	12.1655250605964
ACTR10	156	141	145	141	156	145	147.333333333333	7.76745346515403
ACTR1A	74	82	88	74	88	82	81.3333333333333	7.02376916856849
ACTR1B	16	21	23	16	23	21	20	3.60555127546399
ACTR2	150	247	182	150	247	182	193	49.4267134250296
ACTR3	104	166	115	104	166	115	128.333333333333	33.0807093837683
ACTR3B	4	5	1	1	5	4	3.33333333333333	2.08166599946613
ACTR3C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTR5	2	3	3	2	3	3	2.66666666666667	0.577350269189626
ACTR6	47	34	29	29	47	34	36.6666666666667	9.29157324317757
ACTR8	19	23	26	19	26	23	22.6666666666667	3.51188458428425
ACTRT3	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ACVR1	24	49	33	24	49	33	35.3333333333333	12.6622799421484
ACVR1B	7	15	5	5	15	7	9	5.29150262212918
ACVR1C	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACVR2A	16	43	41	16	43	41	33.3333333333333	15.0443787951957
ACVR2B	2	12	1	1	12	2	5	6.08276253029822
ACVR2B-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACVRL1	1	4	3	1	4	3	2.66666666666667	1.52752523165195
ACY1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACYP1	7	5	4	4	7	5	5.33333333333333	1.52752523165195
ACYP2	24	32	20	20	32	24	25.3333333333333	6.11010092660779
ADA	2	1	3	1	3	2	2	1
ADAL	13	13	11	11	13	13	12.3333333333333	1.15470053837925
ADAM10	50	56	49	49	56	50	51.6666666666667	3.78593889720018
ADAM11	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM12	31	82	34	31	82	34	49	28.6181760425084
ADAM15	5	3	6	3	6	5	4.66666666666667	1.52752523165195
ADAM17	28	36	23	23	36	28	29	6.557438524302
ADAM18	0	0	0	0	0	0	0	0
ADAM19	14	18	13	13	18	14	15	2.64575131106459
ADAM1A	2	2	2	2	2	2	2	0
ADAM20	2	0	1	0	2	1	1	1
ADAM20P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM21	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADAM22	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAM23	0	5	5	0	5	5	3.33333333333333	2.88675134594813
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADAM7	0	0	0	0	0	0	0	0
ADAM8	2	1	0	0	2	1	1	1
ADAM9	93	159	105	93	159	105	119	35.1567916624939
ADAMTS1	57	51	73	51	73	57	60.3333333333333	11.3724814061547
ADAMTS10	4	3	1	1	4	3	2.66666666666667	1.52752523165195
ADAMTS12	22	30	16	16	30	22	22.6666666666667	7.02376916856849
ADAMTS13	0	2	1	0	2	1	1	1
ADAMTS14	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS15	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	5	5	2	2	5	5	4	1.73205080756888
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	57	42	52	42	57	52	50.3333333333333	7.63762615825973
ADAMTS3	0	6	1	0	6	1	2.33333333333333	3.21455025366432
ADAMTS4	12	19	4	4	19	12	11.6666666666667	7.50555349946513
ADAMTS5	26	47	51	26	51	47	41.3333333333333	13.4288247189891
ADAMTS6	11	20	13	11	20	13	14.6666666666667	4.72581562625261
ADAMTS7	5	6	1	1	6	5	4	2.64575131106459
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTS9-AS2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAMTSL1	7	3	6	3	7	6	5.33333333333333	2.08166599946613
ADAMTSL2	4	5	0	0	5	4	3	2.64575131106459
ADAMTSL3	7	27	14	7	27	14	16	10.1488915650922
ADAMTSL4	1	4	4	1	4	4	3	1.73205080756888
ADAMTSL5	5	2	3	2	5	3	3.33333333333333	1.52752523165195
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0
ADAR	61	77	48	48	77	61	62	14.5258390463339
ADARB1	9	2	10	2	10	9	7	4.35889894354067
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	16	38	18	16	38	18	24	12.1655250605964
ADAT2	8	6	7	6	8	7	7	1
ADAT3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADC	2	0	3	0	3	2	1.66666666666667	1.52752523165195
ADCK1	5	4	3	3	5	4	4	1
ADCK2	8	8	5	5	8	8	7	1.73205080756888
ADCK3	5	5	5	5	5	5	5	0
ADCK4	3	1	2	1	3	2	2	1
ADCK5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	3	4	0	0	4	3	2.33333333333333	2.08166599946613
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADCY2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY3	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADCY6	17	26	22	17	26	22	21.6666666666667	4.50924975282289
ADCY7	20	22	32	20	32	22	24.6666666666667	6.42910050732864
ADCY8	0	0	0	0	0	0	0	0
ADCY9	10	8	4	4	10	8	7.33333333333333	3.05505046330389
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	51	51	54	51	54	51	52	1.73205080756888
ADD3	159	198	176	159	198	176	177.666666666667	19.55334583475
ADD3-AS1	0	1	2	0	2	1	1	1
ADH1A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADH1B	7	4	4	4	7	4	5	1.73205080756888
ADH1C	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ADH4	0	0	0	0	0	0	0	0
ADH5	301	257	282	257	301	282	280	22.0680764907139
ADH6	0	0	0	0	0	0	0	0
ADHFE1	3	0	3	0	3	3	2	1.73205080756888
ADI1	37	27	27	27	37	27	30.3333333333333	5.77350269189626
ADIPOQ	7	15	11	7	15	11	11	4
ADIPOQ-AS1	1	4	1	1	4	1	2	1.73205080756888
ADIPOR1	43	89	69	43	89	69	67	23.0651251893416
ADIPOR2	11	19	14	11	19	14	14.6666666666667	4.04145188432738
ADIRF	21	9	19	9	21	19	16.3333333333333	6.42910050732864
ADK	33	32	46	32	46	33	37	7.81024967590665
ADM	20	13	33	13	33	20	22	10.1488915650922
ADM2	17	26	11	11	26	17	18	7.54983443527075
ADM5	0	0	0	0	0	0	0	0
ADNP	20	39	23	20	39	23	27.3333333333333	10.2143689640297
ADNP2	20	19	16	16	20	19	18.3333333333333	2.08166599946613
ADO	14	22	8	8	22	14	14.6666666666667	7.02376916856849
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ADORA2B	17	9	12	9	17	12	12.6666666666667	4.04145188432738
ADORA3	0	0	0	0	0	0	0	0
ADPGK	13	18	14	13	18	14	15	2.64575131106459
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ADPRHL2	11	10	16	10	16	11	12.3333333333333	3.21455025366432
ADPRM	41	34	33	33	41	34	36	4.35889894354067
ADRA1A	9	11	5	5	11	9	8.33333333333333	3.05505046330389
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	1	0	5	0	5	1	2	2.64575131106459
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	10	12	12	10	12	12	11.3333333333333	1.15470053837925
ADRBK2	11	12	4	4	12	11	9	4.35889894354067
ADRM1	28	19	37	19	37	28	28	9
ADSL	92	86	88	86	92	88	88.6666666666667	3.05505046330389
ADSS	35	55	22	22	55	35	37.3333333333333	16.6232768530556
ADSSL1	1	4	4	1	4	4	3	1.73205080756888
ADTRP	2	4	2	2	4	2	2.66666666666667	1.15470053837925
AEBP1	75	123	121	75	123	121	106.333333333333	27.1538824725551
AEBP2	25	33	23	23	33	25	27	5.29150262212918
AEN	34	34	35	34	35	34	34.3333333333333	0.577350269189626
AES	27	18	29	18	29	27	24.6666666666667	5.85946527708232
AFAP1	63	109	83	63	109	83	85	23.0651251893416
AFAP1-AS1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AFAP1L1	4	5	4	4	5	4	4.33333333333333	0.577350269189626
AFAP1L2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AFF1	22	34	21	21	34	22	25.6666666666667	7.23417813807024
AFF2	2	3	2	2	3	2	2.33333333333333	0.577350269189626
AFF3	10	11	3	3	11	10	8	4.35889894354067
AFF4	74	61	75	61	75	74	70	7.81024967590665
AFG3L1P	5	7	3	3	7	5	5	2
AFG3L2	50	52	54	50	54	52	52	2
AFMID	31	35	29	29	35	31	31.6666666666667	3.05505046330389
AFP	1	2	2	1	2	2	1.66666666666667	0.577350269189626
AFTPH	10	26	9	9	26	10	15	9.53939201416946
AGA	51	58	71	51	71	58	60	10.1488915650922
AGAP1	31	46	34	31	46	34	37	7.93725393319377
AGAP11	0	0	0	0	0	0	0	0
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AGAP3	8	8	9	8	9	8	8.33333333333333	0.577350269189626
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
AGBL4	0	0	0	0	0	0	0	0
AGBL5	6	9	7	6	9	7	7.33333333333333	1.52752523165195
AGER	0	0	0	0	0	0	0	0
AGFG1	20	50	33	20	50	33	34.3333333333333	15.0443787951957
AGFG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGGF1	15	27	19	15	27	19	20.3333333333333	6.11010092660779
AGK	14	10	23	10	23	14	15.6666666666667	6.65832811847939
AGL	17	16	16	16	17	16	16.3333333333333	0.577350269189626
AGMAT	10	13	8	8	13	10	10.3333333333333	2.51661147842358
AGMO	8	2	5	2	8	5	5	3
AGO1	14	19	23	14	23	19	18.6666666666667	4.50924975282289
AGO2	2	5	8	2	8	5	5	3
AGO3	9	10	7	7	10	9	8.66666666666667	1.52752523165195
AGO4	10	15	11	10	15	11	12	2.64575131106459
AGPAT1	47	58	56	47	58	56	53.6666666666667	5.85946527708232
AGPAT2	3	2	3	2	3	3	2.66666666666667	0.577350269189626
AGPAT3	7	19	8	7	19	8	11.3333333333333	6.65832811847939
AGPAT4	7	10	10	7	10	10	9	1.73205080756888
AGPAT4-IT1	0	3	2	0	3	2	1.66666666666667	1.52752523165195
AGPAT5	20	29	18	18	29	20	22.3333333333333	5.85946527708232
AGPAT6	8	17	14	8	17	14	13	4.58257569495584
AGPAT9	0	0	0	0	0	0	0	0
AGPS	42	68	41	41	68	42	50.3333333333333	15.3079500042734
AGRN	0	2	1	0	2	1	1	1
AGRP	0	0	0	0	0	0	0	0
AGT	6	5	15	5	15	6	8.66666666666667	5.5075705472861
AGTPBP1	4	7	7	4	7	7	6	1.73205080756888
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	52	58	41	41	58	52	50.3333333333333	8.62167810425171
AHCTF1	3	7	11	3	11	7	7	4
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	68	59	100	59	100	68	75.6666666666667	21.548395145192
AHCYL1	64	92	76	64	92	76	77.3333333333333	14.047538337137
AHCYL2	1	10	4	1	10	4	5	4.58257569495584
AHDC1	5	5	4	4	5	5	4.66666666666667	0.577350269189626
AHI1	38	41	22	22	41	38	33.6666666666667	10.2143689640297
AHNAK	425	553	636	425	636	553	538	106.296754418938
AHNAK2	27	27	34	27	34	27	29.3333333333333	4.04145188432738
AHR	86	121	87	86	121	87	98	19.9248588451713
AHRR	6	5	0	0	6	5	3.66666666666667	3.21455025366432
AHSA1	36	32	28	28	36	32	32	4
AHSA2	11	17	5	5	17	11	11	6
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	4	2	2	2	4	2	2.66666666666667	1.15470053837925
AIDA	42	76	53	42	76	53	57	17.3493515728975
AIF1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AIF1L	0	0	0	0	0	0	0	0
AIFM1	22	13	23	13	23	22	19.3333333333333	5.5075705472861
AIFM2	9	11	8	8	11	9	9.33333333333333	1.52752523165195
AIFM3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIG1	52	39	43	39	52	43	44.6666666666667	6.65832811847939
AIM1	0	3	4	0	4	3	2.33333333333333	2.08166599946613
AIM1L	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AIM2	0	0	0	0	0	0	0	0
AIMP1	116	107	129	107	129	116	117.333333333333	11.060440015358
AIMP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIP	15	11	14	11	15	14	13.3333333333333	2.08166599946613
AIPL1	16	18	14	14	18	16	16	2
AIRE	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AIRN	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AJUBA	23	29	26	23	29	26	26	3
AK1	62	65	62	62	65	62	63	1.73205080756888
AK2	107	90	96	90	107	96	97.6666666666667	8.62167810425171
AK3	46	63	48	46	63	48	52.3333333333333	9.29157324317757
AK4	81	96	135	81	135	96	104	27.8747197295327
AK5	6	9	7	6	9	7	7.33333333333333	1.52752523165195
AK8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AK9	9	15	17	9	17	15	13.6666666666667	4.16333199893227
AKAP1	4	5	6	4	6	5	5	1
AKAP10	9	12	12	9	12	12	11	1.73205080756888
AKAP11	34	60	39	34	60	39	44.3333333333333	13.7961347243833
AKAP12	72	83	66	66	83	72	73.6666666666667	8.62167810425171
AKAP13	60	74	53	53	74	60	62.3333333333333	10.6926766215636
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	10	18	11	10	18	11	13	4.35889894354067
AKAP2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AKAP3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
AKAP5	16	25	15	15	25	16	18.6666666666667	5.5075705472861
AKAP6	1	3	10	1	10	3	4.66666666666667	4.72581562625261
AKAP7	3	1	3	1	3	3	2.33333333333333	1.15470053837925
AKAP8	9	11	12	9	12	11	10.6666666666667	1.52752523165195
AKAP8L	5	3	4	3	5	4	4	1
AKAP9	123	185	177	123	185	177	161.666666666667	33.7243729865113
AKIP1	14	28	18	14	28	18	20	7.21110255092798
AKIRIN1	19	26	24	19	26	24	23	3.60555127546399
AKIRIN2	12	18	15	12	18	15	15	3
AKNA	10	15	13	10	15	13	12.6666666666667	2.51661147842358
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	129	134	145	129	145	134	136	8.18535277187245
AKR1B1	99	104	106	99	106	104	103	3.60555127546399
AKR1B10	1	4	7	1	7	4	4	3
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	18	14	19	14	19	18	17	2.64575131106459
