Gene	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	Min	Max	Median	Mean	Std
ABCA8	36	40	28	28	40	36	34.6666666666667	6.11010092660779
ABCA9	43	22	49	22	49	43	38	14.1774468787578
ABCB1	0	0	0	0	0	0	0	0
ABCB10	3	0	2	0	3	2	1.66666666666667	1.52752523165195
ABCB5	1	4	1	1	4	1	2	1.73205080756888
ABCB6	7	7	14	7	14	7	9.33333333333333	4.04145188432738
ABCB7	13	15	19	13	19	15	15.6666666666667	3.05505046330389
ABCB8	1	2	3	1	3	2	2	1
ABCB9	0	0	0	0	0	0	0	0
ABCC1	16	12	14	12	16	14	14	2
ABCC10	2	5	7	2	7	5	4.66666666666667	2.51661147842358
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABCC2	0	0	0	0	0	0	0	0
ABCC3	3	2	5	2	5	3	3.33333333333333	1.52752523165195
ABCC4	3	8	12	3	12	8	7.66666666666667	4.50924975282289
ABCC5	6	12	8	6	12	8	8.66666666666667	3.05505046330389
ABCC5-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCC6	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABCC9	0	1	4	0	4	1	1.66666666666667	2.08166599946613
ABCD1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCD2	0	0	0	0	0	0	0	0
ABCD3	19	25	43	19	43	25	29	12.4899959967968
ABCD4	9	15	12	9	15	12	12	3
ABCE1	60	84	84	60	84	84	76	13.856406460551
ABCF1	128	107	93	93	128	107	109.333333333333	17.6162803489651
ABCF2	51	50	49	49	51	50	50	1
ABCF3	9	8	9	8	9	9	8.66666666666667	0.577350269189626
ABCG1	1	2	0	0	2	1	1	1
ABCG2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	16	26	15	15	26	16	19	6.08276253029822
ABHD11	3	5	10	3	10	5	6	3.60555127546399
ABHD12	4	2	3	2	4	3	3	1
ABHD12B	2	1	0	0	2	1	1	1
ABHD13	18	20	17	17	20	18	18.3333333333333	1.52752523165195
ABHD14A	5	2	0	0	5	2	2.33333333333333	2.51661147842358
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	8	9	12	8	12	9	9.66666666666667	2.08166599946613
ABHD15	5	8	10	5	10	8	7.66666666666667	2.51661147842358
ABHD16A	15	9	5	5	15	9	9.66666666666667	5.03322295684717
ABHD16B	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABHD17A	3	6	2	2	6	3	3.66666666666667	2.08166599946613
ABHD17B	4	2	2	2	4	2	2.66666666666667	1.15470053837925
ABHD17C	6	2	7	2	7	6	5	2.64575131106459
ABHD2	15	18	20	15	20	18	17.6666666666667	2.51661147842358
ABHD3	0	0	0	0	0	0	0	0
ABHD4	48	69	79	48	79	69	65.3333333333333	15.8219257150744
ABHD5	19	15	19	15	19	19	17.6666666666667	2.3094010767585
ABHD6	6	2	2	2	6	2	3.33333333333333	2.3094010767585
ABHD8	1	1	1	1	1	1	1	0
ABI1	46	55	44	44	55	46	48.3333333333333	5.85946527708232
ABI2	35	28	33	28	35	33	32	3.60555127546399
ABI3BP	60	92	83	60	92	83	78.3333333333333	16.5025250593154
ABL1	17	17	13	13	17	17	15.6666666666667	2.3094010767585
ABL2	21	13	31	13	31	21	21.6666666666667	9.01849950564579
ABLIM1	83	85	76	76	85	83	81.3333333333333	4.72581562625261
ABLIM2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABLIM3	17	6	15	6	17	15	12.6666666666667	5.85946527708231
ABR	5	6	6	5	6	6	5.66666666666667	0.577350269189626
ABRA	0	0	0	0	0	0	0	0
ABRACL	46	52	54	46	54	52	50.6666666666667	4.16333199893227
ABT1	16	18	16	16	18	16	16.6666666666667	1.15470053837925
ABTB1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABTB2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ACAA1	5	5	9	5	9	5	6.33333333333333	2.3094010767585
ACAA2	68	85	81	68	85	81	78	8.88819441731559
ACACA	4	3	12	3	12	4	6.33333333333333	4.93288286231625
ACACB	3	0	2	0	3	2	1.66666666666667	1.52752523165195
ACAD10	1	1	4	1	4	1	2	1.73205080756888
ACAD11	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACAD8	2	2	9	2	9	2	4.33333333333333	4.04145188432738
ACAD9	5	4	10	4	10	5	6.33333333333333	3.21455025366432
ACADL	1	1	1	1	1	1	1	0
ACADM	62	66	61	61	66	62	63	2.64575131106459
ACADS	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACADSB	6	10	5	5	10	6	7	2.64575131106459
ACADVL	19	27	32	19	32	27	26	6.557438524302
ACAN	0	0	0	0	0	0	0	0
ACAP1	4	5	1	1	5	4	3.33333333333333	2.08166599946613
ACAP2	69	75	61	61	75	69	68.3333333333333	7.02376916856849
ACAP3	0	0	0	0	0	0	0	0
ACAT1	97	102	115	97	115	102	104.666666666667	9.29157324317757
ACAT2	6	1	6	1	6	6	4.33333333333333	2.88675134594813
ACBD3	49	48	27	27	49	48	41.3333333333333	12.4230967690561
ACBD4	0	2	1	0	2	1	1	1
ACBD5	25	28	17	17	28	25	23.3333333333333	5.68624070307733
ACBD6	26	17	24	17	26	24	22.3333333333333	4.72581562625261
ACBD7	4	5	5	4	5	5	4.66666666666667	0.577350269189626
ACCS	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACD	1	0	2	0	2	1	1	1
ACE	0	0	0	0	0	0	0	0
ACE2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACER3	2	1	8	1	8	2	3.66666666666667	3.78593889720018
ACIN1	80	95	84	80	95	84	86.3333333333333	7.76745346515403
ACLY	33	30	39	30	39	33	34	4.58257569495584
ACMSD	0	0	0	0	0	0	0	0
ACN9	36	40	38	36	40	38	38	2
ACO1	22	28	25	22	28	25	25	3
ACO2	4	6	10	4	10	6	6.66666666666667	3.05505046330389
ACOT1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACOT11	0	0	0	0	0	0	0	0
ACOT13	98	108	133	98	133	108	113	18.0277563773199
ACOT2	3	3	5	3	5	3	3.66666666666667	1.15470053837925
ACOT4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACOT6	0	0	0	0	0	0	0	0
ACOT7	8	3	3	3	8	3	4.66666666666667	2.88675134594813
ACOT8	4	6	5	4	6	5	5	1
ACOT9	71	62	66	62	71	66	66.3333333333333	4.50924975282289
ACOX1	38	48	43	38	48	43	43	5
ACOX2	11	6	17	6	17	11	11.3333333333333	5.5075705472861
ACOX3	10	7	12	7	12	10	9.66666666666667	2.51661147842358
ACOXL	0	0	0	0	0	0	0	0
ACP1	323	374	318	318	374	323	338.333333333333	30.9892454463372
ACP2	3	4	5	3	5	4	4	1
ACP5	0	0	0	0	0	0	0	0
ACP6	4	1	1	1	4	1	2	1.73205080756888
ACPL2	4	9	6	4	9	6	6.33333333333333	2.51661147842358
ACPP	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACRBP	0	0	0	0	0	0	0	0
ACRC	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSBG2	0	0	0	0	0	0	0	0
ACSF2	10	0	7	0	10	7	5.66666666666667	5.13160143944688
ACSF3	0	3	0	0	3	0	1	1.73205080756888
ACSL1	16	28	35	16	35	28	26.3333333333333	9.60902353693305
ACSL3	24	32	28	24	32	28	28	4
ACSL4	33	39	24	24	39	33	32	7.54983443527075
ACSL5	0	1	2	0	2	1	1	1
ACSL6	10	12	8	8	12	10	10	2
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0	0
ACSM5	2	0	3	0	3	2	1.66666666666667	1.52752523165195
ACSS1	1	2	0	0	2	1	1	1
ACSS2	5	6	9	5	9	6	6.66666666666667	2.08166599946613
ACSS3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTA2	5481	5767	7809	5481	7809	5767	6352.33333333333	1269.58943494869
ACTB	1773	1908	2094	1773	2094	1908	1925	161.173819213916
ACTBL2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTC1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTG1	4084	4363	4656	4084	4656	4363	4367.66666666667	286.028553353216
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ACTL10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	62	61	89	61	89	62	70.6666666666667	15.8850034099251
ACTL8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACTN1	173	205	227	173	227	205	201.666666666667	27.1538824725551
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	64	82	63	63	82	64	69.6666666666667	10.6926766215636
ACTR10	147	156	159	147	159	156	154	6.2449979983984
ACTR1A	80	89	83	80	89	83	84	4.58257569495584
ACTR1B	13	14	11	11	14	13	12.6666666666667	1.52752523165195
ACTR2	181	204	174	174	204	181	186.333333333333	15.6950098226581
ACTR3	81	98	101	81	101	98	93.3333333333333	10.785793124909
ACTR3B	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACTR3C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTR5	0	4	4	0	4	4	2.66666666666667	2.3094010767585
ACTR6	30	33	42	30	42	33	35	6.2449979983984
ACTR8	18	10	19	10	19	18	15.6666666666667	4.93288286231625
ACTRT3	0	1	4	0	4	1	1.66666666666667	2.08166599946613
ACVR1	25	23	34	23	34	25	27.3333333333333	5.85946527708231
ACVR1B	3	2	5	2	5	3	3.33333333333333	1.52752523165195
ACVR1C	1	0	2	0	2	1	1	1
ACVR2A	42	35	26	26	42	35	34.3333333333333	8.02080627701064
ACVR2B	3	4	5	3	5	4	4	1
ACVR2B-AS1	0	0	0	0	0	0	0	0
ACVRL1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACY1	0	0	0	0	0	0	0	0
ACYP1	6	6	1	1	6	6	4.33333333333333	2.88675134594813
ACYP2	28	17	29	17	29	28	24.6666666666667	6.65832811847939
ADA	2	1	3	1	3	2	2	1
ADAL	6	9	13	6	13	9	9.33333333333333	3.51188458428425
ADAM10	39	51	33	33	51	39	41	9.16515138991168
ADAM11	0	0	0	0	0	0	0	0
ADAM12	17	24	28	17	28	24	23	5.56776436283002
ADAM15	6	0	1	0	6	1	2.33333333333333	3.21455025366432
ADAM17	17	16	27	16	27	17	20	6.08276253029822
ADAM18	0	0	0	0	0	0	0	0
ADAM19	5	5	10	5	10	5	6.66666666666667	2.88675134594813
ADAM1A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAM20	1	2	0	0	2	1	1	1
ADAM20P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM21	1	4	4	1	4	4	3	1.73205080756888
ADAM22	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM23	2	3	2	2	3	2	2.33333333333333	0.577350269189626
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM33	1	0	4	0	4	1	1.66666666666667	2.08166599946613
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	97	85	111	85	111	97	97.6666666666667	13.0128141972954
ADAMTS1	62	45	62	45	62	62	56.3333333333333	9.81495457622364
ADAMTS10	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAMTS12	21	21	12	12	21	21	18	5.19615242270663
ADAMTS13	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADAMTS14	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS17	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	27	31	23	23	31	27	27	4
ADAMTS3	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ADAMTS4	10	8	4	4	10	8	7.33333333333333	3.05505046330389
ADAMTS5	47	43	47	43	47	47	45.6666666666667	2.3094010767585
ADAMTS6	6	9	9	6	9	9	8	1.73205080756888
ADAMTS7	4	6	3	3	6	4	4.33333333333333	1.52752523165195
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS9-AS2	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTSL1	1	5	6	1	6	5	4	2.64575131106459
ADAMTSL2	4	1	3	1	4	3	2.66666666666667	1.52752523165195
ADAMTSL3	11	12	10	10	12	11	11	1
ADAMTSL4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL5	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAR	39	50	41	39	50	41	43.3333333333333	5.85946527708232
ADARB1	1	1	5	1	5	1	2.33333333333333	2.3094010767585
ADARB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAT1	23	15	23	15	23	23	20.3333333333333	4.61880215351701
ADAT2	6	1	3	1	6	3	3.33333333333333	2.51661147842358
ADAT3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADC	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADCK1	2	2	2	2	2	2	2	0
ADCK2	2	0	6	0	6	2	2.66666666666667	3.05505046330389
ADCK3	5	6	2	2	6	5	4.33333333333333	2.08166599946613
ADCK4	3	0	4	0	4	3	2.33333333333333	2.08166599946613
ADCK5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCY1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADCY10	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCY10P1	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0
ADCY3	3	3	4	3	4	3	3.33333333333333	0.577350269189626
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY6	13	10	18	10	18	13	13.6666666666667	4.04145188432738
ADCY7	30	29	18	18	30	29	25.6666666666667	6.65832811847939
ADCY8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY9	6	2	5	2	6	5	4.33333333333333	2.08166599946613
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	57	47	38	38	57	47	47.3333333333333	9.50438495292217
ADD3	141	153	153	141	153	153	149	6.92820323027551
ADD3-AS1	1	1	1	1	1	1	1	0
ADH1A	0	0	0	0	0	0	0	0
ADH1B	5	4	6	4	6	5	5	1
ADH1C	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ADH4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADH5	280	309	331	280	331	309	306.666666666667	25.5799400572662
ADH6	0	0	0	0	0	0	0	0
ADHFE1	1	1	5	1	5	1	2.33333333333333	2.3094010767585
ADI1	30	32	22	22	32	30	28	5.29150262212918
ADIPOQ	7	6	6	6	7	6	6.33333333333333	0.577350269189626
ADIPOQ-AS1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ADIPOR1	40	48	61	40	61	48	49.6666666666667	10.5987420637231
ADIPOR2	6	15	7	6	15	7	9.33333333333333	4.93288286231625
ADIRF	17	18	15	15	18	17	16.6666666666667	1.52752523165195
ADK	40	52	52	40	52	52	48	6.92820323027551
ADM	23	28	26	23	28	26	25.6666666666667	2.51661147842358
ADM2	7	3	10	3	10	7	6.66666666666667	3.51188458428425
ADM5	0	0	0	0	0	0	0	0
ADNP	12	7	16	7	16	12	11.6666666666667	4.50924975282289
ADNP2	14	7	15	7	15	14	12	4.35889894354067
ADO	15	7	7	7	15	7	9.66666666666667	4.61880215351701
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	3	4	1	1	4	3	2.66666666666667	1.52752523165195
ADORA2B	11	12	8	8	12	11	10.3333333333333	2.08166599946613
ADORA3	0	0	0	0	0	0	0	0
ADPGK	17	19	17	17	19	17	17.6666666666667	1.15470053837925
ADPGK-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRH	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADPRHL1	0	1	4	0	4	1	1.66666666666667	2.08166599946613
ADPRHL2	9	12	16	9	16	12	12.3333333333333	3.51188458428425
ADPRM	33	37	28	28	37	33	32.6666666666667	4.50924975282289
ADRA1A	5	1	3	1	5	3	3	2
ADRA1B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	6	4	1	1	6	4	3.66666666666667	2.51661147842358
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	9	5	8	5	9	8	7.33333333333333	2.08166599946613
ADRBK2	5	5	6	5	6	5	5.33333333333333	0.577350269189626
ADRM1	19	34	30	19	34	30	27.6666666666667	7.76745346515403
ADSL	92	104	98	92	104	98	98	6
ADSS	22	34	25	22	34	25	27	6.2449979983984
ADSSL1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ADTRP	1	3	4	1	4	3	2.66666666666667	1.52752523165195
AEBP1	84	52	87	52	87	84	74.3333333333333	19.399312702602
AEBP2	18	13	12	12	18	13	14.3333333333333	3.21455025366432
AEN	38	28	21	21	38	28	29	8.54400374531753
AES	14	26	23	14	26	23	21	6.2449979983984
AFAP1	75	52	44	44	75	52	57	16.0934769394311
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	1	1	1	1	1	1	1	0
AFAP1L2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AFF1	16	21	16	16	21	16	17.6666666666667	2.88675134594813
AFF2	2	2	4	2	4	2	2.66666666666667	1.15470053837925
AFF3	6	6	3	3	6	6	5	1.73205080756888
AFF4	44	41	52	41	52	44	45.6666666666667	5.68624070307733
AFG3L1P	4	2	0	0	4	2	2	2
AFG3L2	48	44	45	44	48	45	45.6666666666667	2.08166599946613
AFMID	29	41	29	29	41	29	33	6.92820323027551
AFP	1	1	3	1	3	1	1.66666666666667	1.15470053837925
AFTPH	20	10	15	10	20	15	15	5
AGA	74	56	75	56	75	74	68.3333333333333	10.6926766215636
AGAP1	25	31	14	14	31	25	23.3333333333333	8.62167810425171
AGAP11	0	0	0	0	0	0	0	0
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	0	0	0	0	0	0	0	0
AGAP3	2	6	3	2	6	3	3.66666666666667	2.08166599946613
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGBL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGBL3	0	0	0	0	0	0	0	0
AGBL4	0	0	0	0	0	0	0	0
AGBL5	9	8	10	8	10	9	9	1
AGER	0	0	0	0	0	0	0	0
AGFG1	25	23	25	23	25	25	24.3333333333333	1.15470053837925
AGFG2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AGGF1	15	10	13	10	15	13	12.6666666666667	2.51661147842358
AGK	20	15	18	15	20	18	17.6666666666667	2.51661147842358
AGL	10	11	11	10	11	11	10.6666666666667	0.577350269189626
AGMAT	5	3	5	3	5	5	4.33333333333333	1.15470053837925
AGMO	3	4	3	3	4	3	3.33333333333333	0.577350269189626
AGO1	14	12	12	12	14	12	12.6666666666667	1.15470053837925
AGO2	4	6	8	4	8	6	6	2
AGO3	5	6	1	1	6	5	4	2.64575131106459
AGO4	2	6	7	2	7	6	5	2.64575131106459
AGPAT1	41	37	42	37	42	41	40	2.64575131106459
AGPAT2	5	7	5	5	7	5	5.66666666666667	1.15470053837925
AGPAT3	8	8	4	4	8	8	6.66666666666667	2.3094010767585
AGPAT4	3	5	13	3	13	5	7	5.29150262212918
AGPAT4-IT1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGPAT5	20	11	13	11	20	13	14.6666666666667	4.72581562625261
AGPAT6	7	7	12	7	12	7	8.66666666666667	2.88675134594813
AGPAT9	0	0	0	0	0	0	0	0
AGPS	25	33	38	25	38	33	32	6.557438524302
AGRN	0	0	4	0	4	0	1.33333333333333	2.3094010767585
AGRP	0	0	0	0	0	0	0	0
AGT	16	18	15	15	18	16	16.3333333333333	1.52752523165195
AGTPBP1	5	4	3	3	5	4	4	1
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	45	52	65	45	65	52	54	10.1488915650922
AHCTF1	5	8	4	4	8	5	5.66666666666667	2.08166599946613
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	84	61	68	61	84	68	71	11.7898261225516
AHCYL1	55	50	42	42	55	50	49	6.557438524302
AHCYL2	1	2	2	1	2	2	1.66666666666667	0.577350269189626
AHDC1	5	8	5	5	8	5	6	1.73205080756888
AHI1	41	32	33	32	41	33	35.3333333333333	4.93288286231625
AHNAK	365	303	335	303	365	335	334.333333333333	31.005375877956
AHNAK2	32	28	33	28	33	32	31	2.64575131106459
AHR	55	52	68	52	68	55	58.3333333333333	8.50490054811538
AHRR	0	1	2	0	2	1	1	1
AHSA1	33	30	38	30	38	33	33.6666666666667	4.04145188432738
AHSA2	8	8	3	3	8	8	6.33333333333333	2.88675134594813
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AICDA	3	2	0	0	3	2	1.66666666666667	1.52752523165195
AIDA	46	36	44	36	46	44	42	5.29150262212918
AIF1	0	1	2	0	2	1	1	1
AIF1L	0	0	0	0	0	0	0	0
AIFM1	18	16	23	16	23	18	19	3.60555127546399
AIFM2	8	12	10	8	12	10	10	2
AIFM3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIG1	35	52	42	35	52	42	43	8.54400374531753
AIM1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	99	119	127	99	127	119	115	14.422205101856
AIMP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AIP	12	11	11	11	12	11	11.3333333333333	0.577350269189626
AIPL1	10	4	8	4	10	8	7.33333333333333	3.05505046330389
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	0
AJUBA	7	10	14	7	14	10	10.3333333333333	3.51188458428425
AK1	65	63	58	58	65	63	62	3.60555127546399
AK2	78	75	71	71	78	75	74.6666666666667	3.51188458428425
AK3	51	34	35	34	51	35	40	9.53939201416946
AK4	103	117	74	74	117	103	98	21.9317121994613
AK5	7	2	2	2	7	2	3.66666666666667	2.88675134594813
AK8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AK9	17	18	12	12	18	17	15.6666666666667	3.21455025366432
AKAP1	3	2	6	2	6	3	3.66666666666667	2.08166599946613
AKAP10	7	8	7	7	8	7	7.33333333333333	0.577350269189626
AKAP11	18	34	37	18	37	34	29.6666666666667	10.2143689640297
AKAP12	49	58	58	49	58	58	55	5.19615242270663
AKAP13	29	35	33	29	35	33	32.3333333333333	3.05505046330389
AKAP14	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AKAP17A	15	13	12	12	15	13	13.3333333333333	1.52752523165195
AKAP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AKAP5	6	7	7	6	7	7	6.66666666666667	0.577350269189626
AKAP6	5	2	10	2	10	5	5.66666666666667	4.04145188432738
AKAP7	1	2	1	1	2	1	1.33333333333333	0.577350269189626
AKAP8	12	9	11	9	12	11	10.6666666666667	1.52752523165195
AKAP8L	4	8	3	3	8	4	5	2.64575131106459
AKAP9	132	137	105	105	137	132	124.666666666667	17.2143351115671
AKIP1	17	17	14	14	17	17	16	1.73205080756888
AKIRIN1	21	21	15	15	21	21	19	3.46410161513775
AKIRIN2	15	14	14	14	15	14	14.3333333333333	0.577350269189626
AKNA	6	1	6	1	6	6	4.33333333333333	2.88675134594813
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	135	155	180	135	180	155	156.666666666667	22.5462487641145
AKR1B1	101	98	115	98	115	101	104.666666666667	9.07377172587747
AKR1B10	2	4	0	0	4	2	2	2
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	16	21	21	16	21	21	19.3333333333333	2.88675134594813
