Gene	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	Min	Max	Median	Mean	Std
ACADM	6	8	15	6	15	8	9.66666666666667	4.72581562625261
ACADS	0	0	0	0	0	0	0	0
ACADSB	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ACADVL	13	10	22	10	22	13	15	6.2449979983984
ACAN	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0
ACAP2	14	13	32	13	32	14	19.6666666666667	10.6926766215636
ACAP3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACAT1	6	11	30	6	30	11	15.6666666666667	12.6622799421484
ACAT2	0	0	0	0	0	0	0	0
ACBD3	29	23	32	23	32	29	28	4.58257569495584
ACBD4	0	0	0	0	0	0	0	0
ACBD5	7	7	15	7	15	7	9.66666666666667	4.61880215351701
ACBD6	4	12	10	4	12	10	8.66666666666667	4.16333199893227
ACBD7	0	3	3	0	3	3	2	1.73205080756888
ACCS	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACD	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACE	0	0	0	0	0	0	0	0
ACE2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0
ACER3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACIN1	17	21	45	17	45	21	27.6666666666667	15.1437555888007
ACLY	4	10	10	4	10	10	8	3.46410161513775
ACMSD	0	0	0	0	0	0	0	0
ACN9	2	7	7	2	7	7	5.33333333333333	2.88675134594813
ACO1	2	6	5	2	6	5	4.33333333333333	2.08166599946613
ACO2	0	0	0	0	0	0	0	0
ACOT1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACOT11	0	0	0	0	0	0	0	0
ACOT13	15	15	21	15	21	15	17	3.46410161513775
ACOT2	1	1	1	1	1	1	1	0
ACOT4	0	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0	0
ACOT7	1	3	6	1	6	3	3.33333333333333	2.51661147842358
ACOT8	0	0	0	0	0	0	0	0
ACOT9	7	9	13	7	13	9	9.66666666666667	3.05505046330389
ACOX1	9	13	16	9	16	13	12.6666666666667	3.51188458428425
ACOX2	1	5	8	1	8	5	4.66666666666667	3.51188458428425
ACOX3	2	2	6	2	6	2	3.33333333333333	2.3094010767585
ACOXL	0	0	0	0	0	0	0	0
ACP1	30	34	59	30	59	34	41	15.7162336455017
ACP2	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ACP5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACP6	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACPL2	0	1	2	0	2	1	1	1
ACPP	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0
ACRC	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0
ACSBG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACSF2	2	3	3	2	3	3	2.66666666666667	0.577350269189626
ACSF3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACSL1	7	10	11	7	11	10	9.33333333333333	2.08166599946613
ACSL3	2	8	13	2	13	8	7.66666666666667	5.5075705472861
ACSL4	10	5	15	5	15	10	10	5
ACSL5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSL6	2	1	9	1	9	2	4	4.35889894354067
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0
ACSS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACSS2	0	1	2	0	2	1	1	1
ACSS3	0	0	0	0	0	0	0	0
ACTA2	375	410	704	375	704	410	496.333333333333	180.694032367794
ACTB	302	310	567	302	567	310	393	150.741500589585
ACTBL2	0	0	0	0	0	0	0	0
ACTC1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTG1	448	536	1017	448	1017	536	667	306.285814232393
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0
ACTL6A	8	3	7	3	8	7	6	2.64575131106459
ACTL8	0	0	0	0	0	0	0	0
ACTN1	50	55	107	50	107	55	70.6666666666667	31.5647482697603
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACTN4	5	9	15	5	15	9	9.66666666666667	5.03322295684717
ACTR10	18	22	36	18	36	22	25.3333333333333	9.45163125250522
ACTR1A	13	8	22	8	22	13	14.3333333333333	7.09459888459759
ACTR1B	3	1	5	1	5	3	3	2
ACTR2	11	27	43	11	43	27	27	16
ACTR3	12	17	31	12	31	17	20	9.8488578017961
ACTR3B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	0	0	0	0	0	0	0	0
ACTR6	2	4	15	2	15	4	7	7
ACTR8	5	5	4	4	5	5	4.66666666666667	0.577350269189626
ACTRT3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACVR1	7	12	9	7	12	9	9.33333333333333	2.51661147842358
ACVR1B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACVR1C	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACVR2A	3	4	8	3	8	4	5	2.64575131106459
ACVR2B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACVR2B-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACVRL1	0	0	0	0	0	0	0	0
ACY1	0	0	0	0	0	0	0	0
ACYP1	0	1	2	0	2	1	1	1
ACYP2	4	2	7	2	7	4	4.33333333333333	2.51661147842358
ADA	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ADAL	1	3	5	1	5	3	3	2
ADAM10	2	8	7	2	8	7	5.66666666666667	3.21455025366432
ADAM11	0	0	0	0	0	0	0	0
ADAM12	4	7	12	4	12	7	7.66666666666667	4.04145188432738
ADAM15	0	0	0	0	0	0	0	0
ADAM17	7	5	11	5	11	7	7.66666666666667	3.05505046330389
ADAM18	0	0	0	0	0	0	0	0
ADAM19	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ADAM1A	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0	0	0
ADAM22	0	0	0	0	0	0	0	0
ADAM23	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	0	1	2	0	2	1	1	1
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0
ADAM9	19	24	39	19	39	24	27.3333333333333	10.4083299973307
ADAMTS1	12	9	17	9	17	12	12.6666666666667	4.04145188432738
ADAMTS10	0	0	0	0	0	0	0	0
ADAMTS12	7	2	11	2	11	7	6.66666666666667	4.50924975282289
ADAMTS13	0	2	1	0	2	1	1	1
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	0	1	6	0	6	1	2.33333333333333	3.21455025366432
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	3	3	8	3	8	3	4.66666666666667	2.88675134594813
ADAMTS3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADAMTS4	3	2	4	2	4	3	3	1
ADAMTS5	9	9	12	9	12	9	10	1.73205080756888
ADAMTS6	4	2	3	2	4	3	3	1
ADAMTS7	1	2	0	0	2	1	1	1
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ADAMTSL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL3	2	5	3	2	5	3	3.33333333333333	1.52752523165195
ADAMTSL4	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADAMTSL5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAP1	0	0	0	0	0	0	0	0
ADAP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADAR	13	9	24	9	24	13	15.3333333333333	7.76745346515403
ADARB1	1	2	0	0	2	1	1	1
ADARB2	0	0	0	0	0	0	0	0
ADAT1	3	1	8	1	8	3	4	3.60555127546399
ADAT2	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ADAT3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADC	0	0	0	0	0	0	0	0
ADCK1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ADCK2	1	0	5	0	5	1	2	2.64575131106459
ADCK3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADCK4	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ADCK5	0	0	0	0	0	0	0	0
ADCY1	0	0	0	0	0	0	0	0
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0
ADCY3	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ADCY4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADCY6	0	6	5	0	6	5	3.66666666666667	3.21455025366432
ADCY7	3	3	7	3	7	3	4.33333333333333	2.3094010767585
ADCY8	0	0	0	0	0	0	0	0
ADCY9	0	1	6	0	6	1	2.33333333333333	3.21455025366432
ADCYAP1R1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADD1	13	12	20	12	20	13	15	4.35889894354067
ADD3	20	31	61	20	61	31	37.3333333333333	21.221058723196
ADD3-AS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADH1A	0	0	0	0	0	0	0	0
ADH1B	3	2	10	2	10	3	5	4.35889894354067
ADH1C	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0
ADH5	29	26	62	26	62	29	39	19.9749843554382
ADH6	0	0	0	0	0	0	0	0
ADHFE1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADI1	7	4	15	4	15	7	8.66666666666667	5.68624070307733
ADIPOQ	2	5	7	2	7	5	4.66666666666667	2.51661147842358
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	5	14	13	5	14	13	10.6666666666667	4.93288286231625
ADIPOR2	2	1	8	1	8	2	3.66666666666667	3.78593889720018
ADIRF	3	0	5	0	5	3	2.66666666666667	2.51661147842358
ADK	3	4	7	3	7	4	4.66666666666667	2.08166599946613
ADM	2	2	13	2	13	2	5.66666666666667	6.35085296108588
ADM2	3	5	8	3	8	5	5.33333333333333	2.51661147842358
ADM5	0	0	0	0	0	0	0	0
ADNP	3	5	15	3	15	5	7.66666666666667	6.42910050732864
ADNP2	3	1	2	1	3	2	2	1
ADO	5	2	14	2	14	5	7	6.2449979983984
ADORA1	0	0	0	0	0	0	0	0
ADORA2A-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADORA2B	0	2	5	0	5	2	2.33333333333333	2.51661147842358
ADORA3	0	0	0	0	0	0	0	0
ADPGK	0	3	4	0	4	3	2.33333333333333	2.08166599946613
ADPGK-AS1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0
ADPRHL1	0	0	0	0	0	0	0	0
ADPRHL2	1	2	8	1	8	2	3.66666666666667	3.78593889720018
ADPRM	4	8	14	4	14	8	8.66666666666667	5.03322295684717
ADRA1A	2	0	4	0	4	2	2	2
ADRA1B	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0	0	0
ADRB1	0	0	0	0	0	0	0	0
ADRB2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	0	2	1	0	2	1	1	1
ADRBK2	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ADRM1	2	2	6	2	6	2	3.33333333333333	2.3094010767585
ADSL	9	13	13	9	13	13	11.6666666666667	2.3094010767585
ADSS	3	2	11	2	11	3	5.33333333333333	4.93288286231625
ADSSL1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADTRP	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AEBP1	27	53	68	27	68	53	49.3333333333333	20.7444771766688
AEBP2	2	2	11	2	11	2	5	5.19615242270663
AEN	7	3	11	3	11	7	7	4
AES	2	6	8	2	8	6	5.33333333333333	3.05505046330389
AFAP1	15	9	36	9	36	15	20	14.1774468787578
AFAP1-AS1	0	0	0	0	0	0	0	0
AFAP1L1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AFAP1L2	0	0	0	0	0	0	0	0
AFF1	5	3	19	3	19	5	9	8.71779788708135
AFF2	1	2	6	1	6	2	3	2.64575131106459
AFF3	3	2	2	2	3	2	2.33333333333333	0.577350269189626
AFF4	8	28	28	8	28	28	21.3333333333333	11.5470053837925
AFG3L1P	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AFG3L2	7	5	10	5	10	7	7.33333333333333	2.51661147842358
AFMID	3	5	9	3	9	5	5.66666666666667	3.05505046330389
AFP	0	0	0	0	0	0	0	0
AFTPH	3	4	13	3	13	4	6.66666666666667	5.5075705472861
AGA	6	5	18	5	18	6	9.66666666666667	7.23417813807024
AGAP1	1	9	2	1	9	2	4	4.35889894354067
AGAP11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	0	0	0	0	0	0	0	0
AGAP3	3	2	6	2	6	3	3.66666666666667	2.08166599946613
AGAP5	0	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0	0	0
AGBL3	0	0	0	0	0	0	0	0
AGBL4	0	0	0	0	0	0	0	0
AGBL5	2	1	5	1	5	2	2.66666666666667	2.08166599946613
AGER	0	0	0	0	0	0	0	0
AGFG1	3	5	20	3	20	5	9.33333333333333	9.29157324317757
AGFG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AGGF1	2	5	11	2	11	5	6	4.58257569495584
AGK	2	0	4	0	4	2	2	2
AGL	4	2	6	2	6	4	4	2
AGMAT	1	3	8	1	8	3	4	3.60555127546399
AGMO	2	0	1	0	2	1	1	1
AGO1	3	3	3	3	3	3	3	0
AGO2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AGO3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
AGO4	2	1	4	1	4	2	2.33333333333333	1.52752523165195
AGPAT1	4	5	17	4	17	5	8.66666666666667	7.23417813807024
AGPAT2	1	0	3	0	3	1	1.33333333333333	1.52752523165195
AGPAT3	0	1	3	0	3	1	1.33333333333333	1.52752523165195
AGPAT4	3	0	4	0	4	3	2.33333333333333	2.08166599946613
AGPAT4-IT1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AGPAT5	3	4	3	3	4	3	3.33333333333333	0.577350269189626
AGPAT6	2	0	2	0	2	2	1.33333333333333	1.15470053837925
AGPAT9	0	0	2	0	2	0	0.666666666666667	1.15470053837925
AGPS	4	4	9	4	9	4	5.66666666666667	2.88675134594813
AGRN	0	0	0	0	0	0	0	0
AGRP	0	0	0	0	0	0	0	0
AGT	2	2	3	2	3	2	2.33333333333333	0.577350269189626
AGTPBP1	2	2	3	2	3	2	2.33333333333333	0.577350269189626
AGTR1	0	0	0	0	0	0	0	0
AGTRAP	6	10	15	6	15	10	10.3333333333333	4.50924975282289
AHCTF1	0	1	4	0	4	1	1.66666666666667	2.08166599946613
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	6	21	27	6	27	21	18	10.816653826392
AHCYL1	9	7	26	7	26	9	14	10.4403065089106
AHCYL2	2	1	3	1	3	2	2	1
AHDC1	0	1	2	0	2	1	1	1
AHI1	3	5	9	3	9	5	5.66666666666667	3.05505046330389
AHNAK	50	69	155	50	155	69	91.3333333333333	55.9493818851767
AHNAK2	3	6	11	3	11	6	6.66666666666667	4.04145188432738
AHR	27	23	50	23	50	27	33.3333333333333	14.5716619962629
AHRR	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AHSA1	4	8	17	4	17	8	9.66666666666667	6.65832811847939
AHSA2	3	6	6	3	6	6	5	1.73205080756888
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AIDA	7	11	12	7	12	11	10	2.64575131106459
AIF1	1	2	0	0	2	1	1	1
AIF1L	0	0	0	0	0	0	0	0
AIFM1	6	2	6	2	6	6	4.66666666666667	2.3094010767585
AIFM2	1	2	4	1	4	2	2.33333333333333	1.52752523165195
AIFM3	0	0	0	0	0	0	0	0
AIG1	1	2	11	1	11	2	4.66666666666667	5.5075705472861
AIM1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0
AIMP1	19	15	37	15	37	19	23.6666666666667	11.7189305541646
AIMP2	0	0	0	0	0	0	0	0
AIP	2	3	4	2	4	3	3	1
AIPL1	2	3	6	2	6	3	3.66666666666667	2.08166599946613
AIRE	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AIRN	0	0	0	0	0	0	0	0
AJUBA	2	2	5	2	5	2	3	1.73205080756888
AK1	6	4	9	4	9	6	6.33333333333333	2.51661147842358
AK2	13	12	34	12	34	13	19.6666666666667	12.4230967690561
AK3	12	15	30	12	30	15	19	9.64365076099295
AK4	27	18	37	18	37	27	27.3333333333333	9.50438495292217
AK5	1	0	2	0	2	1	1	1
AK8	0	0	0	0	0	0	0	0
AK9	5	1	8	1	8	5	4.66666666666667	3.51188458428425
AKAP1	1	0	4	0	4	1	1.66666666666667	2.08166599946613
AKAP10	2	1	5	1	5	2	2.66666666666667	2.08166599946613
AKAP11	3	10	11	3	11	10	8	4.35889894354067
AKAP12	33	44	85	33	85	44	54	27.4043792120894
AKAP13	9	8	21	8	21	9	12.6666666666667	7.23417813807024
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	4	3	19	3	19	4	8.66666666666667	8.9628864398325
AKAP2	0	0	0	0	0	0	0	0
AKAP3	0	0	0	0	0	0	0	0
AKAP5	3	3	8	3	8	3	4.66666666666667	2.88675134594813
AKAP6	0	2	2	0	2	2	1.33333333333333	1.15470053837925
AKAP7	0	0	2	0	2	0	0.666666666666667	1.15470053837925
AKAP8	2	4	2	2	4	2	2.66666666666667	1.15470053837925
AKAP8L	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AKAP9	31	48	94	31	94	48	57.6666666666667	32.5934553757857
AKIP1	3	4	14	3	14	4	7	6.08276253029822
AKIRIN1	6	7	15	6	15	7	9.33333333333333	4.93288286231625
AKIRIN2	4	6	13	4	13	6	7.66666666666667	4.72581562625261
AKNA	1	2	3	1	3	2	2	1
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	12	21	37	12	37	21	23.3333333333333	12.6622799421484
AKR1B1	16	30	35	16	35	30	27	9.8488578017961
AKR1B10	1	1	1	1	1	1	1	0
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	1	2	5	1	5	2	2.66666666666667	2.08166599946613
AKR1C2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AKR1C3	11	8	15	8	15	11	11.3333333333333	3.51188458428425
AKR1C6P	0	0	0	0	0	0	0	0
AKR1D1	0	2	3	0	3	2	1.66666666666667	1.52752523165195
AKR1E2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
AKR7A2	11	3	7	3	11	7	7	4
AKR7A2P1	0	0	0	0	0	0	0	0
AKR7A3	0	0	0	0	0	0	0	0
AKR7L	0	0	0	0	0	0	0	0
AKT1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
AKT1S1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AKT2	2	1	2	1	2	2	1.66666666666667	0.577350269189626
AKT3	11	12	19	11	19	12	14	4.35889894354067
AKTIP	3	6	10	3	10	6	6.33333333333333	3.51188458428425
ALAD	6	5	5	5	6	5	5.33333333333333	0.577350269189626
ALAS1	10	12	8	8	12	10	10	2
ALAS2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALCAM	1	19	32	1	32	19	17.3333333333333	15.5670592384475
